Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:00Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	Penny L. Bernstein, Mickie Strack; 	2015-04-27	VoR	10.2752/089279396787001572					Anthrozoös			10.1080/rfan20	tandf:rfan20	0892-7936	1753-0377		Controlled	Total_Item_Requests	1	1	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	Jennifer Estes; 	2022-10-20	VoR	10.1080/14442213.2022.2132356					The Asia Pacific Journal of Anthropology			10.1080/rtap20	tandf:rtap20	1444-2213	1740-9314		Controlled	Unique_Item_Requests	3	3	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	Jennifer Estes; 	2022-10-20	VoR	10.1080/14442213.2022.2132356					The Asia Pacific Journal of Anthropology			10.1080/rtap20	tandf:rtap20	1444-2213	1740-9314		Controlled	Total_Item_Requests	4	4	0
A high-throughput assay of membrane protein stability	Taylor & Francis		Taylor & Francis Online	Jonathan M. Hadden, Simon E. V. Phillips, Stephen A. Baldwin, Jean C. Ingram, Peter C. J. Roach, Xiaobing Xia, Sarah E. Deacon, Gareth S. A. Wright, Michael J. McPherson, Vincent L. G. Postis, Peter J. F. Henderson; 	2009-07-09	VoR	10.1080/09687680802530469					Molecular Membrane Biology			10.1080/imbc20	tandf:imbc20	0968-7688	1464-5203		Controlled	Unique_Item_Requests	1	1	0
A high-throughput assay of membrane protein stability	Taylor & Francis		Taylor & Francis Online	Jonathan M. Hadden, Simon E. V. Phillips, Stephen A. Baldwin, Jean C. Ingram, Peter C. J. Roach, Xiaobing Xia, Sarah E. Deacon, Gareth S. A. Wright, Michael J. McPherson, Vincent L. G. Postis, Peter J. F. Henderson; 	2009-07-09	VoR	10.1080/09687680802530469					Molecular Membrane Biology			10.1080/imbc20	tandf:imbc20	0968-7688	1464-5203		Controlled	Total_Item_Requests	1	1	0
A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London, Duke University Press, 2021 A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London , Duke University Press , 2021	Routledge		Taylor & Francis Online	Benjamin Wyatt; 	2022-11-22	VoR	10.1080/14442213.2022.2148045					The Asia Pacific Journal of Anthropology			10.1080/rtap20	tandf:rtap20	1444-2213	1740-9314		Controlled	Unique_Item_Requests	2	2	0
A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London, Duke University Press, 2021 A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London , Duke University Press , 2021	Routledge		Taylor & Francis Online	Benjamin Wyatt; 	2022-11-22	VoR	10.1080/14442213.2022.2148045					The Asia Pacific Journal of Anthropology			10.1080/rtap20	tandf:rtap20	1444-2213	1740-9314		Controlled	Total_Item_Requests	2	2	0
A Mediterranean-style dietary intervention supplemented with fish oil improves diet quality and mental health in people with depression: A randomized controlled trial (HELFIMED)	Taylor & Francis		Taylor & Francis Online	Natalie Parletta, Dorota Zarnowiecki, Sarah Blunden, Jihyun Cho, Theo Niyonsenga, Anthony Villani, Catherine Itsiopoulos, Kerin O’Dea, Amy Wilson, Svetlana Bogomolova, Barbara Meyer, Bernhard T. Baune, Leonie Segal; 	2017-12-07	VoR	10.1080/1028415X.2017.1411320					Nutritional Neuroscience			10.1080/ynns20	tandf:ynns20	1028-415X	1476-8305		OA_Gold	Unique_Item_Requests	1	1	0
A Mediterranean-style dietary intervention supplemented with fish oil improves diet quality and mental health in people with depression: A randomized controlled trial (HELFIMED)	Taylor & Francis		Taylor & Francis Online	Natalie Parletta, Dorota Zarnowiecki, Sarah Blunden, Jihyun Cho, Theo Niyonsenga, Anthony Villani, Catherine Itsiopoulos, Kerin O’Dea, Amy Wilson, Svetlana Bogomolova, Barbara Meyer, Bernhard T. Baune, Leonie Segal; 	2017-12-07	VoR	10.1080/1028415X.2017.1411320					Nutritional Neuroscience			10.1080/ynns20	tandf:ynns20	1028-415X	1476-8305		OA_Gold	Total_Item_Requests	1	1	0
A Mining Theme Park—Cultural Competition and the Politics of Identity Claims in an Indonesian Mining Town	Routledge		Taylor & Francis Online	Kathryn Robinson; 	2023-11-20	VoR	10.1080/14442213.2023.2277401					The Asia Pacific Journal of Anthropology			10.1080/rtap20	tandf:rtap20	1444-2213	1740-9314		OA_Gold	Unique_Item_Requests	1	1	0
