Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:27+00:00
Created_By	LibLynx LLC for Emerald Insight

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
International Journal of Organizational Analysis	Emerald Insight		Emerald Insight	10.1108/IJOA		1934-8835	1934-8835		Controlled	Unique_Item_Investigations	1	1	0
International Journal of Organizational Analysis	Emerald Insight		Emerald Insight	10.1108/IJOA		1934-8835	1934-8835		OA_Gold	Total_Item_Investigations	1	1	0
International Journal of Organizational Analysis	Emerald Insight		Emerald Insight	10.1108/IJOA		1934-8835	1934-8835		OA_Gold	Unique_Item_Investigations	1	1	0
International Journal of Organizational Analysis	Emerald Insight		Emerald Insight	10.1108/IJOA		1934-8835	1934-8835		OA_Gold	Total_Item_Requests	1	1	0
International Journal of Organizational Analysis	Emerald Insight		Emerald Insight	10.1108/IJOA		1934-8835	1934-8835		OA_Gold	Unique_Item_Requests	1	1	0
International Journal of Productivity and Performance Management	Emerald Insight		Emerald Insight	10.1108/IJPPM		1741-0401			Controlled	Total_Item_Investigations	1	1	0
International Journal of Productivity and Performance Management	Emerald Insight		Emerald Insight	10.1108/IJPPM		1741-0401			Controlled	Unique_Item_Investigations	1	1	0
International Journal of Retail & Distribution Management	Emerald Insight		Emerald Insight	10.1108/IJRDM		0959-0552	0959-0552		Controlled	Total_Item_Investigations	3	3	0
International Journal of Retail & Distribution Management	Emerald Insight		Emerald Insight	10.1108/IJRDM		0959-0552	0959-0552		Controlled	Unique_Item_Investigations	1	1	0
International Journal of Sustainability in Higher Education	Emerald Insight		Emerald Insight	10.1108/IJSHE		1467-6370	1467-6370		Controlled	Total_Item_Investigations	3	3	0
International Journal of Sustainability in Higher Education	Emerald Insight		Emerald Insight	10.1108/IJSHE		1467-6370	1467-6370		Controlled	Unique_Item_Investigations	3	3	0
Journal of Applied Research in Higher Education	Emerald Insight		Emerald Insight	10.1108/JARHE		2050-7003			Controlled	Total_Item_Investigations	2	2	0
Journal of Applied Research in Higher Education	Emerald Insight		Emerald Insight	10.1108/JARHE		2050-7003			Controlled	Unique_Item_Investigations	1	1	0
Journal of Children's Services	Emerald Insight		Emerald Insight	10.1108/JCS		1746-6660	1746-6660		Controlled	Total_Item_Investigations	2	2	0
Journal of Children's Services	Emerald Insight		Emerald Insight	10.1108/JCS		1746-6660	1746-6660		Controlled	Unique_Item_Investigations	1	1	0
Journal of Children's Services	Emerald Insight		Emerald Insight	10.1108/JCS		1746-6660	1746-6660		Controlled	Total_Item_Requests	2	2	0
Journal of Children's Services	Emerald Insight		Emerald Insight	10.1108/JCS		1746-6660	1746-6660		Controlled	Unique_Item_Requests	1	1	0
Journal of Consumer Marketing	Emerald Insight		Emerald Insight	10.1108/jcm		0736-3761	0736-3761		Controlled	Total_Item_Investigations	2	2	0
Journal of Consumer Marketing	Emerald Insight		Emerald Insight	10.1108/jcm		0736-3761	0736-3761		Controlled	Unique_Item_Investigations	1	1	0
Journal of Educational Administration	Emerald Insight		Emerald Insight	10.1108/JEA		0957-8234	0957-8234		Controlled	Total_Item_Investigations	1	1	0
Journal of Educational Administration	Emerald Insight		Emerald Insight	10.1108/JEA		0957-8234	0957-8234		Controlled	Unique_Item_Investigations	1	1	0
Journal of Enterprise Information Management	Emerald Insight		Emerald Insight	10.1108/JEIM		1741-0398			Controlled	Total_Item_Investigations	1	1	0
Journal of Enterprise Information Management	Emerald Insight		Emerald Insight	10.1108/JEIM		1741-0398			Controlled	Unique_Item_Investigations	1	1	0
Journal of Managerial Psychology	Emerald Insight		Emerald Insight	10.1108/jmp		0268-3946			Controlled	Total_Item_Investigations	3	3	0
Journal of Managerial Psychology	Emerald Insight		Emerald Insight	10.1108/jmp		0268-3946			Controlled	Unique_Item_Investigations	3	3	0
Journal of Organizational Change Management	Emerald Insight		Emerald Insight	10.1108/jocm		0953-4814			Controlled	Total_Item_Investigations	1	1	0
Journal of Organizational Change Management	Emerald Insight		Emerald Insight	10.1108/jocm		0953-4814			Controlled	Unique_Item_Investigations	1	1	0
Journal of Product & Brand Management	Emerald Insight		Emerald Insight	10.1108/JPBM		1061-0421	1061-0421		Controlled	Total_Item_Investigations	1	1	0
Journal of Product & Brand Management	Emerald Insight		Emerald Insight	10.1108/JPBM		1061-0421	1061-0421		Controlled	Unique_Item_Investigations	1	1	0
Journal of Professional Capital and Community	Emerald Insight		Emerald Insight	10.1108/JPCC		2056-9548	2056-9548		OA_Gold	Total_Item_Investigations	1	1	0
Journal of Professional Capital and Community	Emerald Insight		Emerald Insight	10.1108/JPCC		2056-9548	2056-9548		OA_Gold	Unique_Item_Investigations	1	1	0
Journal of Professional Capital and Community	Emerald Insight		Emerald Insight	10.1108/JPCC		2056-9548	2056-9548		OA_Gold	Total_Item_Requests	1	1	0
Journal of Professional Capital and Community	Emerald Insight		Emerald Insight	10.1108/JPCC		2056-9548	2056-9548		OA_Gold	Unique_Item_Requests	1	1	0
Journal of Work-Applied Management	Emerald Insight		Emerald Insight	10.1108/JWAM		2205-2062	2205-149X		OA_Gold	Total_Item_Investigations	4	4	0
Journal of Work-Applied Management	Emerald Insight		Emerald Insight	10.1108/JWAM		2205-2062	2205-149X		OA_Gold	Unique_Item_Investigations	1	1	0
Journal of Work-Applied Management	Emerald Insight		Emerald Insight	10.1108/JWAM		2205-2062	2205-149X		OA_Gold	Total_Item_Requests	4	4	0
Journal of Work-Applied Management	Emerald Insight		Emerald Insight	10.1108/JWAM		2205-2062	2205-149X		OA_Gold	Unique_Item_Requests	1	1	0
Leadership & Organization Development Journal	Emerald Insight		Emerald Insight	10.1108/LODJ		0143-7739			Controlled	Total_Item_Investigations	1	1	0
Leadership & Organization Development Journal	Emerald Insight		Emerald Insight	10.1108/LODJ		0143-7739			Controlled	Unique_Item_Investigations	1	1	0
Leadership in Health Services	Emerald Insight		Emerald Insight	10.1108/LHS		1751-1879	1751-1879		Controlled	Total_Item_Investigations	2	2	0
Leadership in Health Services	Emerald Insight		Emerald Insight	10.1108/LHS		1751-1879	1751-1879		Controlled	Unique_Item_Investigations	1	1	0
Learning and Teaching in Higher Education: Gulf Perspectives	Emerald Insight		Emerald Insight	10.1108/LTHE		2077-5504	2077-5504		OA_Gold	Total_Item_Investigations	1	1	0
Learning and Teaching in Higher Education: Gulf Perspectives	Emerald Insight		Emerald Insight	10.1108/LTHE		2077-5504	2077-5504		OA_Gold	Unique_Item_Investigations	1	1	0
Learning and Teaching in Higher Education: Gulf Perspectives	Emerald Insight		Emerald Insight	10.1108/LTHE		2077-5504	2077-5504		OA_Gold	Total_Item_Requests	1	1	0
Learning and Teaching in Higher Education: Gulf Perspectives	Emerald Insight		Emerald Insight	10.1108/LTHE		2077-5504	2077-5504		OA_Gold	Unique_Item_Requests	1	1	0
Meditari Accountancy Research	Emerald Insight		Emerald Insight	10.1108/MEDAR		2049-372X	2049-372X		OA_Gold	Total_Item_Investigations	2	2	0
Meditari Accountancy Research	Emerald Insight		Emerald Insight	10.1108/MEDAR		2049-372X	2049-372X		OA_Gold	Unique_Item_Investigations	1	1	0
