Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:33+00:00
Created_By	LibLynx LLC for Emerald Insight

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Decolonizing the Classroom in Social Justice Learning: Perspectives on Access and Inclusion for Participants Living with Disabilities	Emerald Insight		Emerald Insight				10.1108/S2055-364120190000016009																											Book_Segment	2019	Controlled	Regular	Total_Item_Investigations	1	1	0
Decolonizing the Classroom in Social Justice Learning: Perspectives on Access and Inclusion for Participants Living with Disabilities	Emerald Insight		Emerald Insight				10.1108/S2055-364120190000016009																											Book_Segment	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
Decolonizing the Classroom in Social Justice Learning: Perspectives on Access and Inclusion for Participants Living with Disabilities	Emerald Insight		Emerald Insight				10.1108/S2055-364120190000016009																											Book_Segment	2019	Controlled	Regular	No_License	1	1	0
Destination management in a post-covid environment	Emerald Insight		Emerald Insight				10.1108/WHATT-10-2021-0137																											Article	2021	Controlled	Regular	No_License	1	1	0
Development of IoT based data-driven agriculture supply chain performance measurement framework	Emerald Insight		Emerald Insight				10.1108/JEIM-11-2019-0369																											Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Development of IoT based data-driven agriculture supply chain performance measurement framework	Emerald Insight		Emerald Insight				10.1108/JEIM-11-2019-0369																											Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Development of IoT based data-driven agriculture supply chain performance measurement framework	Emerald Insight		Emerald Insight				10.1108/JEIM-11-2019-0369																											Article	2020	Controlled	Regular	No_License	1	1	0
Do consumers always believe humans create better boxes than AI? The context-dependent role of recommender creativity	Emerald Insight		Emerald Insight				10.1108/IJRDM-09-2021-0449																											Article	2023	Controlled	Regular	Total_Item_Investigations	3	3	0
Do consumers always believe humans create better boxes than AI? The context-dependent role of recommender creativity	Emerald Insight		Emerald Insight				10.1108/IJRDM-09-2021-0449																											Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Do consumers always believe humans create better boxes than AI? The context-dependent role of recommender creativity	Emerald Insight		Emerald Insight				10.1108/IJRDM-09-2021-0449																											Article	2023	Controlled	Regular	No_License	4	4	0
Effects of social, environmental, and institutional factors on sustainability report assurance: evidence from European countries	Emerald Insight		Emerald Insight				10.1108/MEDAR-03-2019-0462																											Article	2020	OA_Gold	Regular	Total_Item_Investigations	2	2	0
Effects of social, environmental, and institutional factors on sustainability report assurance: evidence from European countries	Emerald Insight		Emerald Insight				10.1108/MEDAR-03-2019-0462																											Article	2020	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Effects of social, environmental, and institutional factors on sustainability report assurance: evidence from European countries	Emerald Insight		Emerald Insight				10.1108/MEDAR-03-2019-0462																											Article	2020	OA_Gold	Regular	Total_Item_Requests	2	2	0
Effects of social, environmental, and institutional factors on sustainability report assurance: evidence from European countries	Emerald Insight		Emerald Insight				10.1108/MEDAR-03-2019-0462																											Article	2020	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Emerging from the swamp: an autoethnography on the legitimacy of action research	Emerald Insight		Emerald Insight				10.1108/IJMPB-01-2020-0019																											Article	2020	Controlled	Regular	Total_Item_Investigations	3	3	0
Emerging from the swamp: an autoethnography on the legitimacy of action research	Emerald Insight		Emerald Insight				10.1108/IJMPB-01-2020-0019																											Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Emerging from the swamp: an autoethnography on the legitimacy of action research	Emerald Insight		Emerald Insight				10.1108/IJMPB-01-2020-0019																											Article	2020	Controlled	Regular	No_License	3	3	0
Emotional and social intelligence competencies: cross cultural implications	Emerald Insight		Emerald Insight				10.1108/13527601211195592																											Article	2012	Controlled	Regular	Total_Item_Investigations	2	2	0
Emotional and social intelligence competencies: cross cultural implications	Emerald Insight		Emerald Insight				10.1108/13527601211195592																											Article	2012	Controlled	Regular	Unique_Item_Investigations	1	1	0
Emotional and social intelligence competencies: cross cultural implications	Emerald Insight		Emerald Insight				10.1108/13527601211195592																											Article	2012	Controlled	Regular	No_License	3	3	0
Ethical Conduct in Indigenous Research: It’s Just Good Manners	Emerald Insight		Emerald Insight				10.1108/S2398-601820200000006002																											Book_Segment	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Ethical Conduct in Indigenous Research: It’s Just Good Manners	Emerald Insight		Emerald Insight				10.1108/S2398-601820200000006002																											Book_Segment	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Ethical Conduct in Indigenous Research: It’s Just Good Manners	Emerald Insight		Emerald Insight				10.1108/S2398-601820200000006002																											Book_Segment	2020	Controlled	Regular	No_License	1	1	0
Evaluating the impact of cross-institutional teaching enhancement collaborations using a professional capital framework	Emerald Insight		Emerald Insight				10.1108/JPCC-03-2023-0021																											Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Evaluating the impact of cross-institutional teaching enhancement collaborations using a professional capital framework	Emerald Insight		Emerald Insight				10.1108/JPCC-03-2023-0021																											Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Evaluating the impact of cross-institutional teaching enhancement collaborations using a professional capital framework	Emerald Insight		Emerald Insight				10.1108/JPCC-03-2023-0021																											Article	2023	OA_Gold	Regular	Total_Item_Requests	1	1	0
Evaluating the impact of cross-institutional teaching enhancement collaborations using a professional capital framework	Emerald Insight		Emerald Insight				10.1108/JPCC-03-2023-0021																											Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Evaluation of design criteria for mini unmanned aircraft systems (UAS) applications	Emerald Insight		Emerald Insight				10.1108/AEAT-03-2021-0089																											Article	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
Evaluation of design criteria for mini unmanned aircraft systems (UAS) applications	Emerald Insight		Emerald Insight				10.1108/AEAT-03-2021-0089																											Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Evaluation of design criteria for mini unmanned aircraft systems (UAS) applications	Emerald Insight		Emerald Insight				10.1108/AEAT-03-2021-0089																											Article	2021	Controlled	Regular	No_License	2	2	0
Examining the influence of cross‐cultural training on cultural intelligence and specific self‐efficacy	Emerald Insight		Emerald Insight				10.1108/13527601211219892																											Article	2012	Controlled	Regular	Total_Item_Investigations	1	1	0
Examining the influence of cross‐cultural training on cultural intelligence and specific self‐efficacy	Emerald Insight		Emerald Insight				10.1108/13527601211219892																											Article	2012	Controlled	Regular	Unique_Item_Investigations	1	1	0
Examining the influence of cross‐cultural training on cultural intelligence and specific self‐efficacy	Emerald Insight		Emerald Insight				10.1108/13527601211219892																											Article	2012	Controlled	Regular	No_License	1	1	0
Factors affecting cultural intelligence and its impact on job performance	Emerald Insight		Emerald Insight				10.1108/PR-12-2015-0313																											Article	2017	Controlled	Regular	Total_Item_Investigations	1	1	0
Factors affecting cultural intelligence and its impact on job performance	Emerald Insight		Emerald Insight				10.1108/PR-12-2015-0313																											Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Factors affecting cultural intelligence and its impact on job performance	Emerald Insight		Emerald Insight				10.1108/PR-12-2015-0313																											Article	2017	Controlled	Regular	No_License	1	1	0
Factors influencing organizational change efforts	Emerald Insight		Emerald Insight				10.1108/09534810710831000																											Article	2007	Controlled	Regular	Total_Item_Investigations	1	1	0
Factors influencing organizational change efforts	Emerald Insight		Emerald Insight				10.1108/09534810710831000																											Article	2007	Controlled	Regular	Unique_Item_Investigations	1	1	0
Factors influencing organizational change efforts	Emerald Insight		Emerald Insight				10.1108/09534810710831000																											Article	2007	Controlled	Regular	No_License	1	1	0
Fitting the person to the organisation: examining the personality‐job performance relationship from a new perspective	Emerald Insight		Emerald Insight				10.1108/02683940310502368																											Article	2003	Controlled	Regular	Total_Item_Investigations	1	1	0
Fitting the person to the organisation: examining the personality‐job performance relationship from a new perspective	Emerald Insight		Emerald Insight				10.1108/02683940310502368																											Article	2003	Controlled	Regular	Unique_Item_Investigations	1	1	0
Fitting the person to the organisation: examining the personality‐job performance relationship from a new perspective	Emerald Insight		Emerald Insight				10.1108/02683940310502368																											Article	2003	Controlled	Regular	No_License	1	1	0
Freedom or bondage? The double-edged sword effect of work connectivity behavior after-hours on employee occupational mental health	Emerald Insight		Emerald Insight				10.1108/CMS-01-2022-0008																											Article	2023	Controlled	Regular	Total_Item_Investigations	3	3	0
Freedom or bondage? The double-edged sword effect of work connectivity behavior after-hours on employee occupational mental health	Emerald Insight		Emerald Insight				10.1108/CMS-01-2022-0008																											Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Freedom or bondage? The double-edged sword effect of work connectivity behavior after-hours on employee occupational mental health	Emerald Insight		Emerald Insight				10.1108/CMS-01-2022-0008																											Article	2023	Controlled	Regular	No_License	3	3	0
How organizational culture and leadership style affect employees’ performance of genders	Emerald Insight		Emerald Insight				10.1108/IJOA-04-2017-1151																											Article	2018	Controlled	Regular	Total_Item_Investigations	1	1	0
How organizational culture and leadership style affect employees’ performance of genders	Emerald Insight		Emerald Insight				10.1108/IJOA-04-2017-1151																											Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
How organizational culture and leadership style affect employees’ performance of genders	Emerald Insight		Emerald Insight				10.1108/IJOA-04-2017-1151																											Article	2018	Controlled	Regular	No_License	1	1	0
How project management approach impact project success? From traditional to agile	Emerald Insight		Emerald Insight				10.1108/IJMPB-04-2021-0108																											Article	2022	Controlled	Regular	Total_Item_Investigations	2	2	0
How project management approach impact project success? From traditional to agile	Emerald Insight		Emerald Insight				10.1108/IJMPB-04-2021-0108																											Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
How project management approach impact project success? From traditional to agile	Emerald Insight		Emerald Insight				10.1108/IJMPB-04-2021-0108																											Article	2022	Controlled	Regular	No_License	2	2	0
How the single-family residence housing market capitalizes green property upgraded features: evidence from city of Austin	Emerald Insight		Emerald Insight				10.1108/IJHMA-07-2023-0095																											Article	2023	Controlled	Regular	Total_Item_Investigations	4	4	0
How the single-family residence housing market capitalizes green property upgraded features: evidence from city of Austin	Emerald Insight		Emerald Insight				10.1108/IJHMA-07-2023-0095																											Article	2023	Controlled	Regular	Unique_Item_Investigations	2	2	0
How the single-family residence housing market capitalizes green property upgraded features: evidence from city of Austin	Emerald Insight		Emerald Insight				10.1108/IJHMA-07-2023-0095																											Article	2023	Controlled	Regular	No_License	5	5	0
Investigating the emotional appeal of fake news using artificial intelligence and human contributions	Emerald Insight		Emerald Insight				10.1108/JPBM-12-2018-2179																											Article	2019	Controlled	Regular	Total_Item_Investigations	1	1	0
Investigating the emotional appeal of fake news using artificial intelligence and human contributions	Emerald Insight		Emerald Insight				10.1108/JPBM-12-2018-2179																											Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
Investigating the emotional appeal of fake news using artificial intelligence and human contributions	Emerald Insight		Emerald Insight				10.1108/JPBM-12-2018-2179																											Article	2019	Controlled	Regular	No_License	1	1	0
Job demands, job resources and meaning at work	Emerald Insight		Emerald Insight				10.1108/02683941111181761																											Article	2011	Controlled	Regular	Total_Item_Investigations	1	1	0
Job demands, job resources and meaning at work	Emerald Insight		Emerald Insight				10.1108/02683941111181761																											Article	2011	Controlled	Regular	Unique_Item_Investigations	1	1	0
Job demands, job resources and meaning at work	Emerald Insight		Emerald Insight				10.1108/02683941111181761																											Article	2011	Controlled	Regular	No_License	1	1	0
Leader's desire for promotion, workplace anxiety and exploitative leadership: the moderating effect of Machiavellianism	Emerald Insight		Emerald Insight				10.1108/CDI-10-2022-0292																											Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Leader's desire for promotion, workplace anxiety and exploitative leadership: the moderating effect of Machiavellianism	Emerald Insight		Emerald Insight				10.1108/CDI-10-2022-0292																											Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Leader's desire for promotion, workplace anxiety and exploitative leadership: the moderating effect of Machiavellianism	Emerald Insight		Emerald Insight				10.1108/CDI-10-2022-0292																											Article	2023	Controlled	Regular	No_License	1	1	0
Making sense of cost-consciousness in social work	Emerald Insight		Emerald Insight				10.1108/QRAM-10-2019-0105																											Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Making sense of cost-consciousness in social work	Emerald Insight		Emerald Insight				10.1108/QRAM-10-2019-0105																											Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Making sense of cost-consciousness in social work	Emerald Insight		Emerald Insight				10.1108/QRAM-10-2019-0105																											Article	2020	Controlled	Regular	No_License	1	1	0
Managing in Dynamic, Complex and Unpredictable Business Contexts	Emerald Insight		Emerald Insight				10.1108/978-1-83982-476-020200001																											Book_Segment	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Managing in Dynamic, Complex and Unpredictable Business Contexts	Emerald Insight		Emerald Insight				10.1108/978-1-83982-476-020200001																											Book_Segment	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Managing in Dynamic, Complex and Unpredictable Business Contexts	Emerald Insight		Emerald Insight				10.1108/978-1-83982-476-020200001																											Book_Segment	2020	Controlled	Regular	No_License	1	1	0
Measuring Indicators of Inclusive Education: A Systematic Review of the Literature	Emerald Insight		Emerald Insight				10.1108/S1479-363620140000003024																											Book_Segment	2014	Controlled	Regular	Total_Item_Investigations	1	1	0
Measuring Indicators of Inclusive Education: A Systematic Review of the Literature	Emerald Insight		Emerald Insight				10.1108/S1479-363620140000003024																											Book_Segment	2014	Controlled	Regular	Unique_Item_Investigations	1	1	0
Measuring Indicators of Inclusive Education: A Systematic Review of the Literature	Emerald Insight		Emerald Insight				10.1108/S1479-363620140000003024																											Book_Segment	2014	Controlled	Regular	No_License	1	1	0
