Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:16Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Agricultural Research	Springer India		SpringerLink	10.1007/40003.2249-7218	SN:40003	2249-720X	2249-7218		2021	Total_Item_Requests	2	2	0
Agronomy for Sustainable Development	Springer Netherlands		SpringerLink		SN:13593	1774-0746	1773-0155		2008	Unique_Item_Requests	3	3	0
Agronomy for Sustainable Development	Springer Netherlands		SpringerLink		SN:13593	1774-0746	1773-0155		2008	Total_Item_Requests	3	3	0
Agronomy for Sustainable Development	Springer Paris		SpringerLink	10.1007/13593.1773-0155	SN:13593	1774-0746	1773-0155		2014	Unique_Item_Requests	1	1	0
Agronomy for Sustainable Development	Springer Paris		SpringerLink	10.1007/13593.1773-0155	SN:13593	1774-0746	1773-0155		2014	Total_Item_Requests	1	1	0
Agronomy for Sustainable Development	Springer Paris		SpringerLink	10.1007/13593.1773-0155	SN:13593	1774-0746	1773-0155		2015	Unique_Item_Requests	1	1	0
Agronomy for Sustainable Development	Springer Paris		SpringerLink	10.1007/13593.1773-0155	SN:13593	1774-0746	1773-0155		2015	Total_Item_Requests	2	2	0
Agronomy for Sustainable Development	Springer Paris		SpringerLink	10.1007/13593.1773-0155	SN:13593	1774-0746	1773-0155		2016	Unique_Item_Requests	1	1	0
Agronomy for Sustainable Development	Springer Paris		SpringerLink	10.1007/13593.1773-0155	SN:13593	1774-0746	1773-0155		2016	Total_Item_Requests	3	3	0
Air Quality, Atmosphere & Health	Springer Netherlands		SpringerLink	10.1007/11869.1873-9326	SN:11869	1873-9318	1873-9326		2023	Unique_Item_Requests	1	1	0
Air Quality, Atmosphere & Health	Springer Netherlands		SpringerLink	10.1007/11869.1873-9326	SN:11869	1873-9318	1873-9326		2023	Total_Item_Requests	1	1	0
Ambio	Springer Netherlands		SpringerLink	10.1007/13280.1654-7209	SN:13280	0044-7447	1654-7209		2023	Unique_Item_Requests	3	3	0
Ambio	Springer Netherlands		SpringerLink	10.1007/13280.1654-7209	SN:13280	0044-7447	1654-7209		2023	Total_Item_Requests	4	4	0
American Journal of Potato Research	Springer-Verlag		SpringerLink		SN:12230	1099-209X	1874-9380		2000	Unique_Item_Requests	1	1	0
American Journal of Potato Research	Springer-Verlag		SpringerLink		SN:12230	1099-209X	1874-9380		2000	Total_Item_Requests	1	1	0
American Journal of Potato Research	Springer US		SpringerLink	10.1007/12230.1874-9380	SN:12230	1099-209X	1874-9380		2020	Unique_Item_Requests	1	1	0
American Journal of Potato Research	Springer US		SpringerLink	10.1007/12230.1874-9380	SN:12230	1099-209X	1874-9380		2020	Total_Item_Requests	2	2	0
American Journal of Potato Research	Springer US		SpringerLink	10.1007/12230.1874-9380	SN:12230	1099-209X	1874-9380		2021	Unique_Item_Requests	1	1	0
American Journal of Potato Research	Springer US		SpringerLink	10.1007/12230.1874-9380	SN:12230	1099-209X	1874-9380		2021	Total_Item_Requests	2	2	0
Amino Acids	Springer-Verlag		SpringerLink		SN:726	0939-4451	1438-2199		2004	Unique_Item_Requests	3	3	0
Amino Acids	Springer-Verlag		SpringerLink		SN:726	0939-4451	1438-2199		2004	Total_Item_Requests	4	4	0
Amino Acids	Springer Vienna		SpringerLink		SN:726	0939-4451	1438-2199		2011	Unique_Item_Requests	4	4	0
Amino Acids	Springer Vienna		SpringerLink		SN:726	0939-4451	1438-2199		2011	Total_Item_Requests	6	6	0
Amino Acids	Springer Vienna		SpringerLink	10.1007/726.1438-2199	SN:726	0939-4451	1438-2199		2016	Unique_Item_Requests	4	4	0
Amino Acids	Springer Vienna		SpringerLink	10.1007/726.1438-2199	SN:726	0939-4451	1438-2199		2016	Total_Item_Requests	8	8	0
Amino Acids	Springer Vienna		SpringerLink	10.1007/726.1438-2199	SN:726	0939-4451	1438-2199		2022	Unique_Item_Requests	1	1	0
Amino Acids	Springer Vienna		SpringerLink	10.1007/726.1438-2199	SN:726	0939-4451	1438-2199		2022	Total_Item_Requests	2	2	0
Analytical and Bioanalytical Chemistry	Springer Berlin Heidelberg		SpringerLink	10.1007/216.1618-2650	SN:216	1618-2642	1618-2650		2019	Unique_Item_Requests	1	1	0
Analytical and Bioanalytical Chemistry	Springer Berlin Heidelberg		SpringerLink	10.1007/216.1618-2650	SN:216	1618-2642	1618-2650		2019	Total_Item_Requests	1	1	0
Animal Cognition	Springer-Verlag		SpringerLink		SN:10071	1435-9448	1435-9456		2012	Unique_Item_Requests	1	1	0
Animal Cognition	Springer-Verlag		SpringerLink		SN:10071	1435-9448	1435-9456		2012	Total_Item_Requests	1	1	0
Animal Cognition	Springer Berlin Heidelberg		SpringerLink	10.1007/10071.1435-9456	SN:10071	1435-9448	1435-9456		2016	Unique_Item_Requests	1	1	0
Animal Cognition	Springer Berlin Heidelberg		SpringerLink	10.1007/10071.1435-9456	SN:10071	1435-9448	1435-9456		2016	Total_Item_Requests	1	1	0
Animal Cognition	Springer Berlin Heidelberg		SpringerLink	10.1007/10071.1435-9456	SN:10071	1435-9448	1435-9456		2023	Unique_Item_Requests	1	1	0
Animal Cognition	Springer Berlin Heidelberg		SpringerLink	10.1007/10071.1435-9456	SN:10071	1435-9448	1435-9456		2023	Total_Item_Requests	2	2	0
Animal Learning & Behavior	Springer-Verlag		SpringerLink		SN:13420	0090-4996	1532-5830		2004	Unique_Item_Requests	1	1	0
Animal Learning & Behavior	Springer-Verlag		SpringerLink		SN:13420	0090-4996	1532-5830		2004	Total_Item_Requests	2	2	0
Annales Henri Poincaré	Springer International Publishing		SpringerLink	10.1007/23.1424-0661	SN:23	1424-0637	1424-0661		2023	Unique_Item_Requests	1	1	0
Annales Henri Poincaré	Springer International Publishing		SpringerLink	10.1007/23.1424-0661	SN:23	1424-0637	1424-0661		2023	Total_Item_Requests	2	2	0
Annals of Biomedical Engineering	Springer International Publishing		SpringerLink	10.1007/10439.1573-9686	SN:10439	0090-6964	1573-9686		2021	Unique_Item_Requests	1	1	0
Annals of Biomedical Engineering	Springer International Publishing		SpringerLink	10.1007/10439.1573-9686	SN:10439	0090-6964	1573-9686		2021	Total_Item_Requests	1	1	0
Annals of Biomedical Engineering	Springer International Publishing		SpringerLink	10.1007/10439.1573-9686	SN:10439	0090-6964	1573-9686		2023	Unique_Item_Requests	1	1	0
Annals of Biomedical Engineering	Springer International Publishing		SpringerLink	10.1007/10439.1573-9686	SN:10439	0090-6964	1573-9686		2023	Total_Item_Requests	2	2	0
Annals of Operations Research	Springer US		SpringerLink	10.1007/10479.1572-9338	SN:10479	0254-5330	1572-9338		2021	Unique_Item_Requests	1	1	0
Annals of Operations Research	Springer US		SpringerLink	10.1007/10479.1572-9338	SN:10479	0254-5330	1572-9338		2021	Total_Item_Requests	1	1	0
Annals of Operations Research	Springer US		SpringerLink	10.1007/10479.1572-9338	SN:10479	0254-5330	1572-9338		2023	Unique_Item_Requests	1	1	0
Annals of Operations Research	Springer US		SpringerLink	10.1007/10479.1572-9338	SN:10479	0254-5330	1572-9338		2023	Total_Item_Requests	2	2	0
Annals of Surgical Oncology	Springer-Verlag		SpringerLink		SN:10434	1068-9265	1534-4681		2012	Unique_Item_Requests	1	1	0
Annals of Surgical Oncology	Springer-Verlag		SpringerLink		SN:10434	1068-9265	1534-4681		2012	Total_Item_Requests	2	2	0
Antonie van Leeuwenhoek	Springer International Publishing		SpringerLink	10.1007/10482.1572-9699	SN:10482	0003-6072	1572-9699		2024	Unique_Item_Requests	1	1	0
Antonie van Leeuwenhoek	Springer International Publishing		SpringerLink	10.1007/10482.1572-9699	SN:10482	0003-6072	1572-9699		2024	Total_Item_Requests	2	2	0
Applied Intelligence	Springer US		SpringerLink	10.1007/10489.1573-7497	SN:10489	0924-669X	1573-7497		2022	Unique_Item_Requests	1	1	0
Applied Intelligence	Springer US		SpringerLink	10.1007/10489.1573-7497	SN:10489	0924-669X	1573-7497		2022	Total_Item_Requests	2	2	0
Applied Magnetic Resonance	Springer Vienna		SN:ResearchGate	10.1007/723.1613-7507	SN:723	0937-9347	1613-7507		2023	Unique_Item_Requests	1	1	0
Applied Magnetic Resonance	Springer Vienna		SN:ResearchGate	10.1007/723.1613-7507	SN:723	0937-9347	1613-7507		2023	Total_Item_Requests	1	1	0
Applied Microbiology and Biotechnology	Springer-Verlag		SpringerLink		SN:253	0175-7598	1432-0614		2001	Unique_Item_Requests	1	1	0
Applied Microbiology and Biotechnology	Springer-Verlag		SpringerLink		SN:253	0175-7598	1432-0614		2001	Total_Item_Requests	1	1	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink		SN:253	0175-7598	1432-0614		2007	Unique_Item_Requests	2	2	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink		SN:253	0175-7598	1432-0614		2007	Total_Item_Requests	4	4	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink	10.1007/253.1432-0614	SN:253	0175-7598	1432-0614		2014	Unique_Item_Requests	2	2	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink	10.1007/253.1432-0614	SN:253	0175-7598	1432-0614		2014	Total_Item_Requests	2	2	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink	10.1007/253.1432-0614	SN:253	0175-7598	1432-0614		2016	Unique_Item_Requests	1	1	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink	10.1007/253.1432-0614	SN:253	0175-7598	1432-0614		2016	Total_Item_Requests	1	1	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink	10.1007/253.1432-0614	SN:253	0175-7598	1432-0614		2019	Unique_Item_Requests	1	1	0
Applied Microbiology and Biotechnology	Springer Berlin Heidelberg		SpringerLink	10.1007/253.1432-0614	SN:253	0175-7598	1432-0614		2019	Total_Item_Requests	1	1	0
