Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Investigations; Unique_Item_Investigations; Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:43:30Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		Controlled	Unique_Item_Investigations	5	5	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		Controlled	Unique_Item_Requests	2	2	0
Academic Radiology	Elsevier Health Sciences		EBSCOhost		EBSCOhost:KBID:97711	1076-6332	1878-4046		Controlled	Total_Item_Investigations	1	1	0
Academic Radiology	Elsevier Health Sciences		EBSCOhost		EBSCOhost:KBID:97711	1076-6332	1878-4046		Controlled	Unique_Item_Investigations	1	1	0
Academy of Business Journal	Academy of Business Research		EBSCOhost		EBSCOhost:KBID:1383279	2381-313X			Controlled	Total_Item_Investigations	1	1	0
Academy of Business Journal	Academy of Business Research		EBSCOhost		EBSCOhost:KBID:1383279	2381-313X			Controlled	Unique_Item_Investigations	1	1	0
Academy of Business Research Journal	Academy of Business Research		EBSCOhost		EBSCOhost:KBID:1383280				Controlled	Total_Item_Investigations	1	1	0
Academy of Business Research Journal	Academy of Business Research		EBSCOhost		EBSCOhost:KBID:1383280				Controlled	Unique_Item_Investigations	1	1	0
Academy of Management Discoveries	Academy of Management		EBSCOhost		EBSCOhost:KBID:5859813		2168-1007		Controlled	Total_Item_Investigations	4	4	0
Academy of Management Discoveries	Academy of Management		EBSCOhost		EBSCOhost:KBID:5859813		2168-1007		Controlled	Unique_Item_Investigations	4	4	0
Academy of Management Journal	Academy of Management		EBSCOhost		EBSCOhost:KBID:628	0001-4273	1948-0989		Controlled	Total_Item_Investigations	18	18	0
Academy of Management Journal	Academy of Management		EBSCOhost		EBSCOhost:KBID:628	0001-4273	1948-0989		Controlled	Total_Item_Requests	6	6	0
Academy of Management Journal	Academy of Management		EBSCOhost		EBSCOhost:KBID:628	0001-4273	1948-0989		Controlled	Unique_Item_Investigations	10	10	0
Academy of Management Journal	Academy of Management		EBSCOhost		EBSCOhost:KBID:628	0001-4273	1948-0989		Controlled	Unique_Item_Requests	3	3	0
Academy of Management Learning & Education	Academy of Management		EBSCOhost		EBSCOhost:KBID:88822	1537-260X	1944-9585		Controlled	Total_Item_Investigations	18	18	0
Academy of Management Learning & Education	Academy of Management		EBSCOhost		EBSCOhost:KBID:88822	1537-260X	1944-9585		Controlled	Total_Item_Requests	6	6	0
Academy of Management Learning & Education	Academy of Management		EBSCOhost		EBSCOhost:KBID:88822	1537-260X	1944-9585		Controlled	Unique_Item_Investigations	17	17	0
Academy of Management Learning & Education	Academy of Management		EBSCOhost		EBSCOhost:KBID:88822	1537-260X	1944-9585		Controlled	Unique_Item_Requests	6	6	0
Academy of Management Review	Academy of Management		EBSCOhost		EBSCOhost:KBID:625	0363-7425	1930-3807		Controlled	Total_Item_Investigations	1	1	0
Academy of Management Review	Academy of Management		EBSCOhost		EBSCOhost:KBID:625	0363-7425	1930-3807		Controlled	Total_Item_Requests	1	1	0
Academy of Management Review	Academy of Management		EBSCOhost		EBSCOhost:KBID:625	0363-7425	1930-3807		Controlled	Unique_Item_Investigations	1	1	0
Academy of Management Review	Academy of Management		EBSCOhost		EBSCOhost:KBID:625	0363-7425	1930-3807		Controlled	Unique_Item_Requests	1	1	0
Acadiensis: Journal of the History of the Atlantic Region = Acadiensis: Revue d'histoire de la région Atlantique	University of New Brunswick		EBSCOhost		EBSCOhost:KBID:641	0044-5851	1712-7432		Controlled	Total_Item_Investigations	7	7	0
