Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Investigations; Unique_Item_Investigations; Unique_Title_Investigations; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:53Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
9 Habits of Project Leaders: Experience and Data-Driven Practical Advice in Project Execution	Project Management Institute		EBSCOhost		EBSCOhost:BookID:1534668	978-1-62825-179-1				2017	Controlled	Unique_Title_Investigations	1	1	0
[ ] With Design: Reinventing Design Modes: Proceedings of the 9th Congress of the International Association of Societies of Design Research (IASDR 2021)	Springer		EBSCOhost		EBSCOhost:BookID:3446940	978-981-19447-1-0				2022	Controlled	Total_Item_Investigations	1	1	0
[ ] With Design: Reinventing Design Modes: Proceedings of the 9th Congress of the International Association of Societies of Design Research (IASDR 2021)	Springer		EBSCOhost		EBSCOhost:BookID:3446940	978-981-19447-1-0				2022	Controlled	Unique_Item_Investigations	1	1	0
[ ] With Design: Reinventing Design Modes: Proceedings of the 9th Congress of the International Association of Societies of Design Research (IASDR 2021)	Springer		EBSCOhost		EBSCOhost:BookID:3446940	978-981-19447-1-0				2022	Controlled	Unique_Title_Investigations	1	1	0
A Bibliography for After Jews and Arabs	Punctum Books		EBSCOhost		EBSCOhost:BookID:3680406	978-1-953035-35-6				2021	Controlled	Total_Item_Investigations	1	1	0
A Bibliography for After Jews and Arabs	Punctum Books		EBSCOhost		EBSCOhost:BookID:3680406	978-1-953035-35-6				2021	Controlled	Unique_Item_Investigations	1	1	0
A Bibliography for After Jews and Arabs	Punctum Books		EBSCOhost		EBSCOhost:BookID:3680406	978-1-953035-35-6				2021	Controlled	Unique_Title_Investigations	1	1	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Controlled	Total_Item_Investigations	6	6	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Controlled	Total_Item_Requests	3	3	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Controlled	Unique_Item_Investigations	3	3	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Controlled	Unique_Item_Requests	3	3	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Controlled	Unique_Title_Investigations	3	3	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Controlled	Unique_Title_Requests	3	3	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Controlled	Total_Item_Investigations	2	2	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Controlled	Total_Item_Requests	1	1	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Controlled	Unique_Item_Investigations	1	1	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Controlled	Unique_Item_Requests	1	1	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Controlled	Unique_Title_Investigations	1	1	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Controlled	Unique_Title_Requests	1	1	0
A century of developmental psychology	American Psychological Association		EBSCOhost		EBSCOhost:BookID:199498230	978-1-55798-233-9				1994	Controlled	Total_Item_Investigations	1	1	0
A century of developmental psychology	American Psychological Association		EBSCOhost		EBSCOhost:BookID:199498230	978-1-55798-233-9				1994	Controlled	Unique_Item_Investigations	1	1	0
A century of developmental psychology	American Psychological Association		EBSCOhost		EBSCOhost:BookID:199498230	978-1-55798-233-9				1994	Controlled	Unique_Title_Investigations	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Controlled	Total_Item_Investigations	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Controlled	Total_Item_Requests	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Controlled	Unique_Item_Investigations	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Controlled	Unique_Item_Requests	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Controlled	Unique_Title_Investigations	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Controlled	Unique_Title_Requests	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Controlled	Total_Item_Investigations	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Controlled	Total_Item_Requests	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Controlled	Unique_Item_Investigations	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Controlled	Unique_Item_Requests	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Controlled	Unique_Title_Investigations	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Controlled	Unique_Title_Requests	1	1	0
A First Course in Differential Equations with Modeling Applications	Cengage Learning		EBSCOhost		EBSCOhost:BookID:3633697	978-0-357-76019-2				2023	Controlled	Total_Item_Investigations	1	1	0
A First Course in Differential Equations with Modeling Applications	Cengage Learning		EBSCOhost		EBSCOhost:BookID:3633697	978-0-357-76019-2				2023	Controlled	Unique_Item_Investigations	1	1	0
A First Course in Differential Equations with Modeling Applications	Cengage Learning		EBSCOhost		EBSCOhost:BookID:3633697	978-0-357-76019-2				2023	Controlled	Unique_Title_Investigations	1	1	0
A first course in differential equations with modeling applications 10th ed	Cengage Learning US		EBSCOhost		EBSCOhost:BookID:2639164	978-1-111-82705-2				2013	Controlled	Total_Item_Investigations	1	1	0
A first course in differential equations with modeling applications 10th ed	Cengage Learning US		EBSCOhost		EBSCOhost:BookID:2639164	978-1-111-82705-2				2013	Controlled	Unique_Item_Investigations	1	1	0
A first course in differential equations with modeling applications 10th ed	Cengage Learning US		EBSCOhost		EBSCOhost:BookID:2639164	978-1-111-82705-2				2013	Controlled	Unique_Title_Investigations	1	1	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Controlled	Total_Item_Investigations	6	6	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Controlled	Total_Item_Requests	3	3	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Controlled	Unique_Item_Investigations	6	6	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Controlled	Unique_Item_Requests	3	3	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Controlled	Unique_Title_Investigations	6	6	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Controlled	Unique_Title_Requests	3	3	0
A Guide for Managing ADHD/ADD, Bullying, PTSD, and Social Media			EBSCOhost							2024	Controlled	Total_Item_Investigations	1	1	0
A Guide for Managing ADHD/ADD, Bullying, PTSD, and Social Media			EBSCOhost							2024	Controlled	Unique_Item_Investigations	1	1	0
A Guide for Managing ADHD/ADD, Bullying, PTSD, and Social Media			EBSCOhost							2024	Controlled	Unique_Title_Investigations	1	1	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Controlled	Total_Item_Investigations	4	4	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Controlled	Total_Item_Requests	2	2	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Controlled	Unique_Item_Investigations	3	3	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Controlled	Unique_Item_Requests	2	2	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Controlled	Unique_Title_Investigations	3	3	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Controlled	Unique_Title_Requests	2	2	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Controlled	Total_Item_Investigations	2	2	0
