Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:04Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Searches_Regular	702	702	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Total_Item_Investigations	1339	1339	0
APA PsycTherapy	Undefined		EBSCOhost	EBSCOhost:ldpsy	Searches_Regular	2	2	0
Aphasiology Archive	University of Pittsburgh, University Library Syste		EBSCOhost	EBSCOhost:edsupa	Searches_Automated	19169	19169	0
Archive of European Integration	University of Pittsburgh, University Library Syste		EBSCOhost	EBSCOhost:edsupe	Searches_Automated	19171	19171	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Searches_Automated	19273	19273	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Total_Item_Investigations	5	5	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Searches_Automated	22698	22698	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Total_Item_Investigations	23	23	0
ASCE Legacy Journals	Undefined		EBSCOhost	EBSCOhost:edsalj	Searches_Automated	15737	15737	0
ASM Handbooks Online	ASM International		EBSCOhost	EBSCOhost:edsaho	Searches_Automated	15755	15755	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Searches_Automated	2	2	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Searches_Regular	2863	2863	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Total_Item_Investigations	1	1	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Total_Item_Requests	1	1	0
ASTM Compass	ASTM International		EBSCOhost	EBSCOhost:edsatm	Searches_Automated	19195	19195	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Searches_Automated	22746	22746	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Searches_Regular	100	100	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Total_Item_Investigations	146	146	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Total_Item_Requests	29	29	0
Audiobook Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:nlabk	Searches_Regular	37	37	0
Australian Public Affairs Full Text / APAIS Index	RMIT Training Pty Ltd trading as RMIT Publishing		EBSCOhost	EBSCOhost:edsaup	Searches_Automated	15754	15754	0
Australian Public Affairs Full Text / APAIS Index	RMIT Training Pty Ltd trading as RMIT Publishing		EBSCOhost	EBSCOhost:edsaup	Total_Item_Investigations	10	10	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Searches_Automated	3906	3906	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Total_Item_Investigations	37	37	0
BC Open Textbook Project	BCcampus		EBSCOhost	EBSCOhost:edsbcc	Searches_Automated	15699	15699	0
BC Open Textbook Project	BCcampus		EBSCOhost	EBSCOhost:edsbcc	Total_Item_Investigations	1	1	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Searches_Automated	19288	19288	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Searches_Regular	102	102	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Total_Item_Investigations	4	4	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Searches_Automated	15735	15735	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Total_Item_Investigations	1	1	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Searches_Automated	15452	15452	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Total_Item_Investigations	30	30	0
BioOne Complete	BioOne		EBSCOhost	EBSCOhost:edsbio	Searches_Automated	19268	19268	0
