Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:35Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An Introduction to Plant Structure and Development	Cambridge University Press		Cambridge Core	10.1017/CBO9781139165365		978-1-139-16536-5			https://doi.org/10.1017/CBO9781139165365	2005	Controlled	Unique_Item_Investigations	1	1	0
An Introduction to Plant Structure and Development	Cambridge University Press		Cambridge Core	10.1017/CBO9781139165365		978-1-139-16536-5			https://doi.org/10.1017/CBO9781139165365	2005	Controlled	Unique_Title_Investigations	1	1	0
Animal Homosexuality	Cambridge University Press		Cambridge Core	10.1017/CBO9780511762192		978-0-511-76219-2			https://doi.org/10.1017/CBO9780511762192	2010	Controlled	Total_Item_Investigations	1	1	0
Animal Homosexuality	Cambridge University Press		Cambridge Core	10.1017/CBO9780511762192		978-0-511-76219-2			https://doi.org/10.1017/CBO9780511762192	2010	Controlled	Unique_Item_Investigations	1	1	0
Animal Homosexuality	Cambridge University Press		Cambridge Core	10.1017/CBO9780511762192		978-0-511-76219-2			https://doi.org/10.1017/CBO9780511762192	2010	Controlled	Unique_Title_Investigations	1	1	0
Anthropology and Economy	Cambridge University Press		Cambridge Core	10.1017/CBO9781316442739		978-1-316-44273-9			https://doi.org/10.1017/CBO9781316442739	2015	Controlled	Total_Item_Investigations	3	1	2
Anthropology and Economy	Cambridge University Press		Cambridge Core	10.1017/CBO9781316442739		978-1-316-44273-9			https://doi.org/10.1017/CBO9781316442739	2015	Controlled	Unique_Item_Investigations	3	1	2
Anthropology and Economy	Cambridge University Press		Cambridge Core	10.1017/CBO9781316442739		978-1-316-44273-9			https://doi.org/10.1017/CBO9781316442739	2015	Controlled	Unique_Title_Investigations	3	1	2
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Controlled	Total_Item_Investigations	5	5	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Controlled	Total_Item_Requests	4	4	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Controlled	Unique_Item_Investigations	5	5	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Controlled	Unique_Item_Requests	4	4	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Controlled	Unique_Title_Investigations	1	1	0
Archbishop Theodore	Cambridge University Press		Cambridge Core	10.1017/CBO9780511627453		978-0-511-62745-3			https://doi.org/10.1017/CBO9780511627453	1995	Controlled	Unique_Title_Requests	1	1	0
Bach: Mass in B Minor	Cambridge University Press		Cambridge Core	10.1017/CBO9781139166379		978-1-139-16637-9			https://doi.org/10.1017/CBO9781139166379	1991	Controlled	Total_Item_Investigations	1	0	1
Bach: Mass in B Minor	Cambridge University Press		Cambridge Core	10.1017/CBO9781139166379		978-1-139-16637-9			https://doi.org/10.1017/CBO9781139166379	1991	Controlled	Unique_Item_Investigations	1	0	1
Bach: Mass in B Minor	Cambridge University Press		Cambridge Core	10.1017/CBO9781139166379		978-1-139-16637-9			https://doi.org/10.1017/CBO9781139166379	1991	Controlled	Unique_Title_Investigations	1	0	1
Bipolar II Disorder	Cambridge University Press		Cambridge Core	10.1017/CBO9781139003315		978-1-139-00331-5			https://doi.org/10.1017/CBO9781139003315	2012	Controlled	Total_Item_Investigations	1	0	1
