Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:38Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
British Journal of Music Education	Cambridge University Press		Cambridge Core		CUP:BME	0265-0517	1469-2104	https://www.cambridge.org/core/product/identifier/BME/type/journal	Unique_Item_Requests	1	1	0
British Journal of Nutrition	Cambridge University Press		Cambridge Core		CUP:BJN	0007-1145	1475-2662	https://www.cambridge.org/core/product/identifier/BJN/type/journal	Total_Item_Requests	19	4	15
British Journal of Nutrition	Cambridge University Press		Cambridge Core		CUP:BJN	0007-1145	1475-2662	https://www.cambridge.org/core/product/identifier/BJN/type/journal	Unique_Item_Requests	14	4	10
Cambridge Journal of Postcolonial Literary Inquiry	Cambridge University Press		Cambridge Core		CUP:PLI	2052-2614	2052-2622	https://www.cambridge.org/core/product/identifier/PLI/type/journal	Total_Item_Requests	1	1	0
Cambridge Journal of Postcolonial Literary Inquiry	Cambridge University Press		Cambridge Core		CUP:PLI	2052-2614	2052-2622	https://www.cambridge.org/core/product/identifier/PLI/type/journal	Unique_Item_Requests	1	1	0
Canadian Journal of Emergency Medicine	Cambridge University Press		Cambridge Core		CUP:CEM	1481-8035	1481-8043	https://www.cambridge.org/core/product/identifier/CEM/type/journal	Total_Item_Requests	9	0	9
Canadian Journal of Emergency Medicine	Cambridge University Press		Cambridge Core		CUP:CEM	1481-8035	1481-8043	https://www.cambridge.org/core/product/identifier/CEM/type/journal	Unique_Item_Requests	7	0	7
Canadian Journal of Political Science/Revue canadienne de science politique	Cambridge University Press		Cambridge Core		CUP:CJP	0008-4239	1744-9324	https://www.cambridge.org/core/product/identifier/CJP/type/journal	Total_Item_Requests	2	0	2
Canadian Journal of Political Science/Revue canadienne de science politique	Cambridge University Press		Cambridge Core		CUP:CJP	0008-4239	1744-9324	https://www.cambridge.org/core/product/identifier/CJP/type/journal	Unique_Item_Requests	2	0	2
Canadian Journal on Aging / La Revue canadienne du vieillissement	Cambridge University Press		Cambridge Core		CUP:CJG	0714-9808	1710-1107	https://www.cambridge.org/core/product/identifier/CJG/type/journal	Total_Item_Requests	1	0	1
Canadian Journal on Aging / La Revue canadienne du vieillissement	Cambridge University Press		Cambridge Core		CUP:CJG	0714-9808	1710-1107	https://www.cambridge.org/core/product/identifier/CJG/type/journal	Unique_Item_Requests	1	0	1
Canadian Mathematical Bulletin	Canadian Mathematical Society		Cambridge Core		CUP:BCM	0008-4395	1496-4287	https://www.cambridge.org/core/product/identifier/BCM/type/journal	Total_Item_Requests	1	1	0
Canadian Mathematical Bulletin	Canadian Mathematical Society		Cambridge Core		CUP:BCM	0008-4395	1496-4287	https://www.cambridge.org/core/product/identifier/BCM/type/journal	Unique_Item_Requests	1	1	0
CNS Spectrums	Cambridge University Press		Cambridge Core		CUP:CNS	1092-8529	2165-6509	https://www.cambridge.org/core/product/identifier/CNS/type/journal	Total_Item_Requests	2	2	0
CNS Spectrums	Cambridge University Press		Cambridge Core		CUP:CNS	1092-8529	2165-6509	https://www.cambridge.org/core/product/identifier/CNS/type/journal	Unique_Item_Requests	1	1	0
Comparative Studies in Society and History	Cambridge University Press		Cambridge Core		CUP:CSS	0010-4175	1475-2999	https://www.cambridge.org/core/product/identifier/CSS/type/journal	Total_Item_Requests	1	1	0
Comparative Studies in Society and History	Cambridge University Press		Cambridge Core		CUP:CSS	0010-4175	1475-2999	https://www.cambridge.org/core/product/identifier/CSS/type/journal	Unique_Item_Requests	1	1	0
Development and Psychopathology	Cambridge University Press		Cambridge Core		CUP:DPP	0954-5794	1469-2198	https://www.cambridge.org/core/product/identifier/DPP/type/journal	Total_Item_Requests	2	0	2
Development and Psychopathology	Cambridge University Press		Cambridge Core		CUP:DPP	0954-5794	1469-2198	https://www.cambridge.org/core/product/identifier/DPP/type/journal	Unique_Item_Requests	1	0	1
Du Bois Review: Social Science Research on Race	Cambridge University Press		Cambridge Core		CUP:DBR	1742-058X	1742-0598	https://www.cambridge.org/core/product/identifier/DBR/type/journal	Total_Item_Requests	14	0	14
Du Bois Review: Social Science Research on Race	Cambridge University Press		Cambridge Core		CUP:DBR	1742-058X	1742-0598	https://www.cambridge.org/core/product/identifier/DBR/type/journal	Unique_Item_Requests	12	0	12
Environment and Development Economics	Cambridge University Press		Cambridge Core		CUP:EDE	1355-770X	1469-4395	https://www.cambridge.org/core/product/identifier/EDE/type/journal	Total_Item_Requests	2	1	1
Environment and Development Economics	Cambridge University Press		Cambridge Core		CUP:EDE	1355-770X	1469-4395	https://www.cambridge.org/core/product/identifier/EDE/type/journal	Unique_Item_Requests	2	1	1
Environmental Conservation	Cambridge University Press		Cambridge Core		CUP:ENC	0376-8929	1469-4387	https://www.cambridge.org/core/product/identifier/ENC/type/journal	Total_Item_Requests	8	4	4
Environmental Conservation	Cambridge University Press		Cambridge Core		CUP:ENC	0376-8929	1469-4387	https://www.cambridge.org/core/product/identifier/ENC/type/journal	Unique_Item_Requests	7	4	3
Epidemiology & Infection	Cambridge University Press		Cambridge Core		CUP:HYG	0950-2688	1469-4409	https://www.cambridge.org/core/product/identifier/HYG/type/journal	Total_Item_Requests	2	2	0
Epidemiology & Infection	Cambridge University Press		Cambridge Core		CUP:HYG	0950-2688	1469-4409	https://www.cambridge.org/core/product/identifier/HYG/type/journal	Unique_Item_Requests	2	2	0
Episteme			Cambridge Core		CUP:EPI	1742-3600	1750-0117	https://www.cambridge.org/core/product/identifier/EPI/type/journal	Total_Item_Requests	5	0	5
