Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	1	1	0
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Other	Regular	Total_Item_Investigations	4	4	0
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Other	Regular	Unique_Item_Investigations	4	4	0
ACS Publications	Undefined		EBSCOhost	EBSCOhost:edsacs	Database	Regular	Searches_Automated	15737	15737	0
ACS Publications	Undefined		EBSCOhost	EBSCOhost:edsacs	Journal	Regular	Total_Item_Investigations	6	6	0
ACS Publications	Undefined		EBSCOhost	EBSCOhost:edsacs	Journal	Regular	Unique_Item_Investigations	6	6	0
ACS Publications	Undefined		EBSCOhost	EBSCOhost:edsacs	Other	Regular	Total_Item_Investigations	1	1	0
ACS Publications	Undefined		EBSCOhost	EBSCOhost:edsacs	Other	Regular	Unique_Item_Investigations	1	1	0
Adam Matthew Digital	Adam Matthew Digital		EBSCOhost	EBSCOhost:edsamd	Database	Regular	Searches_Automated	22699	22699	0
Adam Matthew Digital	Adam Matthew Digital		EBSCOhost	EBSCOhost:edsamd	Other	Regular	Total_Item_Investigations	5	5	0
Adam Matthew Digital	Adam Matthew Digital		EBSCOhost	EBSCOhost:edsamd	Other	Regular	Unique_Item_Investigations	5	5	0
Aerospace Research Central	American Institute of Aeronautics & Astronautics		EBSCOhost	EBSCOhost:edsare	Database	Regular	Searches_Automated	15727	15727	0
African Journals	Sabinet Online Limited		EBSCOhost	EBSCOhost:edssas	Database	Regular	Searches_Automated	15761	15761	0
African Journals	Sabinet Online Limited		EBSCOhost	EBSCOhost:edssas	Journal	Regular	Total_Item_Investigations	5	5	0
African Journals	Sabinet Online Limited		EBSCOhost	EBSCOhost:edssas	Journal	Regular	Unique_Item_Investigations	5	5	0
agriRxiv	Undefined		EBSCOhost	EBSCOhost:edsarv	Database	Regular	Searches_Automated	15703	15703	0
AGRIS ODS	Undefined		EBSCOhost	EBSCOhost:edsago	Database	Regular	Searches_Automated	15737	15737	0
AGRIS ODS	Undefined		EBSCOhost	EBSCOhost:edsago	Journal	Regular	Total_Item_Investigations	6	6	0
AGRIS ODS	Undefined		EBSCOhost	EBSCOhost:edsago	Journal	Regular	Unique_Item_Investigations	5	5	0
AGRIS ODS	Undefined		EBSCOhost	EBSCOhost:edsago	Other	Regular	Total_Item_Investigations	18	18	0
AGRIS ODS	Undefined		EBSCOhost	EBSCOhost:edsago	Other	Regular	Unique_Item_Investigations	18	18	0
AHRQ News Now	Undefined		EBSCOhost	EBSCOhost:edsahr	Database	Regular	Searches_Automated	15717	15717	0
Air University Library Index to Military Periodicals (AULIMP)	Defense Technical Information Center		EBSCOhost	EBSCOhost:edsaul	Database	Regular	Searches_Automated	15748	15748	0
Airiti Library eBooks & Journals - 華藝線上圖書館	Airiti Press Inc.		EBSCOhost	EBSCOhost:edsarl	Database	Regular	Searches_Automated	15783	15783	0
Airiti Library eBooks & Journals - 華藝線上圖書館	Airiti Press Inc.		EBSCOhost	EBSCOhost:edsarl	Journal	Regular	Total_Item_Investigations	6	6	0
Airiti Library eBooks & Journals - 華藝線上圖書館	Airiti Press Inc.		EBSCOhost	EBSCOhost:edsarl	Journal	Regular	Unique_Item_Investigations	6	6	0
Alexander Street	Alexander Street Press		EBSCOhost	EBSCOhost:edsasp	Book	Regular	Total_Item_Investigations	5	5	0
Alexander Street	Alexander Street Press		EBSCOhost	EBSCOhost:edsasp	Book	Regular	Unique_Item_Investigations	4	4	0
Alexander Street	Alexander Street Press		EBSCOhost	EBSCOhost:edsasp	Book	Regular	Unique_Title_Investigations	2	2	0
Alexander Street	Alexander Street Press		EBSCOhost	EBSCOhost:edsasp	Database	Regular	Searches_Automated	15773	15773	0
Alexander Street	Alexander Street Press		EBSCOhost	EBSCOhost:edsasp	Other	Regular	Total_Item_Investigations	25	25	0
Alexander Street	Alexander Street Press		EBSCOhost	EBSCOhost:edsasp	Other	Regular	Unique_Item_Investigations	18	18	0
America: History & Life	EBSCO Publishing		EBSCOhost	EBSCOhost:ahl	Database	Regular	Searches_Automated	22777	22777	0
America: History & Life	EBSCO Publishing		EBSCOhost	EBSCOhost:ahl	Database	Regular	Searches_Regular	118	118	0
America: History & Life	EBSCO Publishing		EBSCOhost	EBSCOhost:ahl	Journal	Regular	Total_Item_Investigations	73	73	0
America: History & Life	EBSCO Publishing		EBSCOhost	EBSCOhost:ahl	Journal	Regular	Unique_Item_Investigations	63	63	0
American Indian History Online	Infobase Publishing		EBSCOhost	EBSCOhost:edsaih	Database	Regular	Searches_Automated	15711	15711	0
Animal Pharm	Informa Business Intelligence		EBSCOhost	EBSCOhost:edsiap	Database	Regular	Searches_Automated	15801	15801	0
AnthroSource	Undefined		EBSCOhost	EBSCOhost:edsatr	Database	Regular	Searches_Automated	15699	15699	0
AnthroSource	Undefined		EBSCOhost	EBSCOhost:edsatr	Journal	Regular	Total_Item_Investigations	3	3	0
AnthroSource	Undefined		EBSCOhost	EBSCOhost:edsatr	Journal	Regular	Unique_Item_Investigations	2	2	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:edspdh	Database	Regular	Searches_Automated	19254	19254	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:edspdh	Journal	Regular	Total_Item_Investigations	6	6	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:edspdh	Journal	Regular	Unique_Item_Investigations	6	6	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Database	Regular	Searches_Automated	19302	19302	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Database	Regular	Searches_Regular	109	109	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Journal	Regular	Total_Item_Investigations	262	262	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Journal	Regular	Total_Item_Requests	231	231	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Journal	Regular	Unique_Item_Investigations	167	167	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Journal	Regular	Unique_Item_Requests	164	164	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Book	Regular	Total_Item_Investigations	6	6	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Book	Regular	Unique_Item_Investigations	6	6	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Book	Regular	Unique_Title_Investigations	4	4	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Database	Regular	Searches_Automated	15762	15762	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Other	Regular	Total_Item_Investigations	3	3	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Other	Regular	Unique_Item_Investigations	3	3	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Book	Regular	Total_Item_Investigations	63	63	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Book	Regular	Unique_Item_Investigations	55	55	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Book	Regular	Unique_Title_Investigations	49	49	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Database	Regular	Searches_Automated	22842	22842	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Database	Regular	Searches_Regular	702	702	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Database	Regular	Total_Item_Investigations	12	12	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Database	Regular	Unique_Item_Investigations	11	11	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Journal	Regular	Total_Item_Investigations	1219	1219	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Journal	Regular	Unique_Item_Investigations	1147	1147	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Other	Regular	Total_Item_Investigations	45	45	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Other	Regular	Unique_Item_Investigations	36	36	0
APA PsycTherapy	Undefined		EBSCOhost	EBSCOhost:ldpsy	Database	Regular	Searches_Regular	2	2	0
Aphasiology Archive	University of Pittsburgh, University Library Syste		EBSCOhost	EBSCOhost:edsupa	Database	Regular	Searches_Automated	19169	19169	0
Archive of European Integration	University of Pittsburgh, University Library Syste		EBSCOhost	EBSCOhost:edsupe	Database	Regular	Searches_Automated	19171	19171	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Database	Regular	Searches_Automated	19273	19273	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Journal	Regular	Total_Item_Investigations	5	5	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Journal	Regular	Unique_Item_Investigations	3	3	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Database	Regular	Searches_Automated	22698	22698	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Other	Regular	Total_Item_Investigations	23	23	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Other	Regular	Unique_Item_Investigations	20	20	0
