Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:40:14Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	Carol Morrison, Robert G Ackman, Shengying Zhou; 	2011-04-08	VoR	10.1139/f95-197						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	1996	Controlled	Regular	Unique_Item_Requests	1	1	0
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	Carol Morrison, Robert G Ackman, Shengying Zhou; 	2011-04-08	VoR	10.1139/f95-197						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	1996	Controlled	Regular	Total_Item_Investigations	1	1	0
Adipocytes and lipid distribution in the muscle tissue of Atlantic salmon (Salmo salar)	NRC Research Press		Canadian Science Publishing	Carol Morrison, Robert G Ackman, Shengying Zhou; 	2011-04-08	VoR	10.1139/f95-197						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	1996	Controlled	Regular	Total_Item_Requests	1	1	0
Alkoxide-functionalized cyclopentadienyl complexes of yttrium containing a two-carbon tether	NRC Research Press		Canadian Science Publishing	David J Berg, Roland AL Gendron, Tosha Barclay; 	2011-02-05	VoR	10.1139/v02-174						Canadian Journal of Chemistry				Journal	10.1139/cjc	nrc:cjc		0008-4042	1480-3291												Article	2002	Controlled	Regular	Unique_Item_Investigations	1	1	0
Alkoxide-functionalized cyclopentadienyl complexes of yttrium containing a two-carbon tether	NRC Research Press		Canadian Science Publishing	David J Berg, Roland AL Gendron, Tosha Barclay; 	2011-02-05	VoR	10.1139/v02-174						Canadian Journal of Chemistry				Journal	10.1139/cjc	nrc:cjc		0008-4042	1480-3291												Article	2002	Controlled	Regular	Total_Item_Investigations	1	1	0
American lobster: persistence in the face of high, size-selective, fishing mortality — a perspective from the southern Gulf of St. Lawrence	NRC Research Press		Canadian Science Publishing	J. Mark Hanson, Michel Comeau; 	2018-03-01	VoR	10.1139/cjfas-2017-0374						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
American lobster: persistence in the face of high, size-selective, fishing mortality — a perspective from the southern Gulf of St. Lawrence	NRC Research Press		Canadian Science Publishing	J. Mark Hanson, Michel Comeau; 	2018-03-01	VoR	10.1139/cjfas-2017-0374						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	2018	Controlled	Regular	Unique_Item_Requests	1	1	0
American lobster: persistence in the face of high, size-selective, fishing mortality — a perspective from the southern Gulf of St. Lawrence	NRC Research Press		Canadian Science Publishing	J. Mark Hanson, Michel Comeau; 	2018-03-01	VoR	10.1139/cjfas-2017-0374						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	2018	Controlled	Regular	Total_Item_Investigations	1	1	0
American lobster: persistence in the face of high, size-selective, fishing mortality — a perspective from the southern Gulf of St. Lawrence	NRC Research Press		Canadian Science Publishing	J. Mark Hanson, Michel Comeau; 	2018-03-01	VoR	10.1139/cjfas-2017-0374						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	2018	Controlled	Regular	Total_Item_Requests	1	1	0
An updated assessment of human activities, the environment, and freshwater fish biodiversity in Canada	NRC Research Press		Canadian Science Publishing	Charles K. Minns, Cindy Chu, Nicholas E. Mandrak, Nigel P. Lester; 	2014-10-10	VoR	10.1139/cjfas-2013-0609						Canadian Journal of Fisheries and Aquatic Sciences				Journal	10.1139/cjfas	nrc:cjfas		0706-652X	1205-7533												Article	2014	Controlled	Regular	Unique_Item_Investigations	1	1	0
