Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:40:11+00:00
Created_By	LibLynx LLC for Coherent Digital

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Butterbox Babies : Baby Sales, Baby Deaths. New Revelations 15 years Later	Fernwood Publishing		Coherent Digital		artifact:1871745					Total_Item_Requests	3	0	3
Butterbox Babies : Baby Sales, Baby Deaths. New Revelations 15 years Later	Fernwood Publishing		Coherent Digital		artifact:1871745					Unique_Item_Requests	3	0	3
Canada's Marine Coasts in a Changing Climate /	desLibris		Coherent Digital		artifact:1194294					Total_Item_Investigations	2	0	2
Canada's Marine Coasts in a Changing Climate /	desLibris		Coherent Digital		artifact:1194294					Unique_Item_Investigations	2	0	2
Citizenship and Precarious Labour in Canadian Agriculture - By Gerardo Otero and Kerry Preibisch	Canadian Centre For Policy Alternatives		Coherent Digital		artifact:3339365					Total_Item_Investigations	2	0	2
Citizenship and Precarious Labour in Canadian Agriculture - By Gerardo Otero and Kerry Preibisch	Canadian Centre For Policy Alternatives		Coherent Digital		artifact:3339365					Unique_Item_Investigations	1	0	1
Citizenship and Precarious Labour in Canadian Agriculture - By Gerardo Otero and Kerry Preibisch	Canadian Centre For Policy Alternatives		Coherent Digital		artifact:3339365					Total_Item_Requests	1	0	1
Citizenship and Precarious Labour in Canadian Agriculture - By Gerardo Otero and Kerry Preibisch	Canadian Centre For Policy Alternatives		Coherent Digital		artifact:3339365					Unique_Item_Requests	1	0	1
Coming Together on Supported Housing for Mental Health and Addictions	Wellesley Institute		Coherent Digital		artifact:2123546					Total_Item_Investigations	3	0	3
Coming Together on Supported Housing for Mental Health and Addictions	Wellesley Institute		Coherent Digital		artifact:2123546					Unique_Item_Investigations	2	0	2
Coming Together on Supported Housing for Mental Health and Addictions	Wellesley Institute		Coherent Digital		artifact:2123546					Total_Item_Requests	1	0	1
Coming Together on Supported Housing for Mental Health and Addictions	Wellesley Institute		Coherent Digital		artifact:2123546					Unique_Item_Requests	1	0	1
DIGITAL LITERACY: CANADA’S PRODUCTIVITY OPPORTUNITY - A WHITE PAPER FROM THE INFORMATION AND	Information and Communications Technology Council		Coherent Digital		artifact:2003383					Total_Item_Investigations	3	0	3
DIGITAL LITERACY: CANADA’S PRODUCTIVITY OPPORTUNITY - A WHITE PAPER FROM THE INFORMATION AND	Information and Communications Technology Council		Coherent Digital		artifact:2003383					Unique_Item_Investigations	1	0	1
