Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	10.1300/J082v24n03_01						Total_Item_Investigations	2	2	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	10.1300/J082v24n03_01						No_License	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	10.1080/00332747.1997.11024783						Unique_Item_Investigations	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	10.1080/00332747.1997.11024783						Unique_Item_Requests	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	10.1080/00332747.1997.11024783						Total_Item_Investigations	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	10.1080/00332747.1997.11024783						Total_Item_Requests	1	1	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	10.2752/089279396787001572						Unique_Item_Investigations	1	1	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	10.2752/089279396787001572						Unique_Item_Requests	1	1	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	10.2752/089279396787001572						Total_Item_Investigations	4	4	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	10.2752/089279396787001572						Total_Item_Requests	1	1	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2132356						Unique_Item_Investigations	3	3	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2132356						Unique_Item_Requests	3	3	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2132356						Total_Item_Investigations	4	4	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2132356						Total_Item_Requests	4	4	0
