Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Book|Journal; Data_Type=Article|Book|Book_Segment
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates(Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:25Z
Created_By	ingentaconnect

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Comparison of Systemic Extended-release Buprenorphine and Local Extended-release Bupivacaine-Meloxicam as Analgesics for Laparotomy in Mice	American Association for Laboratory Animal Science		connect	Yang; Peggy and Hish; Gerry and Lester; Patrick A; 		VoR	10.30802/aalas-jaalas-22-000107			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000005/art00005	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Comparison of Systemic Extended-release Buprenorphine and Local Extended-release Bupivacaine-Meloxicam as Analgesics for Laparotomy in Mice	American Association for Laboratory Animal Science		connect	Yang; Peggy and Hish; Gerry and Lester; Patrick A; 		VoR	10.30802/aalas-jaalas-22-000107			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000005/art00005	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2023	Controlled	Regular	No_License	1	1	0
Determination of the Feasibility of Fish Attracting Devices for Enhancing Fisheries in Puerto Rico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect	Feigenbaum; David and Friedlander; Alan and Bushing; Mark; 		VoR				0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/1989/00000044/00000002/art00039	Bulletin of Marine Science			VoR					0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar											Article	1989	Controlled	Regular	Total_Item_Investigations	1	1	0
Determination of the Feasibility of Fish Attracting Devices for Enhancing Fisheries in Puerto Rico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect	Feigenbaum; David and Friedlander; Alan and Bushing; Mark; 		VoR				0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/1989/00000044/00000002/art00039	Bulletin of Marine Science			VoR					0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar											Article	1989	Controlled	Regular	Unique_Item_Investigations	1	1	0
Eat, Sleep, Console and Adjunctive Buprenorphine Improved Outcomes in Neonatal Opioid Withdrawal Syndrome	Wolters Kluwer		connect	Hein; Sarrah and Clouser; Barbara and Tamim; Mohammed M. and Lockett; Diane and Brauer; Kathleen and Cooper; Linda and Cleveland; Lisa; 		VoR	10.1097/anc.0000000000000824			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc/2021/00000021/00000001/art00011	Advances in Neonatal Care			VoR					1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc											Article	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
Eat, Sleep, Console and Adjunctive Buprenorphine Improved Outcomes in Neonatal Opioid Withdrawal Syndrome	Wolters Kluwer		connect	Hein; Sarrah and Clouser; Barbara and Tamim; Mohammed M. and Lockett; Diane and Brauer; Kathleen and Cooper; Linda and Cleveland; Lisa; 		VoR	10.1097/anc.0000000000000824			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc/2021/00000021/00000001/art00011	Advances in Neonatal Care			VoR					1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc											Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Eat, Sleep, Console and Adjunctive Buprenorphine Improved Outcomes in Neonatal Opioid Withdrawal Syndrome	Wolters Kluwer		connect	Hein; Sarrah and Clouser; Barbara and Tamim; Mohammed M. and Lockett; Diane and Brauer; Kathleen and Cooper; Linda and Cleveland; Lisa; 		VoR	10.1097/anc.0000000000000824			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc/2021/00000021/00000001/art00011	Advances in Neonatal Care			VoR					1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc											Article	2021	Controlled	Regular	No_License	1	1	0
Effects of transformational and shared leadership styles on employees' perception of team effectiveness	Scientific Journal Publishers		connect	Choi; Suk Bong and Kim; Kihwan and Kang; Seung-Wan; 		VoR	10.2224/sbp.5805			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp/2017/00000045/00000003/art00003	Social Behavior and Personality: an international journal			VoR					0301-2212		https://www.ingentaconnect.com/content/sbp/sbp											Article	2017	Controlled	Regular	Total_Item_Investigations	1	1	0
Effects of transformational and shared leadership styles on employees' perception of team effectiveness	Scientific Journal Publishers		connect	Choi; Suk Bong and Kim; Kihwan and Kang; Seung-Wan; 		VoR	10.2224/sbp.5805			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp/2017/00000045/00000003/art00003	Social Behavior and Personality: an international journal			VoR					0301-2212		https://www.ingentaconnect.com/content/sbp/sbp											Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Effects of transformational and shared leadership styles on employees' perception of team effectiveness	Scientific Journal Publishers		connect	Choi; Suk Bong and Kim; Kihwan and Kang; Seung-Wan; 		VoR	10.2224/sbp.5805			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp/2017/00000045/00000003/art00003	Social Behavior and Personality: an international journal			VoR					0301-2212		https://www.ingentaconnect.com/content/sbp/sbp											Article	2017	Controlled	Regular	No_License	1	1	0
Environmental Economics, Ecological Economics, and the Concept of Sustainable Development	White Horse Press		connect	Munda; Giuseppe; 		VoR	10.3197/096327197776679158			0963-2719		https://www.ingentaconnect.com/content/whp/ev/1997/00000006/00000002/art00006	Environmental Values			VoR					0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev											Article	1997	Controlled	Regular	Total_Item_Investigations	2	2	0
Environmental Economics, Ecological Economics, and the Concept of Sustainable Development	White Horse Press		connect	Munda; Giuseppe; 		VoR	10.3197/096327197776679158			0963-2719		https://www.ingentaconnect.com/content/whp/ev/1997/00000006/00000002/art00006	Environmental Values			VoR					0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev											Article	1997	Controlled	Regular	Unique_Item_Investigations	1	1	0
Environmental Economics, Ecological Economics, and the Concept of Sustainable Development	White Horse Press		connect	Munda; Giuseppe; 		VoR	10.3197/096327197776679158			0963-2719		https://www.ingentaconnect.com/content/whp/ev/1997/00000006/00000002/art00006	Environmental Values			VoR					0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev											Article	1997	Controlled	Regular	No_License	2	2	0
Evaluation of a Behavioral Test for Sickness Behavior Associated with Fusarium Mycotoxin Ingestion in Female Beagle Dogs (Canis familiaris)	American Association for Laboratory Animal Science		connect	Brunt; Michael W and Turner; Patricia V and Leung; Maxwell C K and Millman; Suzanne T; 		VoR	10.30802/aalas-jaalas-22-000104			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000004/art00009	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Evaluation of a Behavioral Test for Sickness Behavior Associated with Fusarium Mycotoxin Ingestion in Female Beagle Dogs (Canis familiaris)	American Association for Laboratory Animal Science		connect	Brunt; Michael W and Turner; Patricia V and Leung; Maxwell C K and Millman; Suzanne T; 		VoR	10.30802/aalas-jaalas-22-000104			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000004/art00009	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
