Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T05:29:10Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas		2021-08-03		10.1126/science.caredit.abl7645						Articles				Other	10.1126/article	aaas:article															Other	2021	Controlled	Regular	Total_Item_Investigations	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas		2021-08-03		10.1126/science.caredit.abl7645						Articles				Other	10.1126/article	aaas:article															Other	2021	Controlled	Regular	Total_Item_Requests	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	David A. T. Harper, M. Paul Smith; 	2021-04-26	VoR	10.1126/science.1239450						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Unique_Item_Investigations	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	David A. T. Harper, M. Paul Smith; 	2021-04-26	VoR	10.1126/science.1239450						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Unique_Item_Requests	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	David A. T. Harper, M. Paul Smith; 	2021-04-26	VoR	10.1126/science.1239450						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Total_Item_Investigations	1	1
Causes of the Cambrian Explosion	American Association for the Advancement of Science		aaas	David A. T. Harper, M. Paul Smith; 	2021-04-26	VoR	10.1126/science.1239450						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Total_Item_Requests	1	1
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	Carl-Johan Rubin, Peter R. Grant, Peter M. Visscher, Ashley T. Sendell-Price, B. Rosemary Grant, C. Grace Sprehn, Erik D. Enbody, Leif Andersson; 	2023-09-29	VoR	10.1126/science.adf6218						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	Carl-Johan Rubin, Peter R. Grant, Peter M. Visscher, Ashley T. Sendell-Price, B. Rosemary Grant, C. Grace Sprehn, Erik D. Enbody, Leif Andersson; 	2023-09-29	VoR	10.1126/science.adf6218						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Requests	1	1
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	Carl-Johan Rubin, Peter R. Grant, Peter M. Visscher, Ashley T. Sendell-Price, B. Rosemary Grant, C. Grace Sprehn, Erik D. Enbody, Leif Andersson; 	2023-09-29	VoR	10.1126/science.adf6218						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Investigations	2	2
Community-wide genome sequencing reveals 30 years of Darwin’s finch evolution	American Association for the Advancement of Science		aaas	Carl-Johan Rubin, Peter R. Grant, Peter M. Visscher, Ashley T. Sendell-Price, B. Rosemary Grant, C. Grace Sprehn, Erik D. Enbody, Leif Andersson; 	2023-09-29	VoR	10.1126/science.adf6218						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Requests	2	2
Complementary DNA Coding Click Beetle Luciferases Can Elicit Bioluminescence of Different Colors	American Association for the Advancement of Science		aaas	Howard H. Seliger, Keith V. Wood, William D. McElroy, Y. Amy Lam; 	1989-05-12	VoR	10.1126/science.2655091						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	1989	Controlled	Regular	Unique_Item_Investigations	1	1
Complementary DNA Coding Click Beetle Luciferases Can Elicit Bioluminescence of Different Colors	American Association for the Advancement of Science		aaas	Howard H. Seliger, Keith V. Wood, William D. McElroy, Y. Amy Lam; 	1989-05-12	VoR	10.1126/science.2655091						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	1989	Controlled	Regular	Total_Item_Investigations	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	Brandon A. Krick, Erica Lilleodden, Gerald R. Bourne, Gregory M. Erickson, Mark A. Norell, Matthew Hamilton, W. Gregory Sawyer; 	2021-04-28	VoR	10.1126/science.1224495						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2012	Controlled	Regular	Unique_Item_Investigations	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	Brandon A. Krick, Erica Lilleodden, Gerald R. Bourne, Gregory M. Erickson, Mark A. Norell, Matthew Hamilton, W. Gregory Sawyer; 	2021-04-28	VoR	10.1126/science.1224495						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2012	Controlled	Regular	Unique_Item_Requests	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	Brandon A. Krick, Erica Lilleodden, Gerald R. Bourne, Gregory M. Erickson, Mark A. Norell, Matthew Hamilton, W. Gregory Sawyer; 	2021-04-28	VoR	10.1126/science.1224495						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2012	Controlled	Regular	Total_Item_Investigations	1	1
Complex Dental Structure and Wear Biomechanics in Hadrosaurid Dinosaurs	American Association for the Advancement of Science		aaas	Brandon A. Krick, Erica Lilleodden, Gerald R. Bourne, Gregory M. Erickson, Mark A. Norell, Matthew Hamilton, W. Gregory Sawyer; 	2021-04-28	VoR	10.1126/science.1224495						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2012	Controlled	Regular	Total_Item_Requests	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	Ankush Auradkar, Emily A. Bulger, Ethan Bier, Sushil Devkota, William McGinnis; 	2021-11-10	VoR	10.1126/sciadv.abk1003						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2021	OA_Gold	Regular	Unique_Item_Investigations	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	Ankush Auradkar, Emily A. Bulger, Ethan Bier, Sushil Devkota, William McGinnis; 	2021-11-10	VoR	10.1126/sciadv.abk1003						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2021	OA_Gold	Regular	Unique_Item_Requests	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	Ankush Auradkar, Emily A. Bulger, Ethan Bier, Sushil Devkota, William McGinnis; 	2021-11-10	VoR	10.1126/sciadv.abk1003						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2021	OA_Gold	Regular	Total_Item_Investigations	1	1
Dissecting the evolutionary role of the Hox gene proboscipedia in Drosophila mouthpart diversification by full locus replacement	American Association for the Advancement of Science		aaas	Ankush Auradkar, Emily A. Bulger, Ethan Bier, Sushil Devkota, William McGinnis; 	2021-11-10	VoR	10.1126/sciadv.abk1003						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2021	OA_Gold	Regular	Total_Item_Requests	1	1
Echolocation and Pursuit of Prey by Bats	American Association for the Advancement of Science		aaas	James A. Simmons, M. Brock Fenton, Michael J. O'Farrell; 	1979-01-05	VoR	10.1126/science.758674						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	1979	Controlled	Regular	Unique_Item_Investigations	1	1
Echolocation and Pursuit of Prey by Bats	American Association for the Advancement of Science		aaas	James A. Simmons, M. Brock Fenton, Michael J. O'Farrell; 	1979-01-05	VoR	10.1126/science.758674						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	1979	Controlled	Regular	Total_Item_Investigations	1	1
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	Gary F. McCracken, Justin G. Boyles, Paul M. Cryan, Thomas H. Kunz; 	2021-04-26	VoR	10.1126/science.1201366						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2011	Controlled	Regular	Unique_Item_Investigations	1	1
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	Gary F. McCracken, Justin G. Boyles, Paul M. Cryan, Thomas H. Kunz; 	2021-04-26	VoR	10.1126/science.1201366						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2011	Controlled	Regular	Unique_Item_Requests	1	1
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	Gary F. McCracken, Justin G. Boyles, Paul M. Cryan, Thomas H. Kunz; 	2021-04-26	VoR	10.1126/science.1201366						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2011	Controlled	Regular	Total_Item_Investigations	2	2
Economic Importance of Bats in Agriculture	American Association for the Advancement of Science		aaas	Gary F. McCracken, Justin G. Boyles, Paul M. Cryan, Thomas H. Kunz; 	2021-04-26	VoR	10.1126/science.1201366						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2011	Controlled	Regular	Total_Item_Requests	2	2
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	Alicia Zhao, Allen Fawcett, Amanda Levin, Anne Hamilton, Christopher Roney, Dallas Burtraw, Greg Schivley, Haewon McJeon, Hannah Kolus, Maxwell Brown, Nicholas Roy, Shelley Wenzel, Ben King, James McFarland, John Bistline, Mei Yuan, Nadejda Victor, Ryan Jones, Cara Marcy, Erin Mayfield, Geoffrey Blanford, John Weyant, Maya Domeshek, Megan Mahajan, Daniel Steinberg, Jesse Jenkins, John Larsen, Robbie Orvis, Ryan Wiser, Jamil Farbes, Kevin Rennert, Neha Patankar; 	2023-06-29	VoR	10.1126/science.adg3781						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Investigations	3	3
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	Alicia Zhao, Allen Fawcett, Amanda Levin, Anne Hamilton, Christopher Roney, Dallas Burtraw, Greg Schivley, Haewon McJeon, Hannah Kolus, Maxwell Brown, Nicholas Roy, Shelley Wenzel, Ben King, James McFarland, John Bistline, Mei Yuan, Nadejda Victor, Ryan Jones, Cara Marcy, Erin Mayfield, Geoffrey Blanford, John Weyant, Maya Domeshek, Megan Mahajan, Daniel Steinberg, Jesse Jenkins, John Larsen, Robbie Orvis, Ryan Wiser, Jamil Farbes, Kevin Rennert, Neha Patankar; 	2023-06-29	VoR	10.1126/science.adg3781						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Requests	3	3
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	Alicia Zhao, Allen Fawcett, Amanda Levin, Anne Hamilton, Christopher Roney, Dallas Burtraw, Greg Schivley, Haewon McJeon, Hannah Kolus, Maxwell Brown, Nicholas Roy, Shelley Wenzel, Ben King, James McFarland, John Bistline, Mei Yuan, Nadejda Victor, Ryan Jones, Cara Marcy, Erin Mayfield, Geoffrey Blanford, John Weyant, Maya Domeshek, Megan Mahajan, Daniel Steinberg, Jesse Jenkins, John Larsen, Robbie Orvis, Ryan Wiser, Jamil Farbes, Kevin Rennert, Neha Patankar; 	2023-06-29	VoR	10.1126/science.adg3781						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Investigations	5	5
Emissions and energy impacts of the Inflation Reduction Act	American Association for the Advancement of Science		aaas	Alicia Zhao, Allen Fawcett, Amanda Levin, Anne Hamilton, Christopher Roney, Dallas Burtraw, Greg Schivley, Haewon McJeon, Hannah Kolus, Maxwell Brown, Nicholas Roy, Shelley Wenzel, Ben King, James McFarland, John Bistline, Mei Yuan, Nadejda Victor, Ryan Jones, Cara Marcy, Erin Mayfield, Geoffrey Blanford, John Weyant, Maya Domeshek, Megan Mahajan, Daniel Steinberg, Jesse Jenkins, John Larsen, Robbie Orvis, Ryan Wiser, Jamil Farbes, Kevin Rennert, Neha Patankar; 	2023-06-29	VoR	10.1126/science.adg3781						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Requests	5	5
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	Kevin E. Healy, Robert M. Nerem, Todd C. McDevitt, William L. Murphy; 	2021-04-27	VoR	10.1126/scitranslmed.3007609						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2013	Controlled	Regular	Unique_Item_Investigations	2	2
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	Kevin E. Healy, Robert M. Nerem, Todd C. McDevitt, William L. Murphy; 	2021-04-27	VoR	10.1126/scitranslmed.3007609						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2013	Controlled	Regular	Unique_Item_Requests	2	2
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	Kevin E. Healy, Robert M. Nerem, Todd C. McDevitt, William L. Murphy; 	2021-04-27	VoR	10.1126/scitranslmed.3007609						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2013	Controlled	Regular	Total_Item_Investigations	2	2
Engineering the Emergence of Stem Cell Therapeutics	American Association for the Advancement of Science		aaas	Kevin E. Healy, Robert M. Nerem, Todd C. McDevitt, William L. Murphy; 	2021-04-27	VoR	10.1126/scitranslmed.3007609						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2013	Controlled	Regular	Total_Item_Requests	2	2
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas		2022-04-27	VoR	10.1126/scitranslmed.abg8900						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas		2022-04-27	VoR	10.1126/scitranslmed.abg8900						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2022	Controlled	Regular	Unique_Item_Requests	1	1
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas		2022-04-27	VoR	10.1126/scitranslmed.abg8900						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2022	Controlled	Regular	Total_Item_Investigations	1	1
Erratum for the Research Article “The SARS-CoV-2 monoclonal antibody combination, AZD7442, is protective in nonhuman primates and has an extended half-life in humans” by Y.-M. Loo et al.	American Association for the Advancement of Science		aaas		2022-04-27	VoR	10.1126/scitranslmed.abg8900						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2022	Controlled	Regular	Total_Item_Requests	1	1
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas		2024-01-22		10.1126/science.z0oibzm						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Investigations	2	2
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas		2024-01-22		10.1126/science.z0oibzm						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Requests	2	2
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas		2024-01-22		10.1126/science.z0oibzm						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Investigations	2	2
Errors found in dozens of papers by top scientists at Dana-Farber Cancer Institute	American Association for the Advancement of Science		aaas		2024-01-22		10.1126/science.z0oibzm						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Requests	2	2
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	Kathryn R. Elmer; 	2024-01-04	VoR	10.1126/science.adm9239						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	Kathryn R. Elmer; 	2024-01-04	VoR	10.1126/science.adm9239						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Requests	1	1
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	Kathryn R. Elmer; 	2024-01-04	VoR	10.1126/science.adm9239						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Investigations	1	1
Evolutionary paths to new phenotypes	American Association for the Advancement of Science		aaas	Kathryn R. Elmer; 	2024-01-04	VoR	10.1126/science.adm9239						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Requests	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas		2024-01-18		10.1126/science.zu1jvr6						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Investigations	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas		2024-01-18		10.1126/science.zu1jvr6						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Requests	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas		2024-01-18		10.1126/science.zu1jvr6						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Investigations	1	1
First SARS-CoV-2 genome was deposited in U.S. database earlier than previously known	American Association for the Advancement of Science		aaas		2024-01-18		10.1126/science.zu1jvr6						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Requests	1	1
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	Adam D. Hayward, Andrea L. Graham, Daniel H. Nussey, Jill G. Pilkington, Josephine M. Pemberton, Kathryn A. Watt; 	2021-04-25	VoR	10.1126/science.1194878						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2010	Controlled	Regular	Unique_Item_Investigations	1	1
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	Adam D. Hayward, Andrea L. Graham, Daniel H. Nussey, Jill G. Pilkington, Josephine M. Pemberton, Kathryn A. Watt; 	2021-04-25	VoR	10.1126/science.1194878						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2010	Controlled	Regular	Unique_Item_Requests	1	1
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	Adam D. Hayward, Andrea L. Graham, Daniel H. Nussey, Jill G. Pilkington, Josephine M. Pemberton, Kathryn A. Watt; 	2021-04-25	VoR	10.1126/science.1194878						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2010	Controlled	Regular	Total_Item_Investigations	2	2
Fitness Correlates of Heritable Variation in Antibody Responsiveness in a Wild Mammal	American Association for the Advancement of Science		aaas	Adam D. Hayward, Andrea L. Graham, Daniel H. Nussey, Jill G. Pilkington, Josephine M. Pemberton, Kathryn A. Watt; 	2021-04-25	VoR	10.1126/science.1194878						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2010	Controlled	Regular	Total_Item_Requests	2	2
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	D. J. T. Sumpter, E. Despland, E. R. Miller, I. D. Couzin, J. Buhl, J. J. Hale, S. J. Simpson; 	2021-04-24	VoR	10.1126/science.1125142						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2006	Controlled	Regular	Unique_Item_Investigations	1	1
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	D. J. T. Sumpter, E. Despland, E. R. Miller, I. D. Couzin, J. Buhl, J. J. Hale, S. J. Simpson; 	2021-04-24	VoR	10.1126/science.1125142						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2006	Controlled	Regular	Unique_Item_Requests	1	1
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	D. J. T. Sumpter, E. Despland, E. R. Miller, I. D. Couzin, J. Buhl, J. J. Hale, S. J. Simpson; 	2021-04-24	VoR	10.1126/science.1125142						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2006	Controlled	Regular	Total_Item_Investigations	1	1
From Disorder to Order in Marching Locusts	American Association for the Advancement of Science		aaas	D. J. T. Sumpter, E. Despland, E. R. Miller, I. D. Couzin, J. Buhl, J. J. Hale, S. J. Simpson; 	2021-04-24	VoR	10.1126/science.1125142						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2006	Controlled	Regular	Total_Item_Requests	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	Rebecca L. Melen; 	2021-04-25	VoR	10.1126/science.aau5105						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	Rebecca L. Melen; 	2021-04-25	VoR	10.1126/science.aau5105						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2019	Controlled	Regular	Unique_Item_Requests	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	Rebecca L. Melen; 	2021-04-25	VoR	10.1126/science.aau5105						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2019	Controlled	Regular	Total_Item_Investigations	1	1
Frontiers in molecular p-block chemistry: From structure to reactivity	American Association for the Advancement of Science		aaas	Rebecca L. Melen; 	2021-04-25	VoR	10.1126/science.aau5105						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2019	Controlled	Regular	Total_Item_Requests	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	Becky Cooper, Hitoshi Araki, Michael S. Blouin; 	2021-04-29	VoR	10.1126/science.1145621						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2007	Controlled	Regular	Unique_Item_Investigations	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	Becky Cooper, Hitoshi Araki, Michael S. Blouin; 	2021-04-29	VoR	10.1126/science.1145621						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2007	Controlled	Regular	Unique_Item_Requests	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	Becky Cooper, Hitoshi Araki, Michael S. Blouin; 	2021-04-29	VoR	10.1126/science.1145621						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2007	Controlled	Regular	Total_Item_Investigations	1	1
Genetic Effects of Captive Breeding Cause a Rapid, Cumulative Fitness Decline in the Wild	American Association for the Advancement of Science		aaas	Becky Cooper, Hitoshi Araki, Michael S. Blouin; 	2021-04-29	VoR	10.1126/science.1145621						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2007	Controlled	Regular	Total_Item_Requests	1	1
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	Siliang Song, Jianzhi Zhang; 	2024-01-03	VoR	10.1126/sciadv.adj6958						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2024	OA_Gold	Regular	Unique_Item_Investigations	6	6
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	Siliang Song, Jianzhi Zhang; 	2024-01-03	VoR	10.1126/sciadv.adj6958						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2024	OA_Gold	Regular	Unique_Item_Requests	6	6
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	Siliang Song, Jianzhi Zhang; 	2024-01-03	VoR	10.1126/sciadv.adj6958						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2024	OA_Gold	Regular	Total_Item_Investigations	6	6
Genetic variants underlying human bisexual behavior are reproductively advantageous	American Association for the Advancement of Science		aaas	Siliang Song, Jianzhi Zhang; 	2024-01-03	VoR	10.1126/sciadv.adj6958						Science Advances				Journal	10.1126/sciadv	aaas:sciadv			2375-2548												Article	2024	OA_Gold	Regular	Total_Item_Requests	6	6
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	Andrew P. McMahon, Clifford J. Tabin; 	2021-04-25	VoR	10.1126/science.1162474						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2008	Controlled	Regular	Unique_Item_Investigations	1	1
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	Andrew P. McMahon, Clifford J. Tabin; 	2021-04-25	VoR	10.1126/science.1162474						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2008	Controlled	Regular	Unique_Item_Requests	1	1
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	Andrew P. McMahon, Clifford J. Tabin; 	2021-04-25	VoR	10.1126/science.1162474						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2008	Controlled	Regular	Total_Item_Investigations	3	3
Grasping Limb Patterning	American Association for the Advancement of Science		aaas	Andrew P. McMahon, Clifford J. Tabin; 	2021-04-25	VoR	10.1126/science.1162474						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2008	Controlled	Regular	Total_Item_Requests	3	3
