Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	"""UNIV OF PRINCE EDWARD ISLAND, ROBERTSON LIBRARY"""
Institution_ID	pnas:PR447048
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-10-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:52:56Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Bioclimatic and physical characterization of the world’s islands	Proceedings of the National Academy of Sciences		pnas	Patrick Weigelt, Walter Jetz, Holger Kreft; 	2013-09-03	VoR	10.1073/pnas.1306309110						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2013	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Bioclimatic and physical characterization of the world’s islands	Proceedings of the National Academy of Sciences		pnas	Patrick Weigelt, Walter Jetz, Holger Kreft; 	2013-09-03	VoR	10.1073/pnas.1306309110						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2013	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Blood Groups of the Rat (Rattus Norvegicus) and Their Inheritance	Proceedings of the National Academy of Sciences		pnas	S. O. Burhoe; 	1947-05-01	VoR	10.1073/pnas.33.5.102						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	1947	Controlled	Regular	Unique_Item_Investigations	1	1	0
Blood Groups of the Rat (Rattus Norvegicus) and Their Inheritance	Proceedings of the National Academy of Sciences		pnas	S. O. Burhoe; 	1947-05-01	VoR	10.1073/pnas.33.5.102						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	1947	Controlled	Regular	Total_Item_Requests	1	1	0
Blood Groups of the Rat (Rattus Norvegicus) and Their Inheritance	Proceedings of the National Academy of Sciences		pnas	S. O. Burhoe; 	1947-05-01	VoR	10.1073/pnas.33.5.102						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	1947	Controlled	Regular	Total_Item_Investigations	1	1	0
Blood Groups of the Rat (Rattus Norvegicus) and Their Inheritance	Proceedings of the National Academy of Sciences		pnas	S. O. Burhoe; 	1947-05-01	VoR	10.1073/pnas.33.5.102						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	1947	Controlled	Regular	Unique_Item_Requests	1	1	0
cAMP-inducible coactivator CRTC3 attenuates brown adipose tissue thermogenesis	Proceedings of the National Academy of Sciences		pnas	Ezra Wiater, Shigenobu Matsumura, Youngsup Song, Kamal Rahmouni, Young-Sil Yoon, Sam Van de Velde, Wen-Wei Tsai, Donald A. Morgan, Kuo-Fen Lee, Marc Montminy, Zhijiang Chen; 	2018-05-21	VoR	10.1073/pnas.1805257115						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2018	Controlled	Regular	Unique_Item_Investigations	1	1	0
cAMP-inducible coactivator CRTC3 attenuates brown adipose tissue thermogenesis	Proceedings of the National Academy of Sciences		pnas	Ezra Wiater, Shigenobu Matsumura, Youngsup Song, Kamal Rahmouni, Young-Sil Yoon, Sam Van de Velde, Wen-Wei Tsai, Donald A. Morgan, Kuo-Fen Lee, Marc Montminy, Zhijiang Chen; 	2018-05-21	VoR	10.1073/pnas.1805257115						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2018	Controlled	Regular	Total_Item_Requests	1	1	0
cAMP-inducible coactivator CRTC3 attenuates brown adipose tissue thermogenesis	Proceedings of the National Academy of Sciences		pnas	Ezra Wiater, Shigenobu Matsumura, Youngsup Song, Kamal Rahmouni, Young-Sil Yoon, Sam Van de Velde, Wen-Wei Tsai, Donald A. Morgan, Kuo-Fen Lee, Marc Montminy, Zhijiang Chen; 	2018-05-21	VoR	10.1073/pnas.1805257115						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2018	Controlled	Regular	Total_Item_Investigations	2	2	0
cAMP-inducible coactivator CRTC3 attenuates brown adipose tissue thermogenesis	Proceedings of the National Academy of Sciences		pnas	Ezra Wiater, Shigenobu Matsumura, Youngsup Song, Kamal Rahmouni, Young-Sil Yoon, Sam Van de Velde, Wen-Wei Tsai, Donald A. Morgan, Kuo-Fen Lee, Marc Montminy, Zhijiang Chen; 	2018-05-21	VoR	10.1073/pnas.1805257115						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2018	Controlled	Regular	Unique_Item_Requests	1	1	0
Changes in human skull morphology across the agricultural transition are consistent with softer diets in preindustrial farming groups	Proceedings of the National Academy of Sciences		pnas	Timothy D. Weaver, David C. Katz, Mark N. Grote; 	2017-07-24	VoR	10.1073/pnas.1702586114						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Changes in human skull morphology across the agricultural transition are consistent with softer diets in preindustrial farming groups	Proceedings of the National Academy of Sciences		pnas	Timothy D. Weaver, David C. Katz, Mark N. Grote; 	2017-07-24	VoR	10.1073/pnas.1702586114						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2017	Controlled	Regular	Total_Item_Requests	1	1	0
Changes in human skull morphology across the agricultural transition are consistent with softer diets in preindustrial farming groups	Proceedings of the National Academy of Sciences		pnas	Timothy D. Weaver, David C. Katz, Mark N. Grote; 	2017-07-24	VoR	10.1073/pnas.1702586114						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2017	Controlled	Regular	Total_Item_Investigations	1	1	0
Changes in human skull morphology across the agricultural transition are consistent with softer diets in preindustrial farming groups	Proceedings of the National Academy of Sciences		pnas	Timothy D. Weaver, David C. Katz, Mark N. Grote; 	2017-07-24	VoR	10.1073/pnas.1702586114						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2017	Controlled	Regular	Unique_Item_Requests	1	1	0
China, the Democratic Republic of the Congo, and artisanal cobalt mining from 2000 through 2020	Proceedings of the National Academy of Sciences		pnas	Andrew L. Gulley; 	2023-06-20	VoR	10.1073/pnas.2212037120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
China, the Democratic Republic of the Congo, and artisanal cobalt mining from 2000 through 2020	Proceedings of the National Academy of Sciences		pnas	Andrew L. Gulley; 	2023-06-20	VoR	10.1073/pnas.2212037120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	OA_Gold	Regular	Total_Item_Requests	1	1	0
China, the Democratic Republic of the Congo, and artisanal cobalt mining from 2000 through 2020	Proceedings of the National Academy of Sciences		pnas	Andrew L. Gulley; 	2023-06-20	VoR	10.1073/pnas.2212037120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1	0
China, the Democratic Republic of the Congo, and artisanal cobalt mining from 2000 through 2020	Proceedings of the National Academy of Sciences		pnas	Andrew L. Gulley; 	2023-06-20	VoR	10.1073/pnas.2212037120						Proceedings of the National Academy of Sciences				Journal	10.1073/eissn.1091-6490	pnas:pnas		0027-8424	1091-6490												Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
