Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Total_Item_Requests; Unique_Item_Requests; Total_Item_Investigations; Unique_Item_Investigations
Report_Filters	Data_Type=Newspaper_or_Newsletter; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	Attributes_To_Show=YOP|Data_Type|Section_Type|Access_Type|Access_Method
Exceptions	3062: Invalid ReportAttribute Value (Access_Method is not a recognized attribute for this report)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:51:59Z
Created_By	NewsBank Inc.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Daily Gate City (Keokuk, IA)	Community Media Group, Inc.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	1	0	1
Daily Gate City (Keokuk, IA)	Community Media Group, Inc.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	1	0	1
Daily Gate City (Keokuk, IA)	Community Media Group, Inc.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	0	1
Daily Telegraph, The/The Sunday Telegraph (London, England)	Telegraph Media Group Ltd		NewsBank							Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Investigations	1	0	1
Daily Telegraph, The/The Sunday Telegraph (London, England)	Telegraph Media Group Ltd		NewsBank							Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	0	1
Denver Post, The (CO)	MediaNews Group, Inc.		NewsBank				1930-2193			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	1	0	1
Denver Post, The (CO)	MediaNews Group, Inc.		NewsBank				1930-2193			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	1	0	1
Denver Post, The (CO)	MediaNews Group, Inc.		NewsBank				1930-2193			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	1	0	1
Denver Post, The (CO)	MediaNews Group, Inc.		NewsBank				1930-2193			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	0	1
Economic Times, The (Mumbai, India)	Bennett, Coleman & Co. Ltd. (The Times Group)		NewsBank				0013-0389			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Requests	1	0	1
Economic Times, The (Mumbai, India)	Bennett, Coleman & Co. Ltd. (The Times Group)		NewsBank				0013-0389			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Requests	1	0	1
Economic Times, The (Mumbai, India)	Bennett, Coleman & Co. Ltd. (The Times Group)		NewsBank				0013-0389			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Investigations	1	0	1
Economic Times, The (Mumbai, India)	Bennett, Coleman & Co. Ltd. (The Times Group)		NewsBank				0013-0389			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	0	1
Electronics for You (New Delhi, India)	EFY Enterprises Pvt. Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2011	Controlled	Regular	Total_Item_Requests	6	6	0
Electronics for You (New Delhi, India)	EFY Enterprises Pvt. Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2011	Controlled	Regular	Unique_Item_Requests	4	4	0
Electronics for You (New Delhi, India)	EFY Enterprises Pvt. Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2011	Controlled	Regular	Total_Item_Investigations	8	8	0
Electronics for You (New Delhi, India)	EFY Enterprises Pvt. Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2011	Controlled	Regular	Unique_Item_Investigations	6	6	0
Express & Star (Wolverhampton, England)	Midland News Association Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Investigations	1	0	1
Express & Star (Wolverhampton, England)	Midland News Association Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	0	1
ForeignAffairs (New Zealand)	Multimedia Investments Ltd (NZ)		NewsBank							Newspaper_or_Newsletter	Article	2022	Controlled	Regular	Total_Item_Investigations	1	0	1
ForeignAffairs (New Zealand)	Multimedia Investments Ltd (NZ)		NewsBank							Newspaper_or_Newsletter	Article	2022	Controlled	Regular	Unique_Item_Investigations	1	0	1
Georgetown Independent (Canada)	Torstar Syndication Services		NewsBank				0834-6518			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Requests	4	0	4
Georgetown Independent (Canada)	Torstar Syndication Services		NewsBank				0834-6518			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Requests	1	0	1
Georgetown Independent (Canada)	Torstar Syndication Services		NewsBank				0834-6518			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Investigations	5	0	5
Georgetown Independent (Canada)	Torstar Syndication Services		NewsBank				0834-6518			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Investigations	2	0	2
Grimsby Evening Telegraph (England)	Reach PLC		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	1	0	1
Grimsby Evening Telegraph (England)	Reach PLC		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	0	1
Guardian, The (Charlottetown, Canada)	SaltWire Network Inc		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	71	14	57
Guardian, The (Charlottetown, Canada)	SaltWire Network Inc		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	59	12	47
Guardian, The (Charlottetown, Canada)	SaltWire Network Inc		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	157	18	139
Guardian, The (Charlottetown, Canada)	SaltWire Network Inc		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	133	16	117
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2014	Controlled	Regular	Total_Item_Requests	1	0	1
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2014	Controlled	Regular	Unique_Item_Requests	1	0	1
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2014	Controlled	Regular	Total_Item_Investigations	1	0	1
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2014	Controlled	Regular	Unique_Item_Investigations	1	0	1
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Requests	3	3	0
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Requests	2	2	0
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Investigations	3	3	0
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank				0261-3077			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Investigations	2	2	0
Gulf Islands Driftwood (Salt Spring Island, Canada)	Black Press Group Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2019	Controlled	Regular	Total_Item_Requests	1	1	0
Gulf Islands Driftwood (Salt Spring Island, Canada)	Black Press Group Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2019	Controlled	Regular	Unique_Item_Requests	1	1	0
Gulf Islands Driftwood (Salt Spring Island, Canada)	Black Press Group Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2019	Controlled	Regular	Total_Item_Investigations	1	1	0
Gulf Islands Driftwood (Salt Spring Island, Canada)	Black Press Group Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
Hamilton Spectator, The (Ontario, Canada)	Torstar Syndication Services		NewsBank				1189-9417			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	1	0	1
Hamilton Spectator, The (Ontario, Canada)	Torstar Syndication Services		NewsBank				1189-9417			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	1	0	1
Hamilton Spectator, The (Ontario, Canada)	Torstar Syndication Services		NewsBank				1189-9417			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	2	0	2
Hamilton Spectator, The (Ontario, Canada)	Torstar Syndication Services		NewsBank				1189-9417			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	2	0	2
Indian Awaaz, The (India)	HT Digital Streams Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	2	0	2
Indian Awaaz, The (India)	HT Digital Streams Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	1	0	1
Indian Awaaz, The (India)	HT Digital Streams Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	2	0	2
Indian Awaaz, The (India)	HT Digital Streams Ltd.		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	0	1
Island Packet (Hilton Head, SC)	McClatchy Company, The		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	2	0	2
Island Packet (Hilton Head, SC)	McClatchy Company, The		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	1	0	1
Island Packet (Hilton Head, SC)	McClatchy Company, The		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	2	0	2
Island Packet (Hilton Head, SC)	McClatchy Company, The		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	0	1
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Requests	2	2	0
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Total_Item_Investigations	2	2	0
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	6	0	6
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Requests	6	0	6
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	7	0	7
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank				0792-822X			Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	7	0	7
Journal of Postgraduate Medical Institute (Pakistan)	Postgraduate Medical Institute		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Investigations	1	0	1
Journal of Postgraduate Medical Institute (Pakistan)	Postgraduate Medical Institute		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Unique_Item_Investigations	1	0	1
Journal-Pioneer, The (Summerside, Canada)	SaltWire Network Inc		NewsBank							Newspaper_or_Newsletter	Article	2024	Controlled	Regular	Total_Item_Requests	22	0	22
