Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Data_Type=Book|Journal; Access_Method=Regular
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|YOP|Access_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:46:10Z
Created_By	IGI Global e-Resources Platform

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
International Journal of Information Systems and Social Change (IJISSC)	IGI Global		IGI Global e-Resources Platform				1941-868X	1941-8698		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	0	1
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Total_Item_Investigations	5	0	5
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Unique_Item_Investigations	3	0	3
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Total_Item_Requests	3	0	3
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Unique_Item_Requests	3	0	3
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	No_License	1	0	1
International Journal of System Dynamics Applications (IJSDA)	IGI Global		IGI Global e-Resources Platform				2160-9772	2160-9799		Journal	Article	2022	OA_Gold	Regular	Total_Item_Investigations	7	0	7
International Journal of System Dynamics Applications (IJSDA)	IGI Global		IGI Global e-Resources Platform				2160-9772	2160-9799		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Investigations	5	0	5
International Journal of System Dynamics Applications (IJSDA)	IGI Global		IGI Global e-Resources Platform				2160-9772	2160-9799		Journal	Article	2022	OA_Gold	Regular	Total_Item_Requests	4	0	4
International Journal of System Dynamics Applications (IJSDA)	IGI Global		IGI Global e-Resources Platform				2160-9772	2160-9799		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Requests	4	0	4
International Journal of Web-Based Learning and Teaching Technologies (IJWLTT)	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Journal	Article	2024	OA_Gold	Regular	Total_Item_Investigations	20	20	0
International Journal of Web-Based Learning and Teaching Technologies (IJWLTT)	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Journal	Article	2024	OA_Gold	Regular	Unique_Item_Investigations	17	17	0
International Journal of Web-Based Learning and Teaching Technologies (IJWLTT)	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Journal	Article	2024	OA_Gold	Regular	Total_Item_Requests	19	19	0
International Journal of Web-Based Learning and Teaching Technologies (IJWLTT)	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Journal	Article	2024	OA_Gold	Regular	Unique_Item_Requests	17	17	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book	Book	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book	Book	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book	Chapter	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book	Chapter	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book	Chapter	2021	Controlled	Regular	No_License	2	2	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book		2021	Controlled	Regular	Unique_Title_Investigations	1	1	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				Book		2021	Controlled	Regular	No_License	2	2	0
Journal of Business Ecosystems (JBE)	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	4	4	0
Journal of Business Ecosystems (JBE)	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
