Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	rsj:CU-0735144
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-12-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:01:46Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2007	Controlled	Regular	Unique_Item_Investigations	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2007	Controlled	Regular	Total_Item_Requests	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2007	Controlled	Regular	Total_Item_Investigations	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2007	Controlled	Regular	Unique_Item_Requests	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	3	3	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	3	3	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	3	3	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl			1744-957X		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	3	3	0
Journal of The Royal Society Interface	Royal Society		rsj	10.1098/rsif	rsj:rsif			1742-5662		Journal	Article	2016	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Journal of The Royal Society Interface	Royal Society		rsj	10.1098/rsif	rsj:rsif			1742-5662		Journal	Article	2016	OA_Gold	Regular	Total_Item_Requests	1	1	0
