Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:49:17Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Feline Reproduction	CABI		CABI Digital Library	10.1079/9781789247107.0000		978-1-78924-709-1				2022	Controlled	Unique_Title_Requests	2	2	0
Fish diseases and disorders. Volume 1: protozoan and metazoan infections	CABI		CABI Digital Library	10.1079/9780851990156.0000		978-1-84593-217-6				2006	Controlled	Unique_Item_Investigations	1	0	1
Fish diseases and disorders. Volume 1: protozoan and metazoan infections	CABI		CABI Digital Library	10.1079/9780851990156.0000		978-1-84593-217-6				2006	Controlled	Unique_Item_Requests	1	0	1
Fish diseases and disorders. Volume 1: protozoan and metazoan infections	CABI		CABI Digital Library	10.1079/9780851990156.0000		978-1-84593-217-6				2006	Controlled	Total_Item_Investigations	1	0	1
Fish diseases and disorders. Volume 1: protozoan and metazoan infections	CABI		CABI Digital Library	10.1079/9780851990156.0000		978-1-84593-217-6				2006	Controlled	Total_Item_Requests	1	0	1
Fish diseases and disorders. Volume 1: protozoan and metazoan infections	CABI		CABI Digital Library	10.1079/9780851990156.0000		978-1-84593-217-6				2006	Controlled	Unique_Title_Investigations	1	0	1
Fish diseases and disorders. Volume 1: protozoan and metazoan infections	CABI		CABI Digital Library	10.1079/9780851990156.0000		978-1-84593-217-6				2006	Controlled	Unique_Title_Requests	1	0	1
Fish diseases and disorders. Volume 3: viral, bacterial and fungal infections	CABI		CABI Digital Library	10.1079/9781845935542.0000		978-1-84593-737-9				2011	Controlled	Unique_Item_Investigations	1	0	1
Fish diseases and disorders. Volume 3: viral, bacterial and fungal infections	CABI		CABI Digital Library	10.1079/9781845935542.0000		978-1-84593-737-9				2011	Controlled	Unique_Item_Requests	1	0	1
Fish diseases and disorders. Volume 3: viral, bacterial and fungal infections	CABI		CABI Digital Library	10.1079/9781845935542.0000		978-1-84593-737-9				2011	Controlled	Total_Item_Investigations	1	0	1
Fish diseases and disorders. Volume 3: viral, bacterial and fungal infections	CABI		CABI Digital Library	10.1079/9781845935542.0000		978-1-84593-737-9				2011	Controlled	Total_Item_Requests	1	0	1
Fish diseases and disorders. Volume 3: viral, bacterial and fungal infections	CABI		CABI Digital Library	10.1079/9781845935542.0000		978-1-84593-737-9				2011	Controlled	Unique_Title_Investigations	1	0	1
Fish diseases and disorders. Volume 3: viral, bacterial and fungal infections	CABI		CABI Digital Library	10.1079/9781845935542.0000		978-1-84593-737-9				2011	Controlled	Unique_Title_Requests	1	0	1
GM food systems and their economic impact	CABI		CABI Digital Library	10.1079/9781789240542.0000		978-1-78924-055-9				2018	Controlled	Unique_Item_Investigations	7	0	7
GM food systems and their economic impact	CABI		CABI Digital Library	10.1079/9781789240542.0000		978-1-78924-055-9				2018	Controlled	Unique_Item_Requests	2	0	2
GM food systems and their economic impact	CABI		CABI Digital Library	10.1079/9781789240542.0000		978-1-78924-055-9				2018	Controlled	Total_Item_Investigations	8	0	8
GM food systems and their economic impact	CABI		CABI Digital Library	10.1079/9781789240542.0000		978-1-78924-055-9				2018	Controlled	Total_Item_Requests	2	0	2
GM food systems and their economic impact	CABI		CABI Digital Library	10.1079/9781789240542.0000		978-1-78924-055-9				2018	Controlled	Unique_Title_Investigations	7	0	7
GM food systems and their economic impact	CABI		CABI Digital Library	10.1079/9781789240542.0000		978-1-78924-055-9				2018	Controlled	Unique_Title_Requests	2	0	2
Livestock handling and transport	CABI		CABI Digital Library	10.1079/9781786399151.0000		978-1-78639-917-5				2019	Controlled	Unique_Item_Investigations	3	0	3
Livestock handling and transport	CABI		CABI Digital Library	10.1079/9781786399151.0000		978-1-78639-917-5				2019	Controlled	Unique_Item_Requests	3	0	3
Livestock handling and transport	CABI		CABI Digital Library	10.1079/9781786399151.0000		978-1-78639-917-5				2019	Controlled	Total_Item_Investigations	3	0	3
Livestock handling and transport	CABI		CABI Digital Library	10.1079/9781786399151.0000		978-1-78639-917-5				2019	Controlled	Total_Item_Requests	3	0	3
Livestock handling and transport	CABI		CABI Digital Library	10.1079/9781786399151.0000		978-1-78639-917-5				2019	Controlled	Unique_Title_Investigations	1	0	1
Livestock handling and transport	CABI		CABI Digital Library	10.1079/9781786399151.0000		978-1-78639-917-5				2019	Controlled	Unique_Title_Requests	1	0	1
Manual of Animal Andrology	CABI		CABI Digital Library	10.1079/9781789243505.0000		978-1-78924-351-2				2022	Controlled	Unique_Item_Investigations	1	1	0
Manual of Animal Andrology	CABI		CABI Digital Library	10.1079/9781789243505.0000		978-1-78924-351-2				2022	Controlled	Unique_Item_Requests	1	1	0
Manual of Animal Andrology	CABI		CABI Digital Library	10.1079/9781789243505.0000		978-1-78924-351-2				2022	Controlled	Total_Item_Investigations	1	1	0
