Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:49:42Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Aquatic animal species and organism relationship.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0001						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Unique_Item_Investigations	1	0	1
Aquatic animal species and organism relationship.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0001						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Unique_Item_Requests	1	0	1
Aquatic animal species and organism relationship.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0001						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Total_Item_Investigations	2	0	2
Aquatic animal species and organism relationship.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0001						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Total_Item_Requests	2	0	2
Artemia (brine shrimp)	CABI		CABI Digital Library	Jean Dhont; 	2019-11-22	VoR	10.1079/cabicompendium.103886						CABI Compendium				Journal	10.1079/cabicompendium	cabi:cabicompendium			2958-3969												Article	2019	OA_Gold	Regular	Unique_Item_Investigations	1	0	1
Artemia (brine shrimp)	CABI		CABI Digital Library	Jean Dhont; 	2019-11-22	VoR	10.1079/cabicompendium.103886						CABI Compendium				Journal	10.1079/cabicompendium	cabi:cabicompendium			2958-3969												Article	2019	OA_Gold	Regular	Unique_Item_Requests	1	0	1
Artemia (brine shrimp)	CABI		CABI Digital Library	Jean Dhont; 	2019-11-22	VoR	10.1079/cabicompendium.103886						CABI Compendium				Journal	10.1079/cabicompendium	cabi:cabicompendium			2958-3969												Article	2019	OA_Gold	Regular	Total_Item_Investigations	1	0	1
Artemia (brine shrimp)	CABI		CABI Digital Library	Jean Dhont; 	2019-11-22	VoR	10.1079/cabicompendium.103886						CABI Compendium				Journal	10.1079/cabicompendium	cabi:cabicompendium			2958-3969												Article	2019	OA_Gold	Regular	Total_Item_Requests	1	0	1
Australian veterans’ experience of pet ownership: Benefits, costs, and moderating factors	CABI		CABI Digital Library	Jono Tuke, Janette Young, Susan Hazel, Joshua Zoanetti, Torben Dahl Nielsen; 	2023-04-18	VoR	10.1079/hai.2023.0013						Human-Animal Interactions				Journal	10.1079/humananimalinteractions	cabi:hai			2957-9538												Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Australian veterans’ experience of pet ownership: Benefits, costs, and moderating factors	CABI		CABI Digital Library	Jono Tuke, Janette Young, Susan Hazel, Joshua Zoanetti, Torben Dahl Nielsen; 	2023-04-18	VoR	10.1079/hai.2023.0013						Human-Animal Interactions				Journal	10.1079/humananimalinteractions	cabi:hai			2957-9538												Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Australian veterans’ experience of pet ownership: Benefits, costs, and moderating factors	CABI		CABI Digital Library	Jono Tuke, Janette Young, Susan Hazel, Joshua Zoanetti, Torben Dahl Nielsen; 	2023-04-18	VoR	10.1079/hai.2023.0013						Human-Animal Interactions				Journal	10.1079/humananimalinteractions	cabi:hai			2957-9538												Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Australian veterans’ experience of pet ownership: Benefits, costs, and moderating factors	CABI		CABI Digital Library	Jono Tuke, Janette Young, Susan Hazel, Joshua Zoanetti, Torben Dahl Nielsen; 	2023-04-18	VoR	10.1079/hai.2023.0013						Human-Animal Interactions				Journal	10.1079/humananimalinteractions	cabi:hai			2957-9538												Article	2023	OA_Gold	Regular	Total_Item_Requests	1	1	0
Bacteriological culture techniques: microscopy, culture and identification.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0425						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Unique_Item_Investigations	1	0	1
Bacteriological culture techniques: microscopy, culture and identification.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0425						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Unique_Item_Requests	1	0	1
Bacteriological culture techniques: microscopy, culture and identification.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0425						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Total_Item_Investigations	2	0	2
Bacteriological culture techniques: microscopy, culture and identification.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0425						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Total_Item_Requests	2	0	2
Behavioural principles of handling beef cattle and the design of corrals, lairages, races and loading ramps.	CABI		CABI Digital Library	T. Grandin; 	2019-10-19		10.1079/9781786399151.0080						Livestock handling and transport				Book	10.1079/9781786399151.0000		978-1-78639-917-5														Book_Segment	2019	Controlled	Regular	Unique_Item_Investigations	1	0	1
Behavioural principles of handling beef cattle and the design of corrals, lairages, races and loading ramps.	CABI		CABI Digital Library	T. Grandin; 	2019-10-19		10.1079/9781786399151.0080						Livestock handling and transport				Book	10.1079/9781786399151.0000		978-1-78639-917-5														Book_Segment	2019	Controlled	Regular	Unique_Item_Requests	1	0	1
Behavioural principles of handling beef cattle and the design of corrals, lairages, races and loading ramps.	CABI		CABI Digital Library	T. Grandin; 	2019-10-19		10.1079/9781786399151.0080						Livestock handling and transport				Book	10.1079/9781786399151.0000		978-1-78639-917-5														Book_Segment	2019	Controlled	Regular	Total_Item_Investigations	1	0	1
Behavioural principles of handling beef cattle and the design of corrals, lairages, races and loading ramps.	CABI		CABI Digital Library	T. Grandin; 	2019-10-19		10.1079/9781786399151.0080						Livestock handling and transport				Book	10.1079/9781786399151.0000		978-1-78639-917-5														Book_Segment	2019	Controlled	Regular	Total_Item_Requests	1	0	1
Biochemical identification tables.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0451						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Unique_Item_Investigations	1	0	1
Biochemical identification tables.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0451						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Unique_Item_Requests	1	0	1
Biochemical identification tables.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0451						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Total_Item_Investigations	1	0	1
Biochemical identification tables.	CABI		CABI Digital Library	N. B. Buller; 	2014-12-23		10.1079/9781845938055.0451						Bacteria and fungi from fish and other aquatic animals: A practical identification manual				Book	10.1079/9781845938055.0000		978-1-78064-436-3														Book_Segment	2014	Controlled	Regular	Total_Item_Requests	1	0	1
Biosecurity: Current and Future Strategies	CABI		CABI Digital Library	Andrew P. Shinn, Rohana Subasinghe; 	2023-03-28		10.1079/9781800621640.0011						Climate Change on Diseases and Disorders of Finfish in Cage Culture				Book	10.1079/9781800621640.0000		978-1-80062-163-3														Book_Segment	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Biosecurity: Current and Future Strategies	CABI		CABI Digital Library	Andrew P. Shinn, Rohana Subasinghe; 	2023-03-28		10.1079/9781800621640.0011						Climate Change on Diseases and Disorders of Finfish in Cage Culture				Book	10.1079/9781800621640.0000		978-1-80062-163-3														Book_Segment	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
Biosecurity: Current and Future Strategies	CABI		CABI Digital Library	Andrew P. Shinn, Rohana Subasinghe; 	2023-03-28		10.1079/9781800621640.0011						Climate Change on Diseases and Disorders of Finfish in Cage Culture				Book	10.1079/9781800621640.0000		978-1-80062-163-3														Book_Segment	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Biosecurity: Current and Future Strategies	CABI		CABI Digital Library	Andrew P. Shinn, Rohana Subasinghe; 	2023-03-28		10.1079/9781800621640.0011						Climate Change on Diseases and Disorders of Finfish in Cage Culture				Book	10.1079/9781800621640.0000		978-1-80062-163-3														Book_Segment	2023	Controlled	Regular	Total_Item_Requests	1	1	0
bovine papillomatosis	CABI		CABI Digital Library		2019-11-22	VoR	10.1079/cabicompendium.91697						CABI Compendium				Journal	10.1079/cabicompendium	cabi:cabicompendium			2958-3969												Article	2019	Controlled	Regular	Unique_Item_Investigations	1	0	1
bovine papillomatosis	CABI		CABI Digital Library		2019-11-22	VoR	10.1079/cabicompendium.91697						CABI Compendium				Journal	10.1079/cabicompendium	cabi:cabicompendium			2958-3969												Article	2019	Controlled	Regular	Unique_Item_Requests	1	0	1
