Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A clinician’s guide to ADHD treatment options	Taylor & Francis		Taylor & Francis Online	Gregory W Mattingly, Anthony L Rostain, Joshua Wilson, Anthony Rostain; 	2017-08-01	VoR	10.1080/00325481.2017.1354648						Postgraduate Medicine				Journal	10.1080/ipgm20	tandf:ipgm20		0032-5481	1941-9260												Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
A clinician’s guide to ADHD treatment options	Taylor & Francis		Taylor & Francis Online	Gregory W Mattingly, Anthony L Rostain, Joshua Wilson, Anthony Rostain; 	2017-08-01	VoR	10.1080/00325481.2017.1354648						Postgraduate Medicine				Journal	10.1080/ipgm20	tandf:ipgm20		0032-5481	1941-9260												Article	2017	Controlled	Regular	Total_Item_Investigations	2	2	0
A clinician’s guide to ADHD treatment options	Taylor & Francis		Taylor & Francis Online	Gregory W Mattingly, Anthony L Rostain, Joshua Wilson, Anthony Rostain; 	2017-08-01	VoR	10.1080/00325481.2017.1354648						Postgraduate Medicine				Journal	10.1080/ipgm20	tandf:ipgm20		0032-5481	1941-9260												Article	2017	Controlled	Regular	No_License	2	2	0
A combined TDDA-PVC pH and reference electrode for use in the upper small intestine	Taylor & Francis		Taylor & Francis Online	M. L. Lucas, R. I. Russell, M. Denvir, V. I. Mathan, G. T. A. McEwan, K. E. L. McColl, M. Raj; 	2009-07-09	VoR	10.3109/03091909009028758						Journal of Medical Engineering & Technology				Journal	10.1080/ijmt20	tandf:ijmt20		0309-1902	1464-522X												Article	1990	Controlled	Regular	Unique_Item_Investigations	1	1	0
A combined TDDA-PVC pH and reference electrode for use in the upper small intestine	Taylor & Francis		Taylor & Francis Online	M. L. Lucas, R. I. Russell, M. Denvir, V. I. Mathan, G. T. A. McEwan, K. E. L. McColl, M. Raj; 	2009-07-09	VoR	10.3109/03091909009028758						Journal of Medical Engineering & Technology				Journal	10.1080/ijmt20	tandf:ijmt20		0309-1902	1464-522X												Article	1990	Controlled	Regular	Total_Item_Investigations	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	J.M. Shea, W.W. Immerzeel, P. Wagnon, R. Biron, F. Brun, F. Pellicciotti; 	2015-04-18	VoR	10.1080/07900627.2015.1020417						International Journal of Water Resources Development				Journal	10.1080/cijw20	tandf:cijw20		0790-0627	1360-0648												Article	2015	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	J.M. Shea, W.W. Immerzeel, P. Wagnon, R. Biron, F. Brun, F. Pellicciotti; 	2015-04-18	VoR	10.1080/07900627.2015.1020417						International Journal of Water Resources Development				Journal	10.1080/cijw20	tandf:cijw20		0790-0627	1360-0648												Article	2015	OA_Gold	Regular	Unique_Item_Requests	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	J.M. Shea, W.W. Immerzeel, P. Wagnon, R. Biron, F. Brun, F. Pellicciotti; 	2015-04-18	VoR	10.1080/07900627.2015.1020417						International Journal of Water Resources Development				Journal	10.1080/cijw20	tandf:cijw20		0790-0627	1360-0648												Article	2015	OA_Gold	Regular	Total_Item_Investigations	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	J.M. Shea, W.W. Immerzeel, P. Wagnon, R. Biron, F. Brun, F. Pellicciotti; 	2015-04-18	VoR	10.1080/07900627.2015.1020417						International Journal of Water Resources Development				Journal	10.1080/cijw20	tandf:cijw20		0790-0627	1360-0648												Article	2015	OA_Gold	Regular	Total_Item_Requests	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	María-Ángeles Melero, María-Belén Izquierdo, Héctor García-Rodicio; 	2017-09-06	VoR	10.1080/02103702.2017.1364038						Journal for the Study of Education and Development				Journal	10.1080/riya20	tandf:riya20		0210-3702	1578-4126												Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
