Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:52:02Z
Created_By	NewsBank Inc.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Guardian, The (Charlottetown, Canada)	SaltWire Network Inc		NewsBank						Unique_Item_Requests	59	12	47
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank			0261-3077			Total_Item_Requests	4	3	1
Guardian, The (London, England)	Guardian News and Media Limited		NewsBank			0261-3077			Unique_Item_Requests	3	2	1
Gulf Islands Driftwood (Salt Spring Island, Canada)	Black Press Group Ltd.		NewsBank						Total_Item_Requests	1	1	0
Gulf Islands Driftwood (Salt Spring Island, Canada)	Black Press Group Ltd.		NewsBank						Unique_Item_Requests	1	1	0
Hamilton Spectator, The (Ontario, Canada)	Torstar Syndication Services		NewsBank			1189-9417			Total_Item_Requests	1	0	1
Hamilton Spectator, The (Ontario, Canada)	Torstar Syndication Services		NewsBank			1189-9417			Unique_Item_Requests	1	0	1
Indian Awaaz, The (India)	HT Digital Streams Ltd.		NewsBank						Total_Item_Requests	2	0	2
Indian Awaaz, The (India)	HT Digital Streams Ltd.		NewsBank						Unique_Item_Requests	1	0	1
Island Packet (Hilton Head, SC)	McClatchy Company, The		NewsBank						Total_Item_Requests	2	0	2
Island Packet (Hilton Head, SC)	McClatchy Company, The		NewsBank						Unique_Item_Requests	1	0	1
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank			0792-822X			Total_Item_Requests	8	2	6
Jerusalem Post, The (Israel)	Mirkaei Tikshoret Group Ltd		NewsBank			0792-822X			Unique_Item_Requests	7	1	6
Journal-Pioneer, The (Summerside, Canada)	SaltWire Network Inc		NewsBank						Total_Item_Requests	22	0	22
Journal-Pioneer, The (Summerside, Canada)	SaltWire Network Inc		NewsBank						Unique_Item_Requests	21	0	21
Khaleej Times (Abu Dhabi, United Arab Emirates)	Galadari Printing and Publishing Co. L.L.C		NewsBank						Total_Item_Requests	2	0	2
Khaleej Times (Abu Dhabi, United Arab Emirates)	Galadari Printing and Publishing Co. L.L.C		NewsBank						Unique_Item_Requests	2	0	2
M2 Presswire (England)	Normans Media Ltd.		NewsBank						Total_Item_Requests	2	0	2
M2 Presswire (England)	Normans Media Ltd.		NewsBank						Unique_Item_Requests	1	0	1
Manchester Evening News (England)	Reach PLC		NewsBank						Total_Item_Requests	1	0	1
Manchester Evening News (England)	Reach PLC		NewsBank						Unique_Item_Requests	1	0	1
Mondaq.com (UK)	Mondaq Ltd		NewsBank						Total_Item_Requests	1	0	1
Mondaq.com (UK)	Mondaq Ltd		NewsBank						Unique_Item_Requests	1	0	1
New Haven Register, The (CT)	Hearst		NewsBank						Total_Item_Requests	2	0	2
New Haven Register, The (CT)	Hearst		NewsBank						Unique_Item_Requests	1	0	1
News Letter (Belfast, Northern Ireland)	National World		NewsBank			0307-5923			Total_Item_Requests	3	3	0
News Letter (Belfast, Northern Ireland)	National World		NewsBank			0307-5923			Unique_Item_Requests	1	1	0
Northwest Territories News-North (Yellowknife, Canada)	Northern News Services Limited		NewsBank						Total_Item_Requests	1	0	1
Northwest Territories News-North (Yellowknife, Canada)	Northern News Services Limited		NewsBank						Unique_Item_Requests	1	0	1
Nunavut News-North (Yellowknife, Canada)	Northern News Services Limited		NewsBank						Total_Item_Requests	1	1	0
Nunavut News-North (Yellowknife, Canada)	Northern News Services Limited		NewsBank						Unique_Item_Requests	1	1	0
Pakistan Journal of Criminology (Pakistan)	Pakistan Society of Criminology		NewsBank			2074-2738			Total_Item_Requests	2	0	2
Pakistan Journal of Criminology (Pakistan)	Pakistan Society of Criminology		NewsBank			2074-2738			Unique_Item_Requests	2	0	2
Peak, The: Simon Fraser University (Burnaby, Canada)	Simon Fraser University		NewsBank						Total_Item_Requests	2	0	2
Peak, The: Simon Fraser University (Burnaby, Canada)	Simon Fraser University		NewsBank						Unique_Item_Requests	1	0	1
Press TV (Tehran, Iran)	Press TV		NewsBank						Total_Item_Requests	1	1	0
Press TV (Tehran, Iran)	Press TV		NewsBank						Unique_Item_Requests	1	1	0
Right Vision News (Lahore, Pakistan)	Right Vision Private Ltd.		NewsBank						Total_Item_Requests	1	0	1
Right Vision News (Lahore, Pakistan)	Right Vision Private Ltd.		NewsBank						Unique_Item_Requests	1	0	1
Saltwire - Atlantic Canada (Canada)	SaltWire Network Inc		NewsBank						Total_Item_Requests	4	0	4
Saltwire - Atlantic Canada (Canada)	SaltWire Network Inc		NewsBank						Unique_Item_Requests	4	0	4
Saltwire - Prince Edward Island (Canada)	SaltWire Network Inc		NewsBank						Total_Item_Requests	12	0	12
Saltwire - Prince Edward Island (Canada)	SaltWire Network Inc		NewsBank						Unique_Item_Requests	9	0	9
South Wales Evening Post (Swansea, Wales)	Reach PLC		NewsBank						Total_Item_Requests	1	0	1
South Wales Evening Post (Swansea, Wales)	Reach PLC		NewsBank						Unique_Item_Requests	1	0	1
Sun, The/Sun on Sunday, The (London, England)	News UK and Ireland Ltd		NewsBank						Total_Item_Requests	2	0	2
Sun, The/Sun on Sunday, The (London, England)	News UK and Ireland Ltd		NewsBank						Unique_Item_Requests	1	0	1
Tampa Tribune, The (FL)	Times Publishing Inc.		NewsBank			1042-3761			Total_Item_Requests	1	0	1
Tampa Tribune, The (FL)	Times Publishing Inc.		NewsBank			1042-3761			Unique_Item_Requests	1	0	1
Times of Oman (Muscat, Oman)	Muscat Press and Publishing House (SAOC)		NewsBank						Total_Item_Requests	1	0	1
Times of Oman (Muscat, Oman)	Muscat Press and Publishing House (SAOC)		NewsBank						Unique_Item_Requests	1	0	1
Times, The/Sunday Times, The: Web Edition Articles (London, England)	News UK and Ireland Ltd		NewsBank						Total_Item_Requests	118	118	0
Times, The/Sunday Times, The: Web Edition Articles (London, England)	News UK and Ireland Ltd		NewsBank						Unique_Item_Requests	112	112	0
Toronto Star, The (Ontario, Canada)	Torstar Syndication Services		NewsBank			0319-0781			Total_Item_Requests	1	0	1
Toronto Star, The (Ontario, Canada)	Torstar Syndication Services		NewsBank			0319-0781			Unique_Item_Requests	1	0	1
Tribune, The: McGill University (Montreal, Quebec, Canada)	McGill University		NewsBank						Total_Item_Requests	5	0	5
Tribune, The: McGill University (Montreal, Quebec, Canada)	McGill University		NewsBank						Unique_Item_Requests	2	0	2
Washington Times, The (DC)	Washington Times LLC		NewsBank			0732-8494			Total_Item_Requests	2	2	0
Washington Times, The (DC)	Washington Times LLC		NewsBank			0732-8494			Unique_Item_Requests	1	1	0
