Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:45Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Music Teacher	Music Teachers National Association, Inc.		Gale		gale:2493		0003-0112			Total_Item_Requests	5	5	0
American Music Teacher	Music Teachers National Association, Inc.		Gale		gale:2493		0003-0112			Unique_Item_Requests	5	5	0
American Music Teacher	Music Teachers National Association, Inc.		Gale		gale:2493		0003-0112			Unique_Item_Investigations	5	5	0
American Music Teacher	Music Teachers National Association, Inc.		Gale		gale:2493		0003-0112			Total_Item_Investigations	5	5	0
American Nurse Today	Healthcom Media		Gale		gale:5DEO		1930-5583			Total_Item_Requests	4	0	4
American Nurse Today	Healthcom Media		Gale		gale:5DEO		1930-5583			Unique_Item_Requests	2	0	2
American Nurse Today	Healthcom Media		Gale		gale:5DEO		1930-5583			Unique_Item_Investigations	2	0	2
American Nurse Today	Healthcom Media		Gale		gale:5DEO		1930-5583			Total_Item_Investigations	4	0	4
American Record Guide	Record Guide Productions		Gale		gale:1020		0003-0716			Total_Item_Requests	1	0	1
American Record Guide	Record Guide Productions		Gale		gale:1020		0003-0716			Unique_Item_Requests	1	0	1
American Record Guide	Record Guide Productions		Gale		gale:1020		0003-0716			Unique_Item_Investigations	1	0	1
American Record Guide	Record Guide Productions		Gale		gale:1020		0003-0716			Total_Item_Investigations	1	0	1
American Writers,Vol.1	Charles Scribner's Sons		Gale		gale:5KXW	978-0-684-31626-0				Total_Item_Requests	1	1	0
American Writers,Vol.1	Charles Scribner's Sons		Gale		gale:5KXW	978-0-684-31626-0				Unique_Item_Requests	1	1	0
American Writers,Vol.1	Charles Scribner's Sons		Gale		gale:5KXW	978-0-684-31626-0				Unique_Item_Investigations	1	1	0
American Writers,Vol.1	Charles Scribner's Sons		Gale		gale:5KXW	978-0-684-31626-0				Total_Item_Investigations	1	1	0
American Writers,Vol.1	Charles Scribner's Sons		Gale		gale:5KXW	978-0-684-31626-0				Unique_Title_Requests	1	1	0
American Writers,Vol.1	Charles Scribner's Sons		Gale		gale:5KXW	978-0-684-31626-0				Unique_Title_Investigations	1	1	0
Annali d'Italianistica	Annali d'Italianistica, Inc.		Gale		gale:2GPC		0741-7527			Total_Item_Requests	1	1	0
Annali d'Italianistica	Annali d'Italianistica, Inc.		Gale		gale:2GPC		0741-7527			Unique_Item_Requests	1	1	0
Annali d'Italianistica	Annali d'Italianistica, Inc.		Gale		gale:2GPC		0741-7527			Unique_Item_Investigations	1	1	0
Annali d'Italianistica	Annali d'Italianistica, Inc.		Gale		gale:2GPC		0741-7527			Total_Item_Investigations	1	1	0
Annals of Psychotherapy and Integrative Health	KSA Media, LLC		Gale		gale:5KNL		2167-2113			Total_Item_Requests	1	0	1
Annals of Psychotherapy and Integrative Health	KSA Media, LLC		Gale		gale:5KNL		2167-2113			Unique_Item_Requests	1	0	1
Annals of Psychotherapy and Integrative Health	KSA Media, LLC		Gale		gale:5KNL		2167-2113			Unique_Item_Investigations	1	0	1
Annals of Psychotherapy and Integrative Health	KSA Media, LLC		Gale		gale:5KNL		2167-2113			Total_Item_Investigations	1	0	1
Anthropological Quarterly	Institute for Ethnographic Research		Gale		gale:2186		0003-5491			Total_Item_Requests	10	10	0
Anthropological Quarterly	Institute for Ethnographic Research		Gale		gale:2186		0003-5491			Unique_Item_Requests	5	5	0
Anthropological Quarterly	Institute for Ethnographic Research		Gale		gale:2186		0003-5491			Unique_Item_Investigations	5	5	0
Anthropological Quarterly	Institute for Ethnographic Research		Gale		gale:2186		0003-5491			Total_Item_Investigations	10	10	0
ARC Poetry Magazine	Arc Poetry Society		Gale		gale:2NGC		1910-3239			Total_Item_Requests	2	2	0
ARC Poetry Magazine	Arc Poetry Society		Gale		gale:2NGC		1910-3239			Unique_Item_Requests	1	1	0
ARC Poetry Magazine	Arc Poetry Society		Gale		gale:2NGC		1910-3239			Unique_Item_Investigations	1	1	0
ARC Poetry Magazine	Arc Poetry Society		Gale		gale:2NGC		1910-3239			Total_Item_Investigations	2	2	0
ASHRAE Journal	American Society of Heating, Refrigerating, and Air-Conditioning Engineers, Inc. (ASHRAE)		Gale		gale:5PRB		0001-2491			Total_Item_Requests	6	6	0
ASHRAE Journal	American Society of Heating, Refrigerating, and Air-Conditioning Engineers, Inc. (ASHRAE)		Gale		gale:5PRB		0001-2491			Unique_Item_Requests	5	5	0
ASHRAE Journal	American Society of Heating, Refrigerating, and Air-Conditioning Engineers, Inc. (ASHRAE)		Gale		gale:5PRB		0001-2491			Unique_Item_Investigations	5	5	0
ASHRAE Journal	American Society of Heating, Refrigerating, and Air-Conditioning Engineers, Inc. (ASHRAE)		Gale		gale:5PRB		0001-2491			Total_Item_Investigations	6	6	0
Asian Theatre Journal	University of Hawaii Press		Gale		gale:0IKA		0742-5457			Total_Item_Requests	4	4	0
Asian Theatre Journal	University of Hawaii Press		Gale		gale:0IKA		0742-5457			Unique_Item_Requests	2	2	0
Asian Theatre Journal	University of Hawaii Press		Gale		gale:0IKA		0742-5457			Unique_Item_Investigations	2	2	0
Asian Theatre Journal	University of Hawaii Press		Gale		gale:0IKA		0742-5457			Total_Item_Investigations	4	4	0
Atlantis, revista de la Asociación Española de Estudios Anglo-Norteamericanos	Spanish Association for Anglo-American Studies (AEDEAN)		Gale		gale:0QNO		0210-6124			Total_Item_Requests	1	1	0
Atlantis, revista de la Asociación Española de Estudios Anglo-Norteamericanos	Spanish Association for Anglo-American Studies (AEDEAN)		Gale		gale:0QNO		0210-6124			Unique_Item_Requests	1	1	0
Atlantis, revista de la Asociación Española de Estudios Anglo-Norteamericanos	Spanish Association for Anglo-American Studies (AEDEAN)		Gale		gale:0QNO		0210-6124			Unique_Item_Investigations	1	1	0
Atlantis, revista de la Asociación Española de Estudios Anglo-Norteamericanos	Spanish Association for Anglo-American Studies (AEDEAN)		Gale		gale:0QNO		0210-6124			Total_Item_Investigations	1	1	0
Australian Journal of Advanced Nursing	Australian Nursing & Midwifery Federation		Gale		gale:1AID		0813-0531			Total_Item_Requests	2	2	0
Australian Journal of Advanced Nursing	Australian Nursing & Midwifery Federation		Gale		gale:1AID		0813-0531			Unique_Item_Requests	1	1	0
Australian Journal of Advanced Nursing	Australian Nursing & Midwifery Federation		Gale		gale:1AID		0813-0531			Unique_Item_Investigations	1	1	0
Australian Journal of Advanced Nursing	Australian Nursing & Midwifery Federation		Gale		gale:1AID		0813-0531			Total_Item_Investigations	2	2	0
Australian Literary Studies	Australian Literary Studies		Gale		gale:0GNK		0004-9697			Total_Item_Requests	1	0	1
Australian Literary Studies	Australian Literary Studies		Gale		gale:0GNK		0004-9697			Unique_Item_Requests	1	0	1
Australian Literary Studies	Australian Literary Studies		Gale		gale:0GNK		0004-9697			Unique_Item_Investigations	1	0	1
Australian Literary Studies	Australian Literary Studies		Gale		gale:0GNK		0004-9697			Total_Item_Investigations	1	0	1
Belfast Telegraph (Belfast, Northern Ireland)	Independent News & Media Ltd.		Gale		gale:5DVY		0307-5664			Total_Item_Requests	1	1	0
