Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:45Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Atlantis, revista de la Asociación Española de Estudios Anglo-Norteamericanos	Spanish Association for Anglo-American Studies (AEDEAN)		Gale		gale:0QNO	0210-6124			2019	Total_Item_Requests	1	1	0
Atlantis, revista de la Asociación Española de Estudios Anglo-Norteamericanos	Spanish Association for Anglo-American Studies (AEDEAN)		Gale		gale:0QNO	0210-6124			2019	Unique_Item_Requests	1	1	0
Australian Journal of Advanced Nursing	Australian Nursing & Midwifery Federation		Gale		gale:1AID	0813-0531			2023	Total_Item_Requests	2	2	0
Australian Journal of Advanced Nursing	Australian Nursing & Midwifery Federation		Gale		gale:1AID	0813-0531			2023	Unique_Item_Requests	1	1	0
Australian Literary Studies	Australian Literary Studies		Gale		gale:0GNK	0004-9697			2008	Total_Item_Requests	1	0	1
Australian Literary Studies	Australian Literary Studies		Gale		gale:0GNK	0004-9697			2008	Unique_Item_Requests	1	0	1
Biography	University of Hawaii Press		Gale		gale:0IKB	0162-4962			2007	Total_Item_Requests	2	2	0
Biography	University of Hawaii Press		Gale		gale:0IKB	0162-4962			2007	Unique_Item_Requests	1	1	0
Black Music Research Journal	Center For Black Music Research		Gale		gale:0FLW	0276-3605			2005	Total_Item_Requests	3	3	0
Black Music Research Journal	Center For Black Music Research		Gale		gale:0FLW	0276-3605			2005	Unique_Item_Requests	2	2	0
BMC Public Health	BioMed Central Ltd.		Gale		gale:5QAT	1471-2458			2016	Total_Item_Requests	1	0	1
BMC Public Health	BioMed Central Ltd.		Gale		gale:5QAT	1471-2458			2016	Unique_Item_Requests	1	0	1
Booklist	American Library Association		Gale		gale:1598	0006-7385			1997	Total_Item_Requests	4	0	4
Booklist	American Library Association		Gale		gale:1598	0006-7385			1997	Unique_Item_Requests	2	0	2
Booklist	American Library Association		Gale		gale:1598	0006-7385			2015	Total_Item_Requests	3	0	3
Booklist	American Library Association		Gale		gale:1598	0006-7385			2015	Unique_Item_Requests	3	0	3
Booklist	American Library Association		Gale		gale:1598	0006-7385			2023	Total_Item_Requests	8	0	8
Booklist	American Library Association		Gale		gale:1598	0006-7385			2023	Unique_Item_Requests	8	0	8
Booklist	American Library Association		Gale		gale:1598	0006-7385			2024	Total_Item_Requests	44	0	44
Booklist	American Library Association		Gale		gale:1598	0006-7385			2024	Unique_Item_Requests	39	0	39
Bookmarks	Bookmarks Publishing LLC		Gale		gale:5GYG	1546-0657			2023	Total_Item_Requests	5	0	5
Bookmarks	Bookmarks Publishing LLC		Gale		gale:5GYG	1546-0657			2023	Unique_Item_Requests	5	0	5
BookPage	BookPage		Gale		gale:8NDT				2023	Total_Item_Requests	15	0	15
BookPage	BookPage		Gale		gale:8NDT				2023	Unique_Item_Requests	14	0	14
BookPage	BookPage		Gale		gale:8NDT				2024	Total_Item_Requests	16	0	16
BookPage	BookPage		Gale		gale:8NDT				2024	Unique_Item_Requests	16	0	16
British Journal of Canadian Studies	Liverpool University Press (UK)		Gale		gale:0ODE	0269-9222			2010	Total_Item_Requests	3	3	0
British Journal of Canadian Studies	Liverpool University Press (UK)		Gale		gale:0ODE	0269-9222			2010	Unique_Item_Requests	2	2	0
Built Heritage	Springer		Gale		gale:67QR	2096-3041			2024	Total_Item_Requests	1	1	0
Built Heritage	Springer		Gale		gale:67QR	2096-3041			2024	Unique_Item_Requests	1	1	0
Business World	Athena Information Solutions Pvt. Ltd.		Gale		gale:3FRL				2021	Total_Item_Requests	20	0	20
Business World	Athena Information Solutions Pvt. Ltd.		Gale		gale:3FRL				2021	Unique_Item_Requests	19	0	19
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Gale		gale:6AUL	1486-3847			2021	Total_Item_Requests	4	4	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Gale		gale:6AUL	1486-3847			2021	Unique_Item_Requests	2	2	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Gale		gale:6AUL	1486-3847			2022	Total_Item_Requests	4	4	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Gale		gale:6AUL	1486-3847			2022	Unique_Item_Requests	2	2	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Gale		gale:6AUL	1486-3847			2023	Total_Item_Requests	4	4	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Gale		gale:6AUL	1486-3847			2023	Unique_Item_Requests	2	2	0
Canadian Journal of Speech-Language Pathology & Audiology	Canadian Association of Speech-Language Pathologists & Audiologists		Gale		gale:2DIC	1913-200X			2023	Total_Item_Requests	4	0	4
Canadian Journal of Speech-Language Pathology & Audiology	Canadian Association of Speech-Language Pathologists & Audiologists		Gale		gale:2DIC	1913-200X			2023	Unique_Item_Requests	1	0	1
Canadian Literature	The University of British Columbia - Canadian Literature		Gale		gale:2285	0008-4360			2012	Total_Item_Requests	1	1	0
Canadian Literature	The University of British Columbia - Canadian Literature		Gale		gale:2285	0008-4360			2012	Unique_Item_Requests	1	1	0
Canadian Literature	The University of British Columbia - Canadian Literature		Gale		gale:2285	0008-4360			2017	Total_Item_Requests	15	9	6
Canadian Literature	The University of British Columbia - Canadian Literature		Gale		gale:2285	0008-4360			2017	Unique_Item_Requests	13	7	6
Chicago Review	University of Chicago		Gale		gale:0273	0009-3696			2006	Total_Item_Requests	1	0	1
Chicago Review	University of Chicago		Gale		gale:0273	0009-3696			2006	Unique_Item_Requests	1	0	1
Children	MDPI AG		Gale		gale:00I3	2227-9067			2024	Total_Item_Requests	2	0	2
Children	MDPI AG		Gale		gale:00I3	2227-9067			2024	Unique_Item_Requests	2	0	2
CHOICE: Current Reviews for Academic Libraries	American Library Association CHOICE		Gale		gale:2526	0009-4978			2010	Total_Item_Requests	1	0	1
CHOICE: Current Reviews for Academic Libraries	American Library Association CHOICE		Gale		gale:2526	0009-4978			2010	Unique_Item_Requests	1	0	1
CHOICE: Current Reviews for Academic Libraries	American Library Association CHOICE		Gale		gale:2526	0009-4978			2019	Total_Item_Requests	1	1	0
CHOICE: Current Reviews for Academic Libraries	American Library Association CHOICE		Gale		gale:2526	0009-4978			2019	Unique_Item_Requests	1	1	0
CHOICE: Current Reviews for Academic Libraries	American Library Association CHOICE		Gale		gale:2526	0009-4978			2020	Total_Item_Requests	1	1	0
CHOICE: Current Reviews for Academic Libraries	American Library Association CHOICE		Gale		gale:2526	0009-4978			2020	Unique_Item_Requests	1	1	0
Clinical Psychiatry News	Jobson Medical Information LLC		Gale		gale:0JVD	0270-6644			2006	Total_Item_Requests	1	1	0
Clinical Psychiatry News	Jobson Medical Information LLC		Gale		gale:0JVD	0270-6644			2006	Unique_Item_Requests	1	1	0
College Student Journal	Project Innovation Austin LLC		Gale		gale:0FCR	0146-3934			2007	Total_Item_Requests	2	2	0
College Student Journal	Project Innovation Austin LLC		Gale		gale:0FCR	0146-3934			2007	Unique_Item_Requests	1	1	0
Composition Studies	University of Massachusetts Boston		Gale		gale:3XJJ	1534-9322			2010	Total_Item_Requests	1	0	1
Composition Studies	University of Massachusetts Boston		Gale		gale:3XJJ	1534-9322			2010	Unique_Item_Requests	1	0	1
Contemporary Pediatrics	Intellisphere, LLC		Gale		gale:0BGH	8750-0507			2022	Total_Item_Requests	1	0	1
Contemporary Pediatrics	Intellisphere, LLC		Gale		gale:0BGH	8750-0507			2022	Unique_Item_Requests	1	0	1
Current Musicology	Columbia University, Department of Music		Gale		gale:2396	0011-3735			2008	Total_Item_Requests	1	1	0
Current Musicology	Columbia University, Department of Music		Gale		gale:2396	0011-3735			2008	Unique_Item_Requests	1	1	0
Curriculum and Teaching Dialogue	Information Age Publishing, Inc.		Gale		gale:3IGH	1538-750X			2016	Total_Item_Requests	1	1	0
Curriculum and Teaching Dialogue	Information Age Publishing, Inc.		Gale		gale:3IGH	1538-750X			2016	Unique_Item_Requests	1	1	0
Dementia and Geriatric Cognitive Disorders	S. Karger AG		Gale		gale:813D	1420-8008			2022	Total_Item_Requests	1	0	1
Dementia and Geriatric Cognitive Disorders	S. Karger AG		Gale		gale:813D	1420-8008			2022	Unique_Item_Requests	1	0	1
Dermatology Times	Intellisphere, LLC		Gale		gale:0UMR	0196-6197			2023	Total_Item_Requests	1	0	1
Dermatology Times	Intellisphere, LLC		Gale		gale:0UMR	0196-6197			2023	Unique_Item_Requests	1	0	1
Edge	Future US, Inc.		Gale		gale:2WL0	1350-1593			2022	Total_Item_Requests	23	21	2
Edge	Future US, Inc.		Gale		gale:2WL0	1350-1593			2022	Unique_Item_Requests	19	17	2
Edge	Future US, Inc.		Gale		gale:2WL0	1350-1593			2023	Total_Item_Requests	33	33	0
Edge	Future US, Inc.		Gale		gale:2WL0	1350-1593			2023	Unique_Item_Requests	32	32	0
Edge	Future US, Inc.		Gale		gale:2WL0	1350-1593			2024	Total_Item_Requests	38	21	17
Edge	Future US, Inc.		Gale		gale:2WL0	1350-1593			2024	Unique_Item_Requests	37	20	17
Education and Information Technologies	Springer		Gale		gale:5CUF	1360-2357			2020	Total_Item_Requests	1	0	1
Education and Information Technologies	Springer		Gale		gale:5CUF	1360-2357			2020	Unique_Item_Requests	1	0	1
Electronics For You	Athena Information Solutions Pvt. Ltd.		Gale		gale:4RRN	0013-516X			2011	Total_Item_Requests	1	1	0
Electronics For You	Athena Information Solutions Pvt. Ltd.		Gale		gale:4RRN	0013-516X			2011	Unique_Item_Requests	1	1	0
Emerging Infectious Diseases	U.S. National Center for Infectious Diseases		Gale		gale:0GVK	1080-6040			2010	Total_Item_Requests	1	0	1
Emerging Infectious Diseases	U.S. National Center for Infectious Diseases		Gale		gale:0GVK	1080-6040			2010	Unique_Item_Requests	1	0	1
Endangered Species Bulletin	U.S. Fish & Wildlife Service		Gale		gale:0ASV	1091-7314			1998	Total_Item_Requests	1	0	1
Endangered Species Bulletin	U.S. Fish & Wildlife Service		Gale		gale:0ASV	1091-7314			1998	Unique_Item_Requests	1	0	1
Endangered Species Update	University of Michigan, School of Natural Resources		Gale		gale:2554	1081-3705			2008	Total_Item_Requests	1	0	1
Endangered Species Update	University of Michigan, School of Natural Resources		Gale		gale:2554	1081-3705			2008	Unique_Item_Requests	1	0	1
Esprit de Corps	S.R. Taylor Publishing		Gale		gale:0OEC	1194-2266			2011	Total_Item_Requests	1	0	1
Esprit de Corps	S.R. Taylor Publishing		Gale		gale:0OEC	1194-2266			2011	Unique_Item_Requests	1	0	1
Essays in Literature	Western Illinois University		Gale		gale:2153	0094-5404			1994	Total_Item_Requests	2	2	0
Essays in Literature	Western Illinois University		Gale		gale:2153	0094-5404			1994	Unique_Item_Requests	1	1	0
Evolutionary Studies in Imaginative Culture	Academic Studies Press		Gale		gale:85MC	2472-9884			2019	Total_Item_Requests	2	0	2
Evolutionary Studies in Imaginative Culture	Academic Studies Press		Gale		gale:85MC	2472-9884			2019	Unique_Item_Requests	1	0	1
First Things: A Monthly Journal of Religion and Public Life	Institute on Religion and Public Life		Gale		gale:0FJR	1047-5141			2019	Total_Item_Requests	1	0	1
First Things: A Monthly Journal of Religion and Public Life	Institute on Religion and Public Life		Gale		gale:0FJR	1047-5141			2019	Unique_Item_Requests	1	0	1
First Things: A Monthly Journal of Religion and Public Life	Institute on Religion and Public Life		Gale		gale:0FJR	1047-5141			2021	Total_Item_Requests	1	0	1
First Things: A Monthly Journal of Religion and Public Life	Institute on Religion and Public Life		Gale		gale:0FJR	1047-5141			2021	Unique_Item_Requests	1	0	1
Flutist Quarterly	National Flute Association, Inc.		Gale		gale:4JRO	8756-8667			2004	Total_Item_Requests	1	0	1
Flutist Quarterly	National Flute Association, Inc.		Gale		gale:4JRO	8756-8667			2004	Unique_Item_Requests	1	0	1
Flutist Quarterly	National Flute Association, Inc.		Gale		gale:4JRO	8756-8667			2011	Total_Item_Requests	1	0	1
Flutist Quarterly	National Flute Association, Inc.		Gale		gale:4JRO	8756-8667			2011	Unique_Item_Requests	1	0	1
Flutist Quarterly	National Flute Association, Inc.		Gale		gale:4JRO	8756-8667			2014	Total_Item_Requests	2	0	2
Flutist Quarterly	National Flute Association, Inc.		Gale		gale:4JRO	8756-8667			2014	Unique_Item_Requests	2	0	2
Forestist	AVES		Gale		gale:87UZ	2602-4039			2022	Total_Item_Requests	3	0	3
Forestist	AVES		Gale		gale:87UZ	2602-4039			2022	Unique_Item_Requests	1	0	1
ForeWord	Foreword Magazine, Inc.		Gale		gale:5QGA	1099-2642			2023	Total_Item_Requests	2	0	2
ForeWord	Foreword Magazine, Inc.		Gale		gale:5QGA	1099-2642			2023	Unique_Item_Requests	1	0	1
Formacion Universitaria	Centro de Informacion Tecnologica		Gale		gale:2UYX	0718-5006			2021	Total_Item_Requests	1	0	1
Formacion Universitaria	Centro de Informacion Tecnologica		Gale		gale:2UYX	0718-5006			2021	Unique_Item_Requests	1	0	1
GamesRadar+	Future US, Inc.		Gale		gale:2WL2				2023	Total_Item_Requests	3	3	0
GamesRadar+	Future US, Inc.		Gale		gale:2WL2				2023	Unique_Item_Requests	3	3	0
GamesRadar+	Future US, Inc.		Gale		gale:2WL2				2024	Total_Item_Requests	20	13	7
GamesRadar+	Future US, Inc.		Gale		gale:2WL2				2024	Unique_Item_Requests	19	12	7
Gene Therapy	Nature Publishing Group		Gale		gale:2IAM	0969-7128			2020	Total_Item_Requests	2	0	2
Gene Therapy	Nature Publishing Group		Gale		gale:2IAM	0969-7128			2020	Unique_Item_Requests	1	0	1
Genes	MDPI AG		Gale		gale:5TQO	2073-4425			2023	Total_Item_Requests	1	0	1
Genes	MDPI AG		Gale		gale:5TQO	2073-4425			2023	Unique_Item_Requests	1	0	1
Gramophone	Haymarket Media Group		Gale		gale:5CZN	0017-310X			2020	Total_Item_Requests	1	1	0
Gramophone	Haymarket Media Group		Gale		gale:5CZN	0017-310X			2020	Unique_Item_Requests	1	1	0
Historical Studies	The Canadian Catholic Historical Assn.		Gale		gale:0JRI	1193-1981			2021	Total_Item_Requests	2	0	2
Historical Studies	The Canadian Catholic Historical Assn.		Gale		gale:0JRI	1193-1981			2021	Unique_Item_Requests	1	0	1
How It Works Magazine	Future US, Inc.		Gale		gale:69QL	2041-7322			2021	Total_Item_Requests	2	0	2
How It Works Magazine	Future US, Inc.		Gale		gale:69QL	2041-7322			2021	Unique_Item_Requests	1	0	1
Human Architecture: Journal of the Sociology of Self-Knowledge	Okcir Press, an imprint of Ahead Publishing House		Gale		gale:3IJE	1540-5699			2007	Total_Item_Requests	2	0	2
Human Architecture: Journal of the Sociology of Self-Knowledge	Okcir Press, an imprint of Ahead Publishing House		Gale		gale:3IJE	1540-5699			2007	Unique_Item_Requests	1	0	1
Imagine FX	Future US, Inc.		Gale		gale:2WM1	1748-930X			2023	Total_Item_Requests	6	0	6
Imagine FX	Future US, Inc.		Gale		gale:2WM1	1748-930X			2023	Unique_Item_Requests	4	0	4
Indiana Theory Review	Indiana University Press		Gale		gale:84RD	0271-8022			2016	Total_Item_Requests	2	2	0
Indiana Theory Review	Indiana University Press		Gale		gale:84RD	0271-8022			2016	Unique_Item_Requests	2	2	0
Intas Polivet	Intas Pharmaceuticals Limited		Gale		gale:6OVQ	0972-1738			2017	Total_Item_Requests	1	1	0
Intas Polivet	Intas Pharmaceuticals Limited		Gale		gale:6OVQ	0972-1738			2017	Unique_Item_Requests	1	1	0
International Body Psychotherapy Journal	European Association for Body Psychotherapy		Gale		gale:9HHE	2169-4745			2021	Total_Item_Requests	3	0	3
International Body Psychotherapy Journal	European Association for Body Psychotherapy		Gale		gale:9HHE	2169-4745			2021	Unique_Item_Requests	2	0	2
International Journal of Applied Management Sciences and Engineering (IJAMSE)	IGI Global		Gale		gale:557Z	2327-7483			2022	Total_Item_Requests	1	1	0
International Journal of Applied Management Sciences and Engineering (IJAMSE)	IGI Global		Gale		gale:557Z	2327-7483			2022	Unique_Item_Requests	1	1	0
