Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:39:31Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Animal Welfare	Cambridge University Press		Cambridge Core		CUP:AWF	0962-7286	2054-1538	https://www.cambridge.org/core/product/identifier/AWF/type/journal	2016	Unique_Item_Requests	1	0	1
Animal Welfare	Cambridge University Press		Cambridge Core		CUP:AWF	0962-7286	2054-1538	https://www.cambridge.org/core/product/identifier/AWF/type/journal	2022	Total_Item_Requests	1	0	1
Animal Welfare	Cambridge University Press		Cambridge Core		CUP:AWF	0962-7286	2054-1538	https://www.cambridge.org/core/product/identifier/AWF/type/journal	2022	Unique_Item_Requests	1	0	1
Annals of Actuarial Science	Cambridge University Press		Cambridge Core		CUP:AAS	1748-4995	1748-5002	https://www.cambridge.org/core/product/identifier/AAS/type/journal	2020	Total_Item_Requests	1	1	0
Annals of Actuarial Science	Cambridge University Press		Cambridge Core		CUP:AAS	1748-4995	1748-5002	https://www.cambridge.org/core/product/identifier/AAS/type/journal	2020	Unique_Item_Requests	1	1	0
Annual Review of Applied Linguistics	Cambridge University Press		Cambridge Core		CUP:APL	0267-1905	1471-6356	https://www.cambridge.org/core/product/identifier/APL/type/journal	2011	Total_Item_Requests	6	1	5
Annual Review of Applied Linguistics	Cambridge University Press		Cambridge Core		CUP:APL	0267-1905	1471-6356	https://www.cambridge.org/core/product/identifier/APL/type/journal	2011	Unique_Item_Requests	6	1	5
Antarctic Science	Cambridge University Press		Cambridge Core		CUP:ANS	0954-1020	1365-2079	https://www.cambridge.org/core/product/identifier/ANS/type/journal	2008	Total_Item_Requests	1	1	0
Antarctic Science	Cambridge University Press		Cambridge Core		CUP:ANS	0954-1020	1365-2079	https://www.cambridge.org/core/product/identifier/ANS/type/journal	2008	Unique_Item_Requests	1	1	0
Antiquity	Cambridge University Press		Cambridge Core		CUP:AQY	0003-598X	1745-1744	https://www.cambridge.org/core/product/identifier/AQY/type/journal	2018	Total_Item_Requests	1	0	1
Antiquity	Cambridge University Press		Cambridge Core		CUP:AQY	0003-598X	1745-1744	https://www.cambridge.org/core/product/identifier/AQY/type/journal	2018	Unique_Item_Requests	1	0	1
Antiquity	Cambridge University Press		Cambridge Core		CUP:AQY	0003-598X	1745-1744	https://www.cambridge.org/core/product/identifier/AQY/type/journal	2020	Total_Item_Requests	1	0	1
Antiquity	Cambridge University Press		Cambridge Core		CUP:AQY	0003-598X	1745-1744	https://www.cambridge.org/core/product/identifier/AQY/type/journal	2020	Unique_Item_Requests	1	0	1
Architectural History	Cambridge University Press		Cambridge Core		CUP:ARH	0066-622X	2059-5670	https://www.cambridge.org/core/product/identifier/ARH/type/journal	2021	Total_Item_Requests	1	1	0
Architectural History	Cambridge University Press		Cambridge Core		CUP:ARH	0066-622X	2059-5670	https://www.cambridge.org/core/product/identifier/ARH/type/journal	2021	Unique_Item_Requests	1	1	0
ASTIN Bulletin: The Journal of the IAA	Cambridge University Press		Cambridge Core		CUP:ASB	0515-0361	1783-1350	https://www.cambridge.org/core/product/identifier/ASB/type/journal	2021	Total_Item_Requests	1	0	1
ASTIN Bulletin: The Journal of the IAA	Cambridge University Press		Cambridge Core		CUP:ASB	0515-0361	1783-1350	https://www.cambridge.org/core/product/identifier/ASB/type/journal	2021	Unique_Item_Requests	1	0	1
Australian Journal of Environmental Education	Cambridge University Press		Cambridge Core		CUP:AEE	0814-0626	2049-775X	https://www.cambridge.org/core/product/identifier/AEE/type/journal	2019	Total_Item_Requests	2	0	2
Australian Journal of Environmental Education	Cambridge University Press		Cambridge Core		CUP:AEE	0814-0626	2049-775X	https://www.cambridge.org/core/product/identifier/AEE/type/journal	2019	Unique_Item_Requests	2	0	2
Australian Journal of Environmental Education	Cambridge University Press		Cambridge Core		CUP:AEE	0814-0626	2049-775X	https://www.cambridge.org/core/product/identifier/AEE/type/journal	2021	Total_Item_Requests	3	0	3
Australian Journal of Environmental Education	Cambridge University Press		Cambridge Core		CUP:AEE	0814-0626	2049-775X	https://www.cambridge.org/core/product/identifier/AEE/type/journal	2021	Unique_Item_Requests	3	0	3
Behavioral and Brain Sciences	Cambridge University Press		Cambridge Core		CUP:BBS	0140-525X	1469-1825	https://www.cambridge.org/core/product/identifier/BBS/type/journal	1998	Total_Item_Requests	2	2	0
Behavioral and Brain Sciences	Cambridge University Press		Cambridge Core		CUP:BBS	0140-525X	1469-1825	https://www.cambridge.org/core/product/identifier/BBS/type/journal	1998	Unique_Item_Requests	2	2	0
Behavioral and Brain Sciences	Cambridge University Press		Cambridge Core		CUP:BBS	0140-525X	1469-1825	https://www.cambridge.org/core/product/identifier/BBS/type/journal	2014	Total_Item_Requests	1	0	1
Behavioral and Brain Sciences	Cambridge University Press		Cambridge Core		CUP:BBS	0140-525X	1469-1825	https://www.cambridge.org/core/product/identifier/BBS/type/journal	2014	Unique_Item_Requests	1	0	1
Behavioural and Cognitive Psychotherapy	Cambridge University Press		Cambridge Core		CUP:BCP	1352-4658	1469-1833	https://www.cambridge.org/core/product/identifier/BCP/type/journal	2013	Total_Item_Requests	1	0	1
Behavioural and Cognitive Psychotherapy	Cambridge University Press		Cambridge Core		CUP:BCP	1352-4658	1469-1833	https://www.cambridge.org/core/product/identifier/BCP/type/journal	2013	Unique_Item_Requests	1	0	1
Behavioural and Cognitive Psychotherapy	Cambridge University Press		Cambridge Core		CUP:BCP	1352-4658	1469-1833	https://www.cambridge.org/core/product/identifier/BCP/type/journal	2018	Total_Item_Requests	2	2	0
Behavioural and Cognitive Psychotherapy	Cambridge University Press		Cambridge Core		CUP:BCP	1352-4658	1469-1833	https://www.cambridge.org/core/product/identifier/BCP/type/journal	2018	Unique_Item_Requests	1	1	0
British Journal of Music Education	Cambridge University Press		Cambridge Core		CUP:BME	0265-0517	1469-2104	https://www.cambridge.org/core/product/identifier/BME/type/journal	2020	Total_Item_Requests	2	2	0
British Journal of Music Education	Cambridge University Press		Cambridge Core		CUP:BME	0265-0517	1469-2104	https://www.cambridge.org/core/product/identifier/BME/type/journal	2020	Unique_Item_Requests	1	1	0
British Journal of Nutrition	Cambridge University Press		Cambridge Core		CUP:BJN	0007-1145	1475-2662	https://www.cambridge.org/core/product/identifier/BJN/type/journal	1951	Total_Item_Requests	2	0	2
British Journal of Nutrition	Cambridge University Press		Cambridge Core		CUP:BJN	0007-1145	1475-2662	https://www.cambridge.org/core/product/identifier/BJN/type/journal	1951	Unique_Item_Requests	1	0	1
