Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:00Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Australian & New Zealand Journal of Psychiatry	SAGE Publications		SAGE Journals	10.1177/anpa	sage:anpa	0004-8674	1440-1614		Total_Item_Requests	1	1	0
Autism	SAGE Publications		SAGE Journals	10.1177/auta	sage:auta	1362-3613	1461-7005		Unique_Item_Requests	2	2	0
Autism	SAGE Publications		SAGE Journals	10.1177/auta	sage:auta	1362-3613	1461-7005		Total_Item_Requests	3	3	0
Behavior Modification	SAGE Publications		SAGE Journals	10.1177/bmoa	sage:bmoa	0145-4455	1552-4167		Unique_Item_Requests	3	3	0
Behavior Modification	SAGE Publications		SAGE Journals	10.1177/bmoa	sage:bmoa	0145-4455	1552-4167		Total_Item_Requests	3	3	0
Behavioral Disorders	SAGE Publications Inc		SAGE Journals	10.1177/bhda	sage:bhda	0198-7429	2163-5307		Unique_Item_Requests	1	1	0
Behavioral Disorders	SAGE Publications Inc		SAGE Journals	10.1177/bhda	sage:bhda	0198-7429	2163-5307		Total_Item_Requests	1	1	0
Biological Research For Nursing	SAGE Publications		SAGE Journals	10.1177/brna	sage:brna	1099-8004	1552-4175		Unique_Item_Requests	2	2	0
Biological Research For Nursing	SAGE Publications		SAGE Journals	10.1177/brna	sage:brna	1099-8004	1552-4175		Total_Item_Requests	3	3	0
Canadian Association of Radiologists Journal	SAGE Publications		SAGE Journals	10.1177/caja	sage:caja	0846-5371	1488-2361		Unique_Item_Requests	1	1	0
Canadian Association of Radiologists Journal	SAGE Publications		SAGE Journals	10.1177/caja	sage:caja	0846-5371	1488-2361		Total_Item_Requests	1	1	0
Canadian Journal of Nursing Research	SAGE Publications		SAGE Journals	10.1177/cjnb	sage:cjnb	0844-5621	1705-7051		Unique_Item_Requests	5	5	0
Canadian Journal of Nursing Research	SAGE Publications		SAGE Journals	10.1177/cjnb	sage:cjnb	0844-5621	1705-7051		Total_Item_Requests	5	5	0
Canadian Journal of School Psychology	SAGE Publications		SAGE Journals	10.1177/cjsa	sage:cjsa	0829-5735	2154-3984		Unique_Item_Requests	1	1	0
Canadian Journal of School Psychology	SAGE Publications		SAGE Journals	10.1177/cjsa	sage:cjsa	0829-5735	2154-3984		Total_Item_Requests	1	1	0
Citizenship, Social and Economics Education	SAGE Publications		SAGE Journals	10.1177/csea	sage:csea	1478-8047	2047-1734		Unique_Item_Requests	1	1	0
Citizenship, Social and Economics Education	SAGE Publications		SAGE Journals	10.1177/csea	sage:csea	1478-8047	2047-1734		Total_Item_Requests	1	1	0
City & Community	SAGE Publications		SAGE Journals	10.1177/ctya	sage:ctya	1535-6841	1540-6040		Unique_Item_Requests	2	2	0
City & Community	SAGE Publications		SAGE Journals	10.1177/ctya	sage:ctya	1535-6841	1540-6040		Total_Item_Requests	2	2	0
