Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
2022 ISFM/AAFP Cat Friendly Veterinary Environment Guidelines	SAGE Publications		SAGE Journals	10.1177/1098612X221128763						Total_Item_Requests	5	5	0
2022 ISFM/AAFP Cat Friendly Veterinary Environment Guidelines	SAGE Publications		SAGE Journals	10.1177/1098612X221128763						Total_Item_Investigations	5	5	0
A case study of learning in plants: Lessons learned from pea plants	SAGE Publications		SAGE Journals	10.1177/17470218231203078						Unique_Item_Investigations	3	3	0
A case study of learning in plants: Lessons learned from pea plants	SAGE Publications		SAGE Journals	10.1177/17470218231203078						Unique_Item_Requests	3	3	0
A case study of learning in plants: Lessons learned from pea plants	SAGE Publications		SAGE Journals	10.1177/17470218231203078						Total_Item_Requests	5	5	0
A case study of learning in plants: Lessons learned from pea plants	SAGE Publications		SAGE Journals	10.1177/17470218231203078						Total_Item_Investigations	5	5	0
A closer look at attachment, sexuality, and couple relationships	SAGE Publications		SAGE Journals	10.1177/0265407519896022						Unique_Item_Investigations	1	1	0
A closer look at attachment, sexuality, and couple relationships	SAGE Publications		SAGE Journals	10.1177/0265407519896022						Unique_Item_Requests	1	1	0
A closer look at attachment, sexuality, and couple relationships	SAGE Publications		SAGE Journals	10.1177/0265407519896022						Total_Item_Requests	1	1	0
A closer look at attachment, sexuality, and couple relationships	SAGE Publications		SAGE Journals	10.1177/0265407519896022						Total_Item_Investigations	1	1	0
A Community-Based Hip-Hop Dance Program for Youth in a Disadvantaged Community in Ottawa: Implementation Findings	SAGE Publications		SAGE Journals	10.1177/1524839909353738						Unique_Item_Investigations	1	1	0
A Community-Based Hip-Hop Dance Program for Youth in a Disadvantaged Community in Ottawa: Implementation Findings	SAGE Publications		SAGE Journals	10.1177/1524839909353738						Unique_Item_Requests	1	1	0
A Community-Based Hip-Hop Dance Program for Youth in a Disadvantaged Community in Ottawa: Implementation Findings	SAGE Publications		SAGE Journals	10.1177/1524839909353738						Total_Item_Requests	1	1	0
A Community-Based Hip-Hop Dance Program for Youth in a Disadvantaged Community in Ottawa: Implementation Findings	SAGE Publications		SAGE Journals	10.1177/1524839909353738						Total_Item_Investigations	1	1	0
A Comparative Analysis: Heuristic Self-Search Inquiry as Self-Knowledge and Knowledge of Society	SAGE Publications		SAGE Journals	10.1177/0022167815594966						Unique_Item_Investigations	1	1	0
A Comparative Analysis: Heuristic Self-Search Inquiry as Self-Knowledge and Knowledge of Society	SAGE Publications		SAGE Journals	10.1177/0022167815594966						Unique_Item_Requests	1	1	0
A Comparative Analysis: Heuristic Self-Search Inquiry as Self-Knowledge and Knowledge of Society	SAGE Publications		SAGE Journals	10.1177/0022167815594966						Total_Item_Requests	3	3	0
A Comparative Analysis: Heuristic Self-Search Inquiry as Self-Knowledge and Knowledge of Society	SAGE Publications		SAGE Journals	10.1177/0022167815594966						Total_Item_Investigations	3	3	0
A conceptual beachhead: “Beaches and dunes of human-altered coasts” by Karl F. Nordstrom (1994)	SAGE Publications		SAGE Journals	10.1177/03091333211054679						Unique_Item_Investigations	1	1	0
A conceptual beachhead: “Beaches and dunes of human-altered coasts” by Karl F. Nordstrom (1994)	SAGE Publications		SAGE Journals	10.1177/03091333211054679						Unique_Item_Requests	1	1	0
A conceptual beachhead: “Beaches and dunes of human-altered coasts” by Karl F. Nordstrom (1994)	SAGE Publications		SAGE Journals	10.1177/03091333211054679						Total_Item_Requests	1	1	0
A conceptual beachhead: “Beaches and dunes of human-altered coasts” by Karl F. Nordstrom (1994)	SAGE Publications		SAGE Journals	10.1177/03091333211054679						Total_Item_Investigations	1	1	0
A Deep Learning LSTM Approach to Predict COVD-19 Deaths in North Africa	SAGE Publications		SAGE Journals	10.1177/10105395221141590						Unique_Item_Investigations	1	1	0
A Deep Learning LSTM Approach to Predict COVD-19 Deaths in North Africa	SAGE Publications		SAGE Journals	10.1177/10105395221141590						Unique_Item_Requests	1	1	0
A Deep Learning LSTM Approach to Predict COVD-19 Deaths in North Africa	SAGE Publications		SAGE Journals	10.1177/10105395221141590						Total_Item_Requests	1	1	0
A Deep Learning LSTM Approach to Predict COVD-19 Deaths in North Africa	SAGE Publications		SAGE Journals	10.1177/10105395221141590						Total_Item_Investigations	1	1	0
A Definition and Illustration of Democratic Leadership	SAGE Publications		SAGE Journals	10.1177/001872679404700805						Unique_Item_Investigations	1	1	0
A Definition and Illustration of Democratic Leadership	SAGE Publications		SAGE Journals	10.1177/001872679404700805						Total_Item_Investigations	1	1	0
A Dyadic Analysis of PTSD and Psychological Partner Aggression Among U.S. Iraq and Afghanistan Veterans: The Impact of Gender and Dual-Veteran Couple Status	SAGE Publications		SAGE Journals	10.1177/0886260518760016						Unique_Item_Investigations	1	1	0
A Dyadic Analysis of PTSD and Psychological Partner Aggression Among U.S. Iraq and Afghanistan Veterans: The Impact of Gender and Dual-Veteran Couple Status	SAGE Publications		SAGE Journals	10.1177/0886260518760016						Unique_Item_Requests	1	1	0
A Dyadic Analysis of PTSD and Psychological Partner Aggression Among U.S. Iraq and Afghanistan Veterans: The Impact of Gender and Dual-Veteran Couple Status	SAGE Publications		SAGE Journals	10.1177/0886260518760016						Total_Item_Requests	1	1	0
A Dyadic Analysis of PTSD and Psychological Partner Aggression Among U.S. Iraq and Afghanistan Veterans: The Impact of Gender and Dual-Veteran Couple Status	SAGE Publications		SAGE Journals	10.1177/0886260518760016						Total_Item_Investigations	1	1	0
A Five–Factor Theory Perspective on Causal Analysis	SAGE Publications		SAGE Journals	10.1002/per.2134						Unique_Item_Investigations	1	1	0
A Five–Factor Theory Perspective on Causal Analysis	SAGE Publications		SAGE Journals	10.1002/per.2134						Unique_Item_Requests	1	1	0
A Five–Factor Theory Perspective on Causal Analysis	SAGE Publications		SAGE Journals	10.1002/per.2134						Total_Item_Requests	3	3	0
A Five–Factor Theory Perspective on Causal Analysis	SAGE Publications		SAGE Journals	10.1002/per.2134						Total_Item_Investigations	3	3	0
A Framework for Approaching Mixed Methods Intervention Research to Address the Emotional and Behavioral Health Needs of Children	SAGE Publications Inc		SAGE Journals	10.1177/01987429221131279						Unique_Item_Investigations	1	1	0
A Framework for Approaching Mixed Methods Intervention Research to Address the Emotional and Behavioral Health Needs of Children	SAGE Publications Inc		SAGE Journals	10.1177/01987429221131279						Unique_Item_Requests	1	1	0
A Framework for Approaching Mixed Methods Intervention Research to Address the Emotional and Behavioral Health Needs of Children	SAGE Publications Inc		SAGE Journals	10.1177/01987429221131279						Total_Item_Requests	1	1	0
A Framework for Approaching Mixed Methods Intervention Research to Address the Emotional and Behavioral Health Needs of Children	SAGE Publications Inc		SAGE Journals	10.1177/01987429221131279						Total_Item_Investigations	1	1	0
A Granulomatous Colitis of Dogs with Histologic Resemblance to Whipple's Disease	SAGE Publications		SAGE Journals	10.1177/030098586500200601						Unique_Item_Investigations	1	1	0
A Granulomatous Colitis of Dogs with Histologic Resemblance to Whipple's Disease	SAGE Publications		SAGE Journals	10.1177/030098586500200601						Total_Item_Investigations	2	2	0
A kaleidoscope: The role of the social work practitioner and the strength of social work theories and practice in meeting the complex needs of people trafficked and the professionals that work with them	SAGE Publications		SAGE Journals	10.1177/0020872813505630						Unique_Item_Investigations	1	1	0
A kaleidoscope: The role of the social work practitioner and the strength of social work theories and practice in meeting the complex needs of people trafficked and the professionals that work with them	SAGE Publications		SAGE Journals	10.1177/0020872813505630						Unique_Item_Requests	1	1	0
A kaleidoscope: The role of the social work practitioner and the strength of social work theories and practice in meeting the complex needs of people trafficked and the professionals that work with them	SAGE Publications		SAGE Journals	10.1177/0020872813505630						Total_Item_Requests	1	1	0
A kaleidoscope: The role of the social work practitioner and the strength of social work theories and practice in meeting the complex needs of people trafficked and the professionals that work with them	SAGE Publications		SAGE Journals	10.1177/0020872813505630						Total_Item_Investigations	1	1	0
A mad yearning for solitude: Timon the Misanthrope and his relevance to the study of ancient psychopathology	SAGE Publications		SAGE Journals	10.1177/0957154X231157187						Unique_Item_Investigations	1	1	0
A mad yearning for solitude: Timon the Misanthrope and his relevance to the study of ancient psychopathology	SAGE Publications		SAGE Journals	10.1177/0957154X231157187						Unique_Item_Requests	1	1	0
