Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Platform=ProQuest; Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:57Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Biodiversity & Conservation	Springer Nature BV		ProQuest		ProQuest:55450	0960-3115	1572-9710		Controlled	Total_Item_Requests	1	0	1
Biodiversity & Conservation	Springer Nature BV		ProQuest		ProQuest:55450	0960-3115	1572-9710		Controlled	Unique_Item_Investigations	1	0	1
Biodiversity & Conservation	Springer Nature BV		ProQuest		ProQuest:55450	0960-3115	1572-9710		Controlled	Unique_Item_Requests	1	0	1
Biomedical Engineering Online 	BioMed Central		ProQuest		ProQuest:42562		1475-925X		OA_Gold	Total_Item_Investigations	1	1	0
Biomedical Engineering Online 	BioMed Central		ProQuest		ProQuest:42562		1475-925X		OA_Gold	Total_Item_Requests	1	1	0
Biomedical Engineering Online 	BioMed Central		ProQuest		ProQuest:42562		1475-925X		OA_Gold	Unique_Item_Investigations	1	1	0
Biomedical Engineering Online 	BioMed Central		ProQuest		ProQuest:42562		1475-925X		OA_Gold	Unique_Item_Requests	1	1	0
BMC Research Notes	BioMed Central		ProQuest		ProQuest:55247		1756-0500		OA_Gold	Total_Item_Investigations	1	1	0
BMC Research Notes	BioMed Central		ProQuest		ProQuest:55247		1756-0500		OA_Gold	Total_Item_Requests	1	1	0
BMC Research Notes	BioMed Central		ProQuest		ProQuest:55247		1756-0500		OA_Gold	Unique_Item_Investigations	1	1	0
BMC Research Notes	BioMed Central		ProQuest		ProQuest:55247		1756-0500		OA_Gold	Unique_Item_Requests	1	1	0
BMJ Open	BMJ Publishing Group LTD		ProQuest		ProQuest:2040975		2044-6055		OA_Gold	Total_Item_Investigations	1	0	1
BMJ Open	BMJ Publishing Group LTD		ProQuest		ProQuest:2040975		2044-6055		OA_Gold	Total_Item_Requests	1	0	1
BMJ Open	BMJ Publishing Group LTD		ProQuest		ProQuest:2040975		2044-6055		OA_Gold	Unique_Item_Investigations	1	0	1
BMJ Open	BMJ Publishing Group LTD		ProQuest		ProQuest:2040975		2044-6055		OA_Gold	Unique_Item_Requests	1	0	1
Buildings	MDPI AG		ProQuest		ProQuest:2032422		2075-5309		OA_Gold	Total_Item_Investigations	1	1	0
Buildings	MDPI AG		ProQuest		ProQuest:2032422		2075-5309		OA_Gold	Total_Item_Requests	1	1	0
