Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:39Z
Created_By	ProQuest

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Report	Regular	Total_Item_Requests	1	1	0
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Report	Regular	Unique_Item_Investigations	1	1	0
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Report	Regular	Unique_Item_Requests	1	1	0
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Thesis_or_Dissertation	Regular	Total_Item_Investigations	6	2	4
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Thesis_or_Dissertation	Regular	Unique_Item_Investigations	4	1	3
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Thesis_or_Dissertation	Regular	Total_Item_Requests	3	0	3
Canadian Business & Current Affairs Database: History	ProQuest		ProQuest	Proquest:cbcacompletehistory	Thesis_or_Dissertation	Regular	Unique_Item_Requests	2	0	2
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Journal	Regular	Total_Item_Investigations	22	15	7
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Journal	Regular	Total_Item_Requests	19	12	7
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Journal	Regular	Unique_Item_Investigations	14	8	6
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Journal	Regular	Unique_Item_Requests	14	8	6
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Other	Regular	Total_Item_Investigations	21	7	14
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Other	Regular	Total_Item_Requests	18	6	12
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Other	Regular	Unique_Item_Investigations	14	6	8
Canadian Business & Current Affairs Database: Literature & Language	ProQuest		ProQuest	Proquest:cbcacompletelitlang	Other	Regular	Unique_Item_Requests	14	6	8
Canadian Business & Current Affairs Database: Science & Technology	ProQuest		ProQuest	Proquest:cbcacompletescitech	Journal	Regular	Total_Item_Investigations	19	7	12
Canadian Business & Current Affairs Database: Science & Technology	ProQuest		ProQuest	Proquest:cbcacompletescitech	Journal	Regular	Total_Item_Requests	18	6	12
Canadian Business & Current Affairs Database: Science & Technology	ProQuest		ProQuest	Proquest:cbcacompletescitech	Journal	Regular	Unique_Item_Investigations	13	5	8
Canadian Business & Current Affairs Database: Science & Technology	ProQuest		ProQuest	Proquest:cbcacompletescitech	Journal	Regular	Unique_Item_Requests	12	4	8
Canadian Business & Current Affairs Database: Social Sciences	ProQuest		ProQuest	Proquest:cbcacompletesocsci	Journal	Regular	Total_Item_Investigations	10	7	3
Canadian Business & Current Affairs Database: Social Sciences	ProQuest		ProQuest	Proquest:cbcacompletesocsci	Journal	Regular	Total_Item_Requests	8	5	3
Canadian Business & Current Affairs Database: Social Sciences	ProQuest		ProQuest	Proquest:cbcacompletesocsci	Journal	Regular	Unique_Item_Investigations	9	6	3
Canadian Business & Current Affairs Database: Social Sciences	ProQuest		ProQuest	Proquest:cbcacompletesocsci	Journal	Regular	Unique_Item_Requests	7	4	3
Canadian Business & Current Affairs Database: The Arts	ProQuest		ProQuest	Proquest:cbcacompletearts	Journal	Regular	Total_Item_Investigations	5	3	2
Canadian Business & Current Affairs Database: The Arts	ProQuest		ProQuest	Proquest:cbcacompletearts	Journal	Regular	Total_Item_Requests	5	3	2
Canadian Business & Current Affairs Database: The Arts	ProQuest		ProQuest	Proquest:cbcacompletearts	Journal	Regular	Unique_Item_Investigations	3	2	1
Canadian Business & Current Affairs Database: The Arts	ProQuest		ProQuest	Proquest:cbcacompletearts	Journal	Regular	Unique_Item_Requests	3	2	1
Coronavirus Research Database	ProQuest		ProQuest	Proquest:coronavirus	Database	Regular	Searches_Regular	75	47	28
Dissertations & Theses @ University of Prince Edward Island	ProQuest		ProQuest	Proquest:pqdtlocal1006012	Database	Regular	Searches_Regular	82	50	32
Dissertations & Theses @ University of Prince Edward Island	ProQuest		ProQuest	Proquest:pqdtlocal1006012	Thesis_or_Dissertation	Regular	Total_Item_Investigations	11	1	10
Dissertations & Theses @ University of Prince Edward Island	ProQuest		ProQuest	Proquest:pqdtlocal1006012	Thesis_or_Dissertation	Regular	Total_Item_Requests	2	1	1
Dissertations & Theses @ University of Prince Edward Island	ProQuest		ProQuest	Proquest:pqdtlocal1006012	Thesis_or_Dissertation	Regular	Unique_Item_Investigations	8	1	7
Dissertations & Theses @ University of Prince Edward Island	ProQuest		ProQuest	Proquest:pqdtlocal1006012	Thesis_or_Dissertation	Regular	Unique_Item_Requests	2	1	1
Earth, Atmospheric & Aquatic Science Collection	ProQuest		ProQuest	Proquest:earthatmosphericaquatic	Database	Regular	Searches_Regular	83	52	31
Earth, Atmospheric & Aquatic Science Database	ProQuest		ProQuest	Proquest:eaasdb	Database	Regular	Searches_Regular	83	52	31
Earth, Atmospheric & Aquatic Science Database	ProQuest		ProQuest	Proquest:eaasdb	Journal	Regular	Total_Item_Investigations	48	26	22
Earth, Atmospheric & Aquatic Science Database	ProQuest		ProQuest	Proquest:eaasdb	Journal	Regular	Total_Item_Requests	48	26	22
Earth, Atmospheric & Aquatic Science Database	ProQuest		ProQuest	Proquest:eaasdb	Journal	Regular	Unique_Item_Investigations	35	17	18
Earth, Atmospheric & Aquatic Science Database	ProQuest		ProQuest	Proquest:eaasdb	Journal	Regular	Unique_Item_Requests	35	17	18
