Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
2022 AAFP/EveryCat Feline Infectious Peritonitis Diagnosis Guidelines	SAGE Publications		SAGE Journals	Katrin Hartmann, Vicki Thayer, Sandra Felten, Susan Gogolski, Glenn A Olah, Melissa Kennedy; 	2022-08-24	VoR	10.1177/1098612X221118761						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Total_Item_Investigations	1	1	0
2022 AAFP/ISFM Cat Friendly Veterinary Interaction Guidelines: Approach and Handling Techniques	SAGE Publications		SAGE Journals	Kelly St Denis, Lee Niel, Ellen Carozza, Ilona Rodan, Samantha Taylor, Hazel C Carney, Sarah Heath, Sarah LH Ellis, Nathalie Dowgray; 	2022-10-19	VoR	10.1177/1098612X221128760						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Unique_Item_Investigations	2	2	0
2022 AAFP/ISFM Cat Friendly Veterinary Interaction Guidelines: Approach and Handling Techniques	SAGE Publications		SAGE Journals	Kelly St Denis, Lee Niel, Ellen Carozza, Ilona Rodan, Samantha Taylor, Hazel C Carney, Sarah Heath, Sarah LH Ellis, Nathalie Dowgray; 	2022-10-19	VoR	10.1177/1098612X221128760						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Unique_Item_Requests	2	2	0
2022 AAFP/ISFM Cat Friendly Veterinary Interaction Guidelines: Approach and Handling Techniques	SAGE Publications		SAGE Journals	Kelly St Denis, Lee Niel, Ellen Carozza, Ilona Rodan, Samantha Taylor, Hazel C Carney, Sarah Heath, Sarah LH Ellis, Nathalie Dowgray; 	2022-10-19	VoR	10.1177/1098612X221128760						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Total_Item_Requests	5	5	0
2022 AAFP/ISFM Cat Friendly Veterinary Interaction Guidelines: Approach and Handling Techniques	SAGE Publications		SAGE Journals	Kelly St Denis, Lee Niel, Ellen Carozza, Ilona Rodan, Samantha Taylor, Hazel C Carney, Sarah Heath, Sarah LH Ellis, Nathalie Dowgray; 	2022-10-19	VoR	10.1177/1098612X221128760						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Total_Item_Investigations	5	5	0
2022 ISFM Consensus Guidelines on Management of the Inappetent Hospitalised Cat	SAGE Publications		SAGE Journals	Cecilia Villaverde, Franck Peron, Linda Ryan, Daniel L Chan, Serge Chalhoub, Samantha Taylor, Jessica Quimby, Carolyn O’Brien; 	2022-07-01	VoR	10.1177/1098612X221106353						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
2022 ISFM Consensus Guidelines on Management of the Inappetent Hospitalised Cat	SAGE Publications		SAGE Journals	Cecilia Villaverde, Franck Peron, Linda Ryan, Daniel L Chan, Serge Chalhoub, Samantha Taylor, Jessica Quimby, Carolyn O’Brien; 	2022-07-01	VoR	10.1177/1098612X221106353						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
2022 ISFM Consensus Guidelines on Management of the Inappetent Hospitalised Cat	SAGE Publications		SAGE Journals	Cecilia Villaverde, Franck Peron, Linda Ryan, Daniel L Chan, Serge Chalhoub, Samantha Taylor, Jessica Quimby, Carolyn O’Brien; 	2022-07-01	VoR	10.1177/1098612X221106353						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Total_Item_Requests	1	1	0
2022 ISFM Consensus Guidelines on Management of the Inappetent Hospitalised Cat	SAGE Publications		SAGE Journals	Cecilia Villaverde, Franck Peron, Linda Ryan, Daniel L Chan, Serge Chalhoub, Samantha Taylor, Jessica Quimby, Carolyn O’Brien; 	2022-07-01	VoR	10.1177/1098612X221106353						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Total_Item_Investigations	1	1	0
2022 ISFM/AAFP Cat Friendly Veterinary Environment Guidelines	SAGE Publications		SAGE Journals	Kelly St Denis, Sarah Collins, Nathalie Dowgray, Sarah LH Ellis, Sarah Heath, Ilona Rodan, Linda Ryan, Samantha Taylor; 	2022-10-19	VoR	10.1177/1098612X221128763						Journal of Feline Medicine and Surgery				Journal	10.1177/jfma	sage:jfma		1098-612X	1532-2750												Article	2022	Controlled	Regular	Unique_Item_Investigations	2	2	0
