Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:40:38Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Journal of Chemistry	NRC Research Press		Canadian Science Publishing	10.1139/cjc	nrc:cjc	0008-4042	1480-3291		OA_Gold	Unique_Item_Investigations	3	3	0
Canadian Journal of Chemistry	NRC Research Press		Canadian Science Publishing	10.1139/cjc	nrc:cjc	0008-4042	1480-3291		OA_Gold	Unique_Item_Requests	3	3	0
Canadian Journal of Chemistry	NRC Research Press		Canadian Science Publishing	10.1139/cjc	nrc:cjc	0008-4042	1480-3291		OA_Gold	Total_Item_Investigations	6	6	0
Canadian Journal of Chemistry	NRC Research Press		Canadian Science Publishing	10.1139/cjc	nrc:cjc	0008-4042	1480-3291		OA_Gold	Total_Item_Requests	3	3	0
Canadian Journal of Civil Engineering	NRC Research Press		Canadian Science Publishing	10.1139/cjce	nrc:cjce	0315-1468	1208-6029		Controlled	Unique_Item_Investigations	2	2	0
Canadian Journal of Civil Engineering	NRC Research Press		Canadian Science Publishing	10.1139/cjce	nrc:cjce	0315-1468	1208-6029		Controlled	Total_Item_Investigations	2	2	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		Controlled	Unique_Item_Investigations	9	9	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		Controlled	Unique_Item_Requests	7	7	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		Controlled	Total_Item_Investigations	10	10	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		Controlled	Total_Item_Requests	7	7	0
