Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:28Z
Created_By	Gale

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Journal	Regular	Total_Item_Investigations	192	128	64
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Journal	Regular	Total_Item_Requests	192	128	64
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Journal	Regular	Unique_Item_Investigations	165	112	53
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Journal	Regular	Unique_Item_Requests	165	112	53
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	46	13	33
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Newspaper_or_Newsletter	Regular	Total_Item_Requests	46	13	33
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	37	11	26
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	37	11	26
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Database	Regular	Searches_Regular	8	0	8
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Journal	Regular	Total_Item_Investigations	2	0	2
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Journal	Regular	Total_Item_Requests	2	0	2
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Journal	Regular	Unique_Item_Investigations	2	0	2
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Journal	Regular	Unique_Item_Requests	2	0	2
