Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:45Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
20th Century History Review	Philip Allan Updates		Gale		gale:5DYE		1746-6512			Journal	Article	2007	Controlled	Regular	Total_Item_Requests	5	4	1
20th Century History Review	Philip Allan Updates		Gale		gale:5DYE		1746-6512			Journal	Article	2007	Controlled	Regular	Unique_Item_Requests	3	2	1
20th Century History Review	Philip Allan Updates		Gale		gale:5DYE		1746-6512			Journal	Article	2007	Controlled	Regular	Unique_Item_Investigations	3	2	1
20th Century History Review	Philip Allan Updates		Gale		gale:5DYE		1746-6512			Journal	Article	2007	Controlled	Regular	Total_Item_Investigations	5	4	1
Abhigyan	Foundation for Organisational Research & Education		Gale		gale:2LTB		0970-2385			Journal	Article	2015	Controlled	Regular	Total_Item_Requests	2	2	0
Abhigyan	Foundation for Organisational Research & Education		Gale		gale:2LTB		0970-2385			Journal	Article	2015	Controlled	Regular	Unique_Item_Requests	1	1	0
Abhigyan	Foundation for Organisational Research & Education		Gale		gale:2LTB		0970-2385			Journal	Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
Abhigyan	Foundation for Organisational Research & Education		Gale		gale:2LTB		0970-2385			Journal	Article	2015	Controlled	Regular	Total_Item_Investigations	2	2	0
Adolescence	Libra Publishers, Inc.		Gale		gale:2248		0001-8449			Journal	Article	1997	Controlled	Regular	Total_Item_Requests	2	0	2
Adolescence	Libra Publishers, Inc.		Gale		gale:2248		0001-8449			Journal	Article	1997	Controlled	Regular	Unique_Item_Requests	1	0	1
Adolescence	Libra Publishers, Inc.		Gale		gale:2248		0001-8449			Journal	Article	1997	Controlled	Regular	Unique_Item_Investigations	1	0	1
Adolescence	Libra Publishers, Inc.		Gale		gale:2248		0001-8449			Journal	Article	1997	Controlled	Regular	Total_Item_Investigations	2	0	2
Advances in Environmental Biology	American-Eurasian Network for Scientific Information		Gale		gale:2UUO		1995-0756			Journal	Article	2015	Controlled	Regular	Total_Item_Requests	4	0	4
