Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:31Z
Created_By	Gale

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Searches_Regular	6	1	5
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Total_Item_Investigations	3	0	3
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Total_Item_Requests	3	0	3
Gale OneFile: Communications and Mass	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPCM	Searches_Regular	14	1	13
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Searches_Regular	19	7	12
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Total_Item_Investigations	10	1	9
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Total_Item_Requests	10	1	9
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Searches_Regular	17	6	11
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Total_Item_Investigations	19	6	13
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Total_Item_Requests	19	6	13
Gale OneFile: CPI.Q	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CPI	Searches_Regular	4	1	3
Gale OneFile: Criminal Justice	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPCJ	Searches_Regular	4	1	3
Gale OneFile: Culinary Arts	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPCA	Searches_Regular	4	1	3
Gale OneFile: Diversity Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPDS	Searches_Regular	5	2	3
Gale OneFile: Economics and Theory	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPBE	Searches_Regular	4	1	3
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Searches_Regular	8	3	5
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Total_Item_Investigations	4	2	2
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Total_Item_Requests	4	2	2
Gale OneFile: Entrepreneurship	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPSB	Searches_Regular	4	1	3
Gale OneFile: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPES	Searches_Regular	10	6	4
Gale OneFile: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPES	Total_Item_Investigations	8	6	2
Gale OneFile: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPES	Total_Item_Requests	8	6	2
Gale OneFile: Fine Arts	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPFA	Searches_Regular	43	35	8
Gale OneFile: Fine Arts	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPFA	Total_Item_Investigations	49	45	4
Gale OneFile: Fine Arts	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPFA	Total_Item_Requests	49	45	4
Gale OneFile: Gardening and Horticulture	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPGL	Searches_Regular	6	1	5
Gale OneFile: Gardening and Horticulture	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPGL	Total_Item_Investigations	3	0	3
Gale OneFile: Gardening and Horticulture	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPGL	Total_Item_Requests	3	0	3
Gale OneFile: Gender Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPGB	Searches_Regular	4	1	3
Gale OneFile: Health and Medicine	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HRCA	Searches_Regular	52	26	26
Gale OneFile: Health and Medicine	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HRCA	Total_Item_Investigations	52	30	22
Gale OneFile: Health and Medicine	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HRCA	Total_Item_Requests	52	30	22
Gale OneFile: Hospitality and Tourism	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPTH	Searches_Regular	4	1	3
Gale OneFile: Information Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPIS	Searches_Regular	5	1	4
Gale OneFile: Information Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPIS	Total_Item_Investigations	1	0	1
Gale OneFile: Information Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPIS	Total_Item_Requests	1	0	1
Gale OneFile: Informe Academico	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:IFME	Searches_Regular	8	1	7
Gale OneFile: Informe Academico	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:IFME	Total_Item_Investigations	4	0	4
Gale OneFile: Informe Academico	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:IFME	Total_Item_Requests	4	0	4
Gale OneFile: LegalTrac	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LT	Searches_Regular	4	1	3
Gale OneFile: Military and Intelligence	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPMI	Searches_Regular	5	2	3
Gale OneFile: News	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:STND	Searches_Regular	49	27	22
Gale OneFile: News	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:STND	Total_Item_Investigations	27	11	16
Gale OneFile: News	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:STND	Total_Item_Requests	27	11	16
Gale OneFile: Nursing and Allied Health	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPNU	Searches_Regular	8	5	3
Gale OneFile: Nursing and Allied Health	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPNU	Total_Item_Investigations	4	4	0
Gale OneFile: Nursing and Allied Health	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPNU	Total_Item_Requests	4	4	0
Gale OneFile: Physical Therapy	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPSM	Searches_Regular	4	1	3
Gale OneFile: Pop Culture Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPOP	Searches_Regular	4	1	3
Gale OneFile: Psychology	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPPC	Searches_Regular	7	3	4
Gale OneFile: Psychology	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPPC	Total_Item_Investigations	3	2	1
Gale OneFile: Psychology	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPPC	Total_Item_Requests	3	2	1
Gale OneFile: Religion and Philosophy	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPRP	Searches_Regular	8	2	6
Gale OneFile: Religion and Philosophy	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPRP	Total_Item_Investigations	5	3	2
Gale OneFile: Religion and Philosophy	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPRP	Total_Item_Requests	5	3	2
Gale OneFile: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPUS	Searches_Regular	7	1	6
Gale OneFile: Vocations and Careers	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPVC	Searches_Regular	6	1	5
Gale OneFile: Vocations and Careers	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPVC	Total_Item_Investigations	1	0	1
Gale OneFile: Vocations and Careers	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPVC	Total_Item_Requests	1	0	1
Gale OneFile: War and Terrorism	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPWT	Searches_Regular	4	1	3
Gale OneFile: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPWH	Searches_Regular	7	4	3
Gale OneFile: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPWH	Total_Item_Investigations	3	3	0
Gale Virtual Reference Library	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:EB50	Searches_Regular	19	6	13
Gale Virtual Reference Library	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:EB50	Total_Item_Investigations	25	12	13
Gale Virtual Reference Library	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:EB50	Total_Item_Requests	25	12	13
Indigenous Peoples of North America I	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:INDP-1	Searches_Regular	3	2	1
Indigenous Peoples of North America I	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:INDP-1	Total_Item_Investigations	3	3	0
Indigenous Peoples of North America I	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:INDP-1	Total_Item_Requests	3	3	0
The Times Digital Archive, 1785-1985	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:TTDA-1	Searches_Regular	74	35	39
The Times Digital Archive, 1785-1985	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:TTDA-1	Total_Item_Investigations	486	146	340
The Times Digital Archive, 1785-1985	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:TTDA-1	Total_Item_Requests	483	146	337
The Times Digital Archive, 1986-2014	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:TTDA-2	Searches_Regular	74	35	39
