Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:52Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Encyclopedia of Western Colonialism since 1450,Vol.3	Gale		Gale		gale:5GPZ	978-0-02-866085-1				2007	Unique_Title_Requests	1	1	0
Europe Since 1914: Encyclopedia of the Age of War and Reconstruction,Vol.2	Charles Scribner's Sons		Gale		gale:0722	978-0-684-31497-6				2006	Total_Item_Requests	1	1	0
Europe Since 1914: Encyclopedia of the Age of War and Reconstruction,Vol.2	Charles Scribner's Sons		Gale		gale:0722	978-0-684-31497-6				2006	Unique_Title_Requests	1	1	0
Europe Since 1914: Encyclopedia of the Age of War and Reconstruction,Vol.4	Charles Scribner's Sons		Gale		gale:0724	978-0-684-31497-6				2006	Total_Item_Requests	1	1	0
Europe Since 1914: Encyclopedia of the Age of War and Reconstruction,Vol.4	Charles Scribner's Sons		Gale		gale:0724	978-0-684-31497-6				2006	Unique_Title_Requests	1	1	0
Gale Business: Insights	Gale, part of Cengage Group		Gale		gale:4MYC					2023	Total_Item_Requests	22	14	8
Gale Business: Insights	Gale, part of Cengage Group		Gale		gale:4MYC					2023	Unique_Title_Requests	16	11	5
Gale Encyclopedia of American Law,Vol.13,Ed.3	Gale, part of Cengage Group		Gale		gale:1XID	978-1-4144-4302-7				2011	Total_Item_Requests	2	0	2
Gale Encyclopedia of American Law,Vol.13,Ed.3	Gale, part of Cengage Group		Gale		gale:1XID	978-1-4144-4302-7				2011	Unique_Title_Requests	1	0	1
Gale In Context Online Collection	Gale, part of Cengage Group		Gale		gale:3LQR					2019	Total_Item_Requests	2	0	2
Gale In Context Online Collection	Gale, part of Cengage Group		Gale		gale:3LQR					2019	Unique_Title_Requests	1	0	1
Gale World History Online Collection	Gale, part of Cengage Group		Gale		gale:3LQW					2022	Total_Item_Requests	4	4	0
Gale World History Online Collection	Gale, part of Cengage Group		Gale		gale:3LQW					2022	Unique_Title_Requests	3	3	0
Global Markets Direct SWOT Reports	GlobalData Ltd.		Gale		gale:3EWN					2022	Total_Item_Requests	7	6	1
Global Markets Direct SWOT Reports	GlobalData Ltd.		Gale		gale:3EWN					2022	Unique_Title_Requests	5	4	1
Governments of the World: A Global Guide to Citizens' Rights and Responsibilities,Vol.2	Gale		Gale		gale:5BIJ	978-0-02-866073-8				2006	Total_Item_Requests	1	1	0
Governments of the World: A Global Guide to Citizens' Rights and Responsibilities,Vol.2	Gale		Gale		gale:5BIJ	978-0-02-866073-8				2006	Unique_Title_Requests	1	1	0
Historic U.S. Events	Gale		Gale		gale:0QXA					2011	Total_Item_Requests	2	2	0
Historic U.S. Events	Gale		Gale		gale:0QXA					2011	Unique_Title_Requests	1	1	0
History of World Trade Since 1450,Vol.1	Gale		Gale		gale:5BJQ	978-0-02-866070-7				2006	Total_Item_Requests	7	7	0
History of World Trade Since 1450,Vol.1	Gale		Gale		gale:5BJQ	978-0-02-866070-7				2006	Unique_Title_Requests	6	6	0
History of World Trade Since 1450,Vol.2	Gale		Gale		gale:5BJR	978-0-02-866070-7				2006	Total_Item_Requests	2	2	0
History of World Trade Since 1450,Vol.2	Gale		Gale		gale:5BJR	978-0-02-866070-7				2006	Unique_Title_Requests	1	1	0
Industrial Revolution Reference Library,Vol.1	Gale		Gale		gale:5CYN	978-0-7876-9303-9				2003	Total_Item_Requests	1	1	0
Industrial Revolution Reference Library,Vol.1	Gale		Gale		gale:5CYN	978-0-7876-9303-9				2003	Unique_Title_Requests	1	1	0
International Directory of Company Histories,Ed.Online	Gale, part of Cengage Group		Gale		gale:53OG					2024	Total_Item_Requests	1	1	0
